9.502409062500111759e+03	1.223944721450121165e+01	1.284944884148670613e-02
9.479191875000018626e+03	1.229953380719150147e+01	3.185499947202444920e-02
9.472422291699796915e+03	1.222928555250872762e+01	4.265598110942672716e-02
9.464449884300120175e+03	1.227332507870554323e+01	6.235225122333522968e-02
9.442325544000137597e+03	1.231901771434061033e+01	3.228385165344371810e-02
9.442325544000137597e+03	1.232512134336327847e+01	1.578797236347751279e-02
9.439427847200073302e+03	1.230802545531228276e+01	1.512604391234856349e-02
9.419426319399848580e+03	1.228132759964070431e+01	5.698038476781217693e-02
9.419426319399848580e+03	1.229586788974982881e+01	1.901209194190793886e-02
9.409428391200024635e+03	1.228584526945491717e+01	5.063472158032918807e-02
9.271180069399997592e+03	1.234054034601903638e+01	4.850267587691481364e-02
9.269185983799863607e+03	1.231437908405423087e+01	6.735996545808672908e-02
9.263143726900219917e+03	1.226008512491555535e+01	2.823383583651327411e-02
9.256137187500018626e+03	1.232787124348526575e+01	6.614875660701488580e-02
9.250199791700113565e+03	1.226494746166170202e+01	1.363958275681135569e-02
9.248199213000014424e+03	1.228159497895187258e+01	6.179153424493338126e-02
9.228159097199793905e+03	1.237955585331429020e+01	1.051249552616897592e-01
9.226220821800176054e+03	1.235385456001782245e+01	1.779009232967832671e-02
9.224182175899855793e+03	1.232295874335641273e+01	1.571283418527492232e-02
9.220166921299882233e+03	1.237317655736890387e+01	2.051812102445770350e-02
9.218205069399904460e+03	1.233909797620472659e+01	8.025099694171711207e-02
9.204241076400037855e+03	1.241121679342085571e+01	3.324446429396620689e-02
9.202217604199890047e+03	1.238595273383356599e+01	7.966230808971883071e-02
9.202217604199890047e+03	1.239135621048226810e+01	2.426980265868152603e-02
9.199281504599843174e+03	1.237184265198659716e+01	2.036824003661715649e-02
9.185177696799859405e+03	1.239791148229145534e+01	1.004991818019395217e-01
9.134259351899847388e+03	1.242052661788115131e+01	3.593236695427808047e-02
8.867137881900183856e+03	1.233418806561118330e+01	1.029348006466307835e-01
