name,l,b,RA_1,dec_1,name_2,RA_2,dec_2,Separation
Gaia18cfk,359.95968,-1.25107,267.60914,-29.61707,OGLE-2018-BLG-1353,17:50:26.20,-29:37:01.4,0.0983317631585892
Gaia18cfu,1.88812,-5.13797,272.59691,-29.8646,OGLE-2018-BLG-1399,18:10:23.26,-29:51:52.6,0.04509076579714143
Gaia18cfy,1.66614,-4.26791,271.59541,-29.64108,OGLE-2018-BLG-0943,18:06:22.91,-29:38:27.9,0.1517058022235232
Gaia18cfz,1.66114,-5.58119,272.92362,-30.27396,OGLE-2018-BLG-1397,18:11:41.67,-30:16:26.1,0.1567726212293633
Gaia18cgn,3.43231,-1.78927,270.12262,-26.8894,OGLE-2018-BLG-1254,18:00:29.43,-26:53:21.6,0.24053633122994542
Gaia18cgp,5.83414,-2.16542,271.79684,-24.98232,OGLE-2018-BLG-0705,18:07:11.25,-24:58:56.2,0.1901268113398826
Gaia18cho,4.1047,-3.56229,272.2277,-27.16975,OGLE-2018-BLG-0410,18:08:54.65,-27:10:11.0,0.10350044309147848
Gaia18cwh,353.66631,-1.95408,264.41378,-35.34573,OGLE-2018-BLG-1523,17:37:39.31,-35:20:44.6,0.044245201893574324
Gaia18cwu,357.83179,1.75388,263.37663,-29.8383,OGLE-2018-BLG-1660,17:33:30.40,-29:50:17.9,0.11623474342466426
Gaia18cxs,2.71255,-3.1685,271.07764,-28.19413,OGLE-2018-BLG-1212,18:04:18.63,-28:11:38.7,0.17461126730309506
Gaia18cxt,1.20219,-0.90177,267.99166,-28.37073,OGLE-2018-BLG-1718,17:51:58.01,-28:22:14.6,0.15564045555896408
Gaia19apq,3.61357,2.09827,266.50378,-24.75921,OGLE-2019-BLG-0050,17:46:00.91,-24:45:33.0,0.16059451439791642
Gaia19apr,356.76989,2.0918,262.37734,-30.5415,OGLE-2019-BLG-0065,17:29:30.56,-30:32:29.3,0.102113957187332
Gaia19aqn,354.38305,-1.86099,264.78454,-34.69027,OGLE-2018-BLG-0813,17:39:08.30,-34:41:24.9,0.1470954839385613
Gaia19axw,1.4127,-1.15826,268.36421,-28.31992,OGLE-2019-BLG-0140,17:53:27.42,-28:19:11.6,0.16915486687970524
Gaia19ayh,359.44824,3.57446,262.64175,-27.4918,OGLE-2018-BLG-0483,17:30:34.02,-27:29:30.5,0.019999999990024536
Gaia19ayp,354.66494,-2.7184,265.85238,-34.90373,OGLE-2019-BLG-0223,17:43:24.58,-34:54:13.4,0.11181759460719905
Gaia19bho,355.54188,-2.26094,265.93578,-33.91777,OGLE-2019-BLG-0390,17:43:44.59,-33:55:03.9,0.0799921824762666
Gaia19bht,1.05755,-1.90747,268.89666,-29.00481,OGLE-2019-BLG-0022,17:55:35.21,-29:00:17.2,0.1913472483052983
Gaia19bhw,358.77294,-1.67231,267.3231,-30.8515,OGLE-2019-BLG-0183,17:49:17.55,-30:51:05.3,0.12637196002333237
Gaia19bhx,2.56971,-4.17055,271.99605,-28.80487,OGLE-2019-BLG-0417,18:07:59.06,-28:48:17.4,0.16876292048217215
Gaia19bic,358.00687,-3.99421,269.2229,-32.6868,OGLE-2019-BLG-0084,17:56:53.50,-32:41:12.4,0.0946047572784534
Gaia19bii,357.22966,-4.70646,269.50164,-33.71319,OGLE-2019-BLG-0087,17:58:00.40,-33:42:47.4,0.1159002834102944
Gaia19dqh,3.76507,2.93537,265.80572,-24.19353,OGLE-2019-BLG-1199,17:43:13.37,-24:11:36.4,0.310373537635062
Gaia19drc,357.13571,1.82127,262.87262,-30.38465,OGLE-2019-BLG-0837,17:31:29.43,-30:23:04.6,0.14085847190979925
Gaia19dru,1.17292,-1.53094,268.59182,-28.71534,OGLE-2018-BLG-1343,17:54:22.04,-28:42:55.2,0.048457654713719475
Gaia19drv,356.45619,-1.74848,265.98561,-32.87096,OGLE-2019-BLG-0169,17:43:56.54,-32:52:15.3,0.17560520533047275
Gaia19dsl,0.67744,-1.81906,268.58991,-29.28831,OGLE-2019-BLG-0747,17:54:21.57,-29:17:17.8,0.1597890567232701
Gaia19dsp,355.89759,-3.42861,267.36388,-34.2181,OGLE-2019-BLG-1111,17:49:27.34,-34:13:04.9,0.2819822563129777
Gaia19ect,0.8446,-2.44367,269.30588,-29.45787,OGLE-2019-BLG-1047,17:57:13.41,-29:27:28.2,0.1329271995603728
Gaia19eob,356.14489,2.10966,261.95787,-31.05199,OGLE-2019-BLG-1450,17:27:49.88,-31:03:07.0,0.19920862392449845
Gaia19eof,3.62114,2.29923,266.31916,-24.64826,OGLE-2019-BLG-1473,17:45:16.61,-24:38:53.7,0.16219175275707878
Gaia19eoh,3.16034,2.11469,266.22838,-25.13744,OGLE-2019-BLG-1424,17:44:54.81,-25:08:14.7,0.08556596916643225
Gaia19eom,0.12157,-1.98846,268.43491,-29.85326,OGLE-2019-BLG-1403,17:53:44.38,-29:51:11.6,0.1375837047442404
Gaia19epk,5.5697,-3.26846,272.72485,-25.74608,OGLE-2019-BLG-1266,18:10:53.97,-25:44:45.8,0.11964789715528584
