name,l,b,RA_1,dec_1,name_2,RA_2,dec_2,Field,StarID,Separation
Gaia18cfz,1.66114,-5.58119,272.92362,-30.27396,KMT-2018-BLG-1834,18:11:41.67,-30:16:26.11,SSO33T0307,16248,0.14682525243259356
Gaia18cgn,3.43231,-1.78927,270.12262,-26.8894,KMT-2018-BLG-1021,18:00:29.44,-26:53:21.59,SAO03K0308,6098,0.29146329792386
Gaia18cgp,5.83414,-2.16542,271.79684,-24.98232,KMT-2018-BLG-1882,18:07:11.25,-24:58:56.60,SSO35M0407,712,0.2730351490223184
Gaia18cho,4.1047,-3.56229,272.2277,-27.16975,KMT-2018-BLG-1766,18:08:54.65,-27:10:10.99,SAO32K0406,3111,0.11319161514528452
Gaia18cwh,353.66631,-1.95408,264.41378,-35.34573,KMT-2018-BLG-1305,17:37:39.30,-35:20:44.63,SAO13N0401,4783,0.08811572084508511
Gaia18cwu,357.83179,1.75388,263.37663,-29.8383,KMT-2018-BLG-0608,17:33:30.26,-29:50:18.10,SSO14T0601,6363,1.7212253715609331
Gaia18cxr,5.6571,3.42473,266.42237,-22.3261,KMT-2018-BLG-0670,17:45:41.41,-22:19:34.07,SSO20K0102,10783,0.5821594546065486
Gaia18cxs,2.71255,-3.1685,271.07764,-28.19413,KMT-2018-BLG-2299,18:04:18.64,-28:11:38.69,SSO43N0408,15844,0.19708581366572703
Gaia18cxt,1.20219,-0.90177,267.99166,-28.37073,KMT-2018-BLG-0863,17:51:58.00,-28:22:14.63,SAO02K0505,19276,0.02121189162556544
Gaia19apr,356.76989,2.0918,262.37734,-30.5415,KMT-2018-BLG-2470,17:29:30.55,-30:32:29.36,BLG11N0504,6790,0.15510597385538663
Gaia19axw,1.4127,-1.15826,268.36421,-28.31992,KMT-2019-BLG-0007,17:53:27.41,-28:19:11.71,SAO42K0107,938,0.0056478492212560395
Gaia19ayo,353.42512,-2.87526,265.21672,-36.03956,KMT-2019-BLG-2909,17:40:52.01,-36:02:22.34,BLG37T0604,6790,0.08324298583384265
Gaia19ayp,354.66494,-2.7184,265.85238,-34.90373,KMT-2019-BLG-0016,17:43:24.57,-34:54:13.43,BLG37K0204,6965,0.014896929564083422
Gaia19bho,355.54188,-2.26094,265.93578,-33.91777,KMT-2019-BLG-0211,17:43:44.59,-33:55:03.90,BLG17T0204,4586,0.0799921824762666
Gaia19bht,1.05755,-1.90747,268.89666,-29.00481,KMT-2019-BLG-0052,17:55:35.20,-29:00:17.32,BLG42M0601,7179,0.02136763303371604
Gaia19bhw,358.77294,-1.67231,267.3231,-30.8515,KMT-2019-BLG-0204,17:49:17.55,-30:51:05.29,BLG41K0803,6730,0.13442422566340104
Gaia19bhx,2.56971,-4.17055,271.99605,-28.80487,KMT-2019-BLG-0291,18:07:59.06,-28:48:17.39,BLG32T0602,2880,0.17669443577211388
Gaia19bic,358.00687,-3.99421,269.2229,-32.6868,KMT-2019-BLG-2780,17:56:53.50,-32:41:12.52,SSO22M0504,2895,0.06442095268797669
Gaia19bif,1.7262,-5.82113,273.20398,-30.33026,KMT-2019-BLG-0192,18:12:48.96,-30:19:48.79,BLG33T0107,18654,0.1586758902018754
Gaia19bii,357.22966,-4.70646,269.50164,-33.71319,KMT-2019-BLG-2781,17:58:00.40,-33:42:47.41,SSO22N0305,365,0.10887091203679485
Gaia19dqh,3.76507,2.93537,265.80572,-24.19353,KMT-2019-BLG-1757,17:43:13.37,-24:11:36.38,BLG19K0504,1572,0.3302298183854614
Gaia19dqz,6.8365,2.46354,267.96503,-21.80909,KMT-2019-BLG-1645,17:51:51.61,-21:48:32.87,BLG38K0606,4063,0.15111759033607644
Gaia19drc,357.13571,1.82127,262.87262,-30.38465,KMT-2019-BLG-2503,17:31:29.42,-30:23:04.70,BLG11N0205,4876,0.1206909649618493
Gaia19drv,356.45619,-1.74848,265.98561,-32.87096,KMT-2019-BLG-2630,17:43:56.54,-32:52:15.42,SSO17K0103,312,0.08830167437023992
Gaia19dsl,0.67744,-1.81906,268.58991,-29.28831,KMT-2019-BLG-0841,17:54:21.57,-29:17:17.81,BLG42N0808,8655,0.15268445344512194
Gaia19dsp,355.89759,-3.42861,267.36388,-34.2181,KMT-2019-BLG-1604,17:49:27.34,-34:13:04.91,BLG17N0101,2699,0.27278928219262066
Gaia19dtd,1.99974,-5.46708,272.99187,-29.92307,KMT-2019-BLG-1234,18:11:58.07,-29:55:24.31,BLG33K0201,47280,1.2878370349837531
Gaia19eca,6.09968,-2.43848,272.20203,-24.88254,KMT-2019-BLG-2863,18:08:48.50,-24:52:57.40,SSO35M0108,77,0.30963468260991434
Gaia19ect,0.8446,-2.44367,269.30588,-29.45787,KMT-2019-BLG-1351,17:57:13.41,-29:27:28.19,BLG02N0405,14467,0.14286231270556246
Gaia19eoh,3.16034,2.11469,266.22838,-25.13744,KMT-2019-BLG-2223,17:44:54.81,-25:08:14.75,SAO19T0205,8345,0.03770324985614002
Gaia19eom,0.12157,-1.98846,268.43491,-29.85326,KMT-2019-BLG-2965,17:53:44.38,-29:51:11.48,SSO42T0103,5387,0.25684484802126145
Gaia19epk,5.5697,-3.26846,272.72485,-25.74608,KMT-2019-BLG-2801,18:10:53.97,-25:44:45.82,SSO31K0501,2268,0.10580935208988625
Gaia20biu,354.28533,-2.24264,265.11538,-34.97566,KMT-2020-BLG-0122,17:40:27.69,-34:58:32.27,BLG37K0703,1334,0.10702119720572412
Gaia20biy,357.23575,2.01107,262.75218,-30.19702,KMT-2020-BLG-0038,17:31:00.53,-30:11:49.27,SSO11N0307,718,0.0881813819485903
Gaia20bjn,359.0965,2.57365,263.37451,-28.33191,KMT-2020-BLG-0051,17:33:29.88,-28:19:54.80,BLG14K0605,3642,0.0823414166784299
Gaia20bkd,357.29305,2.2437,262.56376,-30.02144,KMT-2020-BLG-0039,17:30:15.30,-30:01:17.11,BLG11N0408,4008,0.08029682514991494
Gaia20btc,356.92712,-3.47138,268.03795,-33.35549,KMT-2020-BLG-0109,17:52:09.11,-33:21:19.73,SSO22T0408,1781,0.04223643389537091
