name_1,l,b,RA_1,dec_1,viewreduceddatum,name_2,type,created,modified,ra_2,dec_2,epoch,parallax,pm_ra,pm_dec,galactic_lng,galactic_lat,distance,distance_err,scheme,epoch_of_elements,mean_anomaly,arg_of_perihelion,eccentricity,lng_asc_node,inclination,mean_daily_motion,semimajor_axis,epoch_of_perihelion,ephemeris_period,ephemeris_period_err,ephemeris_epoch,ephemeris_epoch_err,perihdist,priority,ztf_alert_name,TNS_ID,classification,maglast,dont_update_me,jdlastobs,aavso_name,cadence,gaia_alert_name,fun name,update_me,tweet,gaiadr2_id,calib_server_name,dicovery_date,Sun_separation,Separation
Gaia19bir,327.63369,3.43335,234.64341,-51.24145,,Gaia19bir,SIDEREAL,2019-12-07 23:41:59.961284+00:00,2022-08-18 01:02:18.990918+00:00,234.64341,-51.24145,2000.0,,,,327.63368966991044,3.4333490150530364,,,,,,,,,,,,,,,,,,0.0,,,Microlensing,20.89,false,2459779.80804,,100.0,Gaia19bir,,,false,5889218306872888960,ivo://Gaia19bir,,98.8027207665126,0.0
Gaia19bld,301.52358,-3.27762,189.38565,-66.11136,,Gaia19bld,SIDEREAL,2019-12-07 02:06:57.058070+00:00,2022-08-18 01:01:17.932808+00:00,189.38565,-66.11136,2000.0,,,,301.5235792294228,-3.2776165054201565,,,,,,,,,,,,,,,,,,0.0,,,Microlensing with finite source effect,14.81,true,2458961.1026205,,100.0,Gaia19bld,,,false,5860179620698137600,ivo://Gaia19bld,,85.30987792453435,0.0
Gaia19bsy,52.11138,-5.5537,296.90816,14.2932,,Gaia19bsy,SIDEREAL,2021-10-26 05:37:24.745092+00:00,2022-08-18 01:41:49.884796+00:00,296.90816,14.2932,2000.0,,,,52.11137765716817,-5.553697372953512,,,,,,,,,,,,,,,,,,0.0,ZTF18aczojlw,AT2019ffe,Microlensing event with parallax or binary lens effect,15.02,false,2459740.70265,,100.0,Gaia19bsy,,,false,4317386033190228864,ivo://Gaia19bsy,,139.3532538618537,0.0
Gaia19cyv,86.49215,-3.55857,318.26333,43.33763,,Gaia19cyv,SIDEREAL,2021-02-10 13:39:44.060878+00:00,2022-08-18 01:25:24.025287+00:00,318.26333,43.33763,2000.0,,,,86.49215322046867,-3.558573123121836,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,false,,,,122.83428479067008,0.0
Gaia19dak,68.12477,-1.71745,302.36516,29.93588,,Gaia19dak,SIDEREAL,2019-12-09 02:34:29.459293+00:00,2022-08-18 01:04:03.635744+00:00,302.36516,29.93588,2000.0,,,,68.12477328556818,-1.7174535423437212,,,,,,,,,,,,,,,,,,2.0,ZTF19aavpwbe,,"Microlensing, possible binary or parallax",19.0,false,2459796.56829,,5.0,Gaia19dak,,false,false,2029574907257622912,ivo://Gaia19dak,,130.67836207435263,0.0
Gaia19dke,62.01113,5.70414,291.49451,28.40686,,Gaia19dke,SIDEREAL,2021-01-13 17:55:27.147813+00:00,2022-08-18 01:23:44.500550+00:00,291.49451,28.40686,2000.0,,,,62.011128810184644,5.704135187425682,,,,,,,,,,,,,,,,,,10.0,,AT2019ndl,long-term microlensing event with parallax,15.44,false,2459807.38709492,,1.0,Gaia19dke,,,false,,ivo://Gaia19dke,,125.95529740163262,0.0
Gaia19dqf,8.06679,5.68777,265.68724,-19.09842,,Gaia19dqf,SIDEREAL,2019-12-11 00:25:38.503581+00:00,2022-08-18 01:05:55.673696+00:00,265.68724,-19.09842,2000.0,,,,8.066787056497615,5.687770820470105,,,,,,,,,,,,,,,,,,0.0,,,Microlensing,18.7,true,2458952.395,,100.0,Gaia19dqf,,,false,4120111897425615616,ivo://Gaia19dqf,,121.03343329591056,0.0
Gaia19dsb,40.14075,-2.6242,288.5015,5.20312,,Gaia19dsb,SIDEREAL,2019-12-11 00:30:54.382054+00:00,2022-08-18 01:06:43.113896+00:00,288.5015,5.20312,2000.0,,,,40.14075346292645,-2.6242025420244826,,,,,,,,,,,,,,,,,,0.0,ZTF19aavtxjc,,Microlensing,19.02,false,2459735.20309,,100.0,Gaia19dsb,,,false,4293519239207122048,ivo://Gaia19dsb,,137.4819735429228,0.0
Gaia19duw,76.70682,7.51374,298.19944,42.07147,,Gaia19duw,SIDEREAL,2019-12-07 23:19:28.922752+00:00,2022-08-18 01:02:01.634252+00:00,298.19944,42.07147,2000.0,,,,76.70682324150127,7.513738568364024,,,,,,,,,,,,,,,,,,0.0,,AT2019oye,Parallax microlensing,18.52,false,2459800.64015,,100.0,Gaia19duw,,,false,2078420406388651520,ivo://Gaia19duw,,118.62165037287532,0.0
Gaia19dyo,28.04931,-1.70718,282.15307,-5.12344,,Gaia19dyo,SIDEREAL,2020-01-20 12:09:27.747077+00:00,2022-08-18 01:09:08.630674+00:00,282.15307,-5.12344,2000.0,,,,28.04931155576415,-1.7071792702174295,,,,,,,,,,,,,,,,,,1.0,ZTF19abtvtfc,,Microlensing,18.29,false,2459687.99325,,4.0,Gaia19dyo,,,false,4255067810042810368,ivo://Gaia19dyo,,134.98656126261676,0.0
