name_1,l,b,RA_1,dec_1,name_2,type,created,modified,ra_2,dec_2,epoch,parallax,pm_ra,pm_dec,galactic_lng,galactic_lat,distance,distance_err,scheme,epoch_of_elements,mean_anomaly,arg_of_perihelion,eccentricity,lng_asc_node,inclination,mean_daily_motion,semimajor_axis,epoch_of_perihelion,ephemeris_period,ephemeris_period_err,ephemeris_epoch,ephemeris_epoch_err,perihdist,Last_Fit_2,Last_fit_2a,Alive,Fit_covariance,Classification,",",Observing_mode,TAP_priority,Baseline_magnitude,Source_magnitude,piEN,t0,piEE,u0,Spectras,tE,Blend_magnitude,name2,Separation
Gaia18cbf,337.59429,8.41312,241.1619,-41.10483,Gaia18cbf,SIDEREAL,2020-07-03 02:23:32.090492+00:00,2022-08-16 00:00:46.421878+00:00,241.1619,-41.10483,,,,,337.594285376961,8.41312200789855,,,,,,,,,,,,,,,,,,2459147.954797253,2459147.83792842,false,"[[2571.3535579034833, -0.6816231413391645, 1119.6843976845441, 5.026575916320026, -0.005824966168767469, 0.3812727477202782, 0.00010316604766812948], [-0.6816231413670267, 0.00027788998484546876, -0.2629028091813376, -0.001206340980552548, -6.905948899310323e-05, -9.12618296362094e-05, -2.535430257873934e-08], [1119.6843976690757, -0.262902809165142, 564.6189728964256, 2.248941617463074, -0.14443331880499985, 0.18831227301393083, 8.287171747802877e-05], [5.026575916290866, -0.0012063409804904637, 2.2489416174806034, 0.010242711178529125, -8.513611745137757e-05, 0.000762721748817284, -9.476840766420707e-08], [-0.0058249661350640814, -6.905948900205833e-05, -0.14443331879036372, -8.513611738562118e-05, 0.0004933662153596474, -4.19075767027753e-05, 4.1476070370230366e-07], [0.3812727505346804, -9.126183036449077e-05, 0.18831227427276276, 0.0007627217543475179, -4.190757677126743e-05, 6.298099951979715e-05, 2.6272265955040716e-08], [0.00010316604766080886, -2.5354302575141688e-08, 8.287171747666078e-05, -9.476840767638193e-08, 4.147607036987538e-07, 2.627226582610901e-08, 5.793023054223417e-09]]",Microlensing PSPL,,Regular,1.00429,20.232,14.71,-0.83481,2458544.014,1.12221,2.0,0.0,183.453,null,,0.0
Gaia18cta,280.01601,-32.11213,83.27216,-69.50864,Gaia18cta,SIDEREAL,2020-06-30 23:08:03.673054+00:00,2022-08-16 00:00:38.930979+00:00,83.27216,-69.50864,2000.0,,,,280.0160069378,-32.1121341075011,,,,,,,,,,,,,,,,,,2459348.264388778,2459348.169400327,false,"[[964.5862110103055, 1.4296687477069079, -98.14121453616534, 19.1009317676043, -45.92450128401477, -47.90330571351875, 0.3635578585376352, 0.018728545854531833, -0.0007468631841516088], [1.429668747678939, 0.0021297761264721087, -0.14546098993831413, 0.028954149301415398, -0.06806575837823182, -0.07100056108377918, 0.0004982417274851733, 2.7758960775952545e-05, -1.1663329399082174e-06], [-98.14121400207232, -0.14546098914954295, 9.985315813835856, -1.9434302272887012, 4.672562368434662, 4.8738915571122705, -0.03698878316290678, -0.0019055240647403342, 7.59907164216003e-05], [19.100931767956563, 0.028954149302491378, -1.9434302379012807, 0.42208050608911796, -0.9113690489222841, -0.9486124168544754, 0.004629306143294862, 0.0003708891231479818, -1.878866842991836e-05], [-45.92450128183754, -0.06806575837633644, 4.67256239364174, -0.9113690488623971, 2.1903653644694914, 2.280711810453327, -0.01698245813563696, -0.0008916812608425025, 3.56553663118877e-05], [-47.903305745171785, -0.07100056113208342, 4.8738915868569315, -0.948612417463815, 2.2807118120684784, 2.3789756694266244, -0.018019157287637793, -0.0009300975540055022, 3.709254144104933e-05], [0.3635578589295421, 0.0004982417280765868, -0.03698878340404734, 0.004629306150923132, -0.016982458155116426, -0.018019157295172814, 0.0030909063868951848, 7.057342158559796e-06, -5.167530600536854e-08], [0.01872854517342015, 2.7758959766971943e-05, -0.0019055240058110843, 0.0003708891096529612, -0.0008916812284565032, -0.0009300975195655353, 7.0573418942824405e-06, 3.6363616587316625e-07, -1.450319488475141e-08], [-0.0007468631843809206, -1.1663329402697533e-06, 7.599071685851624e-05, -1.878866843418661e-05, 3.5655366324491334e-05, 3.709254142792603e-05, -5.16753057883078e-08, -1.4503195416635622e-08, 2.733474310985399e-09]]",Microlensing PSPL,,Regular,0.57865,16.861,19.741,-1.28116,2458393.753,-0.25085,-0.05131,0.0,401.649,16.94,,0.0
Gaia18dig,310.81646,-1.39675,210.55407,-63.17989,Gaia18dig,SIDEREAL,2020-06-30 23:07:37.164691+00:00,2022-08-16 00:00:38.431018+00:00,210.55407,-63.17989,2000.0,,,,310.81645564935,-1.39675414071517,,,,,,,,,,,,,,,,,,2459350.9701786,2459350.8371229335,false,"[[137.56542634862294, 0.21289749363383864, 1103.0307129728055, -3.186069341236273, -3.8568350300077996, -759.4335314970507, 25.3158133051558, 0.7618144882173167, -0.0003095642647531765], [0.2128974938452211, 0.0004940427240941888, 3.055502823674995, -0.003136841106943495, -0.00835306259114816, -1.6916835355428266, 0.05622893921747282, 0.0020130403799842427, -1.858806831739491e-06], [1103.0307146658727, 3.0555028245984692, 20117.118996602316, -10.505334823746725, -50.2706367220196, -10386.483722595472, 344.9424359225045, 13.076379389033283, -0.013790388839919947], [-3.1860693390030357, -0.003136841098606782, -10.505334766734544, 0.09409423686860999, 0.06358848261086116, 11.853817171154162, -0.39686323506680743, -0.008346243867551848, -7.967995664232384e-06], [-3.856835033110064, -0.008353062590023002, -50.27063669945416, 0.06358848274510338, 0.14382347656176214, 28.616855629642437, -0.9512619504399255, -0.03330511227223294, 2.9086590822411146e-05], [-759.4335321502095, -1.6916835353867268, -10386.48371849188, 11.853817198561805, 28.616855630828127, 5851.4474574217975, -194.62158574373646, -6.866636555500586, 0.005999602917666317], [25.315813326712544, 0.05622893921193558, 344.9424357839843, -0.39686323597543355, -0.951261950473402, -194.62158574254588, 6.47951153681162, 0.22811425670953414, -0.00019851198493065975], [0.7618144884739149, 0.002013040378403984, 13.07637937498686, -0.008346243894773796, -0.03330511225070207, -6.866636550724176, 0.22811425655225598, 0.00852699907509126, -8.699580662713473e-06], [-0.0003095642664663857, -1.8588068339203557e-06, -0.01379038884990671, -7.96799561971484e-06, 2.9086590863540972e-05, 0.005999602925669768, -0.0001985119851979232, -8.699580678401992e-06, 1.3027299565373324e-08]]",Microlensing PSPL,,Regular,0.60996,20.223,21.963,-0.55397,2458433.776,0.80042,-0.05152,0.0,415.43,20.468,,0.0
Gaia19bat,327.18316,-1.3591,239.00536,-55.28917,Gaia19bat,SIDEREAL,2020-06-30 23:06:00.963003+00:00,2022-08-16 00:00:30.680188+00:00,239.00536,-55.28917,2000.0,,,,327.183164360137,-1.35909931350036,,,,,,,,,,,,,,,,,,2459449.269017568,2459449.50273101,false,"[[278.6242728063688, 0.6729902946094596, -11510.859709575487, -6.156578015465672, -1.0064087853097043, 19889.892188678165, -41.64444423667377, 1278.882922677678, -213.72013876682357], [0.6729902945585876, 0.0022593954006041805, -35.43529687382888, -0.021861310838281415, -0.0029256422380593626, 67.83434875476622, -0.14157720770858465, 7.927454034987609, -1.3250348397348195], [-11510.859709019589, -35.43529687463365, 569136.9994147881, 338.732890317614, 46.75101659364726, -1060839.9695137814, 2215.7499251972076, -110513.54830465726, 18471.3060641291], [-6.156578014888986, -0.021861310838001562, 338.73289030543197, 0.21404838457489642, 0.027886136564120114, -658.7013307213897, 1.37391930828431, -82.71492101897184, 13.82559601403281], [-1.0064087852272963, -0.0029256422380122484, 46.75101659182935, 0.027886136564038422, 0.00567748022302822, -87.63460004238492, 0.18309477076014813, -8.782024201167687, 1.4677940448857596], [19889.8921870878, 67.83434875455782, -1060839.9694863448, -658.7013307277762, -87.63460004352065, 2039561.8053923748, -4256.1413505459695, 243077.45999639144, -40629.366475372444], [-41.64444423339018, -0.14157720770826807, 2215.749925141803, 1.373919308298785, 0.1830947707626765, -4256.141350549525, 8.882457226320252, -505.1148779506024, 84.42773424593547], [1278.8826440087253, 7.927453060155372, -110513.5331537341, -82.71491151888479, -8.782022949061068, 243077.43065684225, -505.1148167376874, 63610166.627704866, -10642999.26787506], [-213.720092141081, -1.3250346766297874, 18471.303529137716, 13.825594424516055, 1.467793835388265, -40629.36156639625, 84.42772400403507, -10642999.267874444, 1780744.1945294174]]",Microlensing PSPL,,Regular,0.60712,18.713,19.707,-0.59198,2458529.451,-0.00629,0.03741,0.0,500.0,19.268,,0.0
Gaia19baz,326.47869,1.73456,234.77736,-53.29337,Gaia19baz,SIDEREAL,2020-06-30 23:05:54.197930+00:00,2022-08-16 00:00:24.154388+00:00,234.77736,-53.29337,2000.0,,,,326.478685948073,1.73456497864168,,,,,,,,,,,,,,,,,,2459214.1235635704,2459214.00429262,false,"[[47.292492567886185, 0.004589975171759463, -38.10263943919202, -0.24447442514281206, -0.19296699002232626, 1840.028863961214, -0.24078016156896628], [0.004589975192528693, 7.968765126306387e-05, -0.0229817168306045, -5.249587335283071e-06, -9.07137354474387e-05, 0.7763493275262758, -0.00010146340805604193], [-38.10263946005674, -0.022981716815820986, 49.841628312199404, 0.20645654243021938, 0.20658243187912825, -1792.2415931723956, 0.23430752477453187], [-0.24447442515332665, -5.2495872288812585e-06, 0.206456542330813, 0.001286965797878437, 0.0010072718116056264, -9.53569237561443, 0.0012478143627296977], [-0.1929669900778649, -9.071373536788877e-05, 0.20658243183874478, 0.00100727181184988, 0.0009397285697557037, -8.4296950826057, 0.0011022273604353258], [1840.0288642977202, 0.7763493267500171, -1792.241592632089, -9.535692376945375, -8.429695081818792, 77980.40894069774, -10.201432255931888], [-0.24078016161275473, -0.00010146340795444082, 0.23430752470363214, 0.0012478143629025913, 0.0011022273603313538, -10.201432255922347, 0.0013346434047515918]]",Microlensing PSPL,,Regular,0.53127,19.915,18.806,-0.1878,2458680.12,-0.9358,0.22721,0.0,266.119,null,,0.0
Gaia19bcm,292.06864,-11.9323,156.89485,-71.70096,Gaia19bcm,SIDEREAL,2020-06-30 23:05:47.379068+00:00,2022-08-16 00:00:39.093846+00:00,156.89485,-71.70096,2000.0,,,,292.068638491186,-11.9322965376323,,,,,,,,,,,,,,,,,,2459213.5459921523,2459213.50153536,false,"[[0.0004618485893020414, 1.7267216759303804e-05, 6.255551823401458e-05, 0.00010525633964285163, 0.00030613864135648237, 3.729846316369267e-09, 2.414038162055751e-07], [1.7267216759323465e-05, 2.284119660550899e-05, 0.00034631429734109485, -5.038939151266116e-05, 0.0002603524821885111, 1.8325635234653015e-08, 1.6910686451694687e-07], [6.255551823430867e-05, 0.00034631429734111204, 0.006915823697211353, -0.0005719014170164651, 0.0026108691282729513, 3.603754689069702e-07, -4.4196272627938065e-07], [0.00010525633964280273, -5.038939151266409e-05, -0.0005719014170164618, 0.0002571069191518398, -0.0008171899959702668, -3.119229835810731e-08, -8.639522023345505e-07], [0.0003061386413567109, 0.00026035248218849594, 0.002610869128272509, -0.0008171899959701935, 0.004627444717491564, 1.4396238431647808e-07, 4.679519029518335e-06], [3.729846316384583e-09, 1.8325635234655543e-08, 3.6037546890698623e-07, -3.119229835811358e-08, 1.4396238431653088e-07, 1.8796009165681122e-11, -1.2388688532016825e-11], [2.414038162057391e-07, 1.6910686451691643e-07, -4.4196272627993566e-07, -8.639522023344262e-07, 4.6795190295180345e-06, -1.2388688532077147e-11, 2.2095572867904372e-08]]",Microlensing PSPL,,Regular,0.97704,14.32,14.244,0.1606,2458551.764,-0.24316,0.30771,0.0,28.995,null,,0.0
Gaia19dke,62.01113,5.70414,291.49451,28.40686,Gaia19dke,SIDEREAL,2020-08-02 23:16:29.512610+00:00,2022-08-16 00:00:51.261214+00:00,291.49451,28.40686,,,,,62.0111288101846,5.70413518742568,,,,,,,,,,,,,,,,,,2459486.529875169,2459486.502701122,false,"[[69.68202687407346, 0.1634884647481872, 13.18600671886221, -0.023738578727877758, 0.012429191471784866, -3.840674676002288, -0.0018978717475401359, -6.868928152750561, -0.001550175948872676, -1.275327914254259, -0.0013337215378114763, -2.837369249702849, -0.005561304782463179, -1.1572494050573332, -0.005534264891019509, 556.8007624975689, -0.0034918418256891692, -218.41075288003583, -0.0030726931643721843], [0.16348846109241325, 0.0009282479103206332, -0.012294435599724431, -9.703525646141521e-05, -0.0003137252333470746, 0.2167180054350953, -5.845831044574691e-06, 0.3876539956230118, -5.850924228527034e-06, 0.07213601107375148, -4.679424613797497e-06, 0.16023912936200596, -1.7412509060001386e-05, 0.0653554293874887, -1.7268558007661966e-05, -31.430860449065097, 1.6274785528014025e-05, 12.32853385891605, -3.253650140484212e-05], [13.186007346836695, -0.012294435081646503, 16.326475617799485, 0.01412911026929755, 0.09064147482661601, -29.214896555776402, -0.0016183480801032972, -52.25759638335442, -0.0017742203900507423, -9.722468285645347, -0.0014533427565932748, -21.600092390822486, -0.003750700984141989, -8.809851056485245, -0.0037536155133294957, 4236.971390993898, -0.006921613586171141, -1661.9285622765394, -0.0006031124257752239], [-0.02373857736017271, -9.703525707470748e-05, 0.01412911049739208, 6.389913292201223e-05, 9.062783731394802e-05, -0.07678517637848609, -1.399874138638795e-06, -0.13734886678119182, -1.6175682647053422e-06, -0.025556824877493976, -1.5831919673993336e-06, -0.05677308935631029, -3.0726142140404565e-06, -0.023155575241561695, -3.0965736937463236e-06, 11.136142892632034, -1.6627293342411687e-05, -4.368078946510865, 1.1923922576151454e-06], [0.012429195284457014, -0.00031372523449635066, 0.09064147557826156, 9.062783758992247e-05, 0.0006815528479842017, -0.1670679189354115, -3.0278719816231746e-06, -0.29884054298608276, -4.601341558277616e-06, -0.055601016567522435, -5.019460870697297e-06, -0.1235241215896221, -1.8781657708992804e-05, -0.05038076631391456, -1.8828683750377294e-05, 24.229683046411402, -3.5194817989973515e-05, -9.503952409367733, 2.498533073376244e-07], [-3.846205814143601, 0.21702786100815138, -29.25666408148076, -0.0768949449714022, -0.1673067176360353, 3056.3972252469107, 0.0011987196323275167, 5467.090579958469, -0.00016892873435796, 1017.2718387528009, 0.0011197742236115436, 2259.7904219122593, 0.002386058827019014, 921.682172707044, 0.00218933468251909, -443265.4511769468, 0.5076944374946116, 173867.94583868387, -0.17236008641596812], [-0.0018978714019892249, -5.845852709260086e-06, -0.0016183451656966847, -1.3998664654575572e-06, -3.027855271104346e-06, 0.0011967041091125083, 7.494063368485552e-07, 0.002140563250256593, 4.6586698770826286e-07, 0.00039816062595628284, 3.071129872093774e-07, 0.0008847449938508382, 4.096003974517127e-07, 0.00036085350484290463, 4.0911719442220795e-07, -0.1735518406665068, 5.813112636492308e-07, 0.06807507092872751, 3.0727445417509546e-07], [-6.8661589301941754, 0.3874934574160374, -52.2359517945655, -0.13729196001998528, -0.2987166685647593, 5457.024395305362, 0.0021402206253992974, 9761.181046686013, -0.0003016326556487889, 1816.2813377153782, 0.0019992762422925223, 4034.7279989954845, 0.004260096520408114, 1645.6113949051228, 0.00390885709844723, -791425.3948069881, 0.9064596671589074, 310431.38443170046, -0.3077392319368753], [-0.0015501765728016836, -5.850890337445497e-06, -0.0017742249682423424, -1.6175802842225603e-06, -4.6013677166726576e-06, -0.00016820921887318756, 4.6586715869119767e-07, -0.0003009020623266406, 1.3648337192274399e-06, -5.612524569406151e-05, 3.3166711883397597e-07, -0.00012441022978912356, 4.756136488861552e-07, -5.074233513234397e-05, 4.7519596659554066e-07, 0.024398608771545097, 4.1774752121668283e-07, -0.009569684337763257, 4.538992798796971e-07], [-1.2753656654085666, 0.0721373560698078, -9.7226489378621, -0.025557296378209665, -0.055602031589412966, 1015.8384210118656, 0.0003982692865676874, 1817.0676954320168, -5.628548932395951e-05, 338.10520778271814, 0.00037205758007532454, 751.0744726954205, 0.0007926717329814649, 306.3345809181089, 0.0007272882377966437, -147325.77045897243, 0.16873949093846258, 57787.56050252288, -0.057286622417294944], [-0.0013337215723016437, -4.679424703677892e-06, -0.001453342751180674, -1.5831919386593873e-06, -5.019460799137241e-06, 0.0011181751186417838, 3.071130986128975e-07, 0.002000103759315847, 3.316669435923128e-07, 0.000372050497851309, 4.2986214118660945e-07, 0.0008267016640379051, 4.445434243175425e-07, 0.00033717989129544804, 4.441395666463637e-07, -0.16216451331812357, 5.854374352523783e-07, 0.06360837970794338, 3.369902584773377e-07], [-2.8373997244744835, 0.16023910362814228, -21.600087461616038, -0.056773069043676516, -0.12352405327987483, 2256.563756777766, 0.0008849697308428642, 4036.398919601295, -0.00012476385264373671, 751.0603476031084, 0.0008267018485555695, 1668.4222594200282, 0.0017614802950372984, 680.485693781353, 0.001616238141700683, -327266.6077289194, 0.3748349849185712, 128368.16556808198, -0.12725499884694833], [-0.005561304863044168, -1.7412509016984672e-05, -0.0037507010002300147, -3.0726142349692833e-06, -1.878165770634175e-05, 0.002382655223644783, 4.096006355599922e-07, 0.00426186651101934, 4.756132743673264e-07, 0.0007926578931554464, 4.445434249690697e-07, 0.0017614826806899846, 1.6205621134376756e-06, 0.0007184410008580046, 1.5056794250742255e-06, -0.3455390750302622, 1.5887354842127123e-06, 0.13553670856105954, 1.107338527440927e-06], [-1.1572618227881928, 0.06535541822756866, -8.809848956532948, -0.023155566721533908, -0.050380737941062174, 920.3661299289145, 0.00036094516280768736, 1646.2928828510499, -5.088656386683579e-05, 306.32881672004544, 0.0003371799631269917, 680.4856868669751, 0.0007184400205409874, 277.54411218232156, 0.0006592012982197154, -133479.54397732846, 0.15288086712637913, 52356.46960788115, -0.051902451725017236], [-0.005534264969131981, -1.726855796183098e-05, -0.0037536155300631232, -3.096573716752224e-06, -1.8828683754815947e-05, 0.0021862119828967917, 4.091174129829729e-07, 0.003910481646751773, 4.7519562287389005e-07, 0.0007272756309358205, 4.4413956729652074e-07, 0.0016162405347304523, 1.505679425320863e-06, 0.0006592022809436396, 2.3147775892691013e-06, -0.3170492461359839, 1.5538612262259672e-06, 0.12436175974061364, 1.1158378275725484e-06], [556.8067661211761, -31.43085686293424, 4236.970621149039, 11.136139426113791, 24.22967077399739, -442632.5506004575, -0.17359593165221346, -791753.1882933411, 0.024467974215366388, -147323.00662595677, -0.1621645570531515, -327266.6229480963, -0.3455386231454252, -133479.55154092758, -0.31704879147921783, 64194442.93062263, -73.52514905906206, -25179846.290657908, 24.961484057406977], [-0.003491848732368743, 1.6274781626671505e-05, -0.006921612739515252, -1.6627289455225798e-05, -3.519480410532812e-05, 0.5069695485124613, 5.813617647498364e-07, 0.9068351130481077, 4.176680727834102e-07, 0.1687363267558287, 5.854374865320762e-07, 0.37483500540524084, 1.5887349700666252e-06, 0.15288087703552328, 1.5538607086220903e-06, -73.52514965838408, 8.666066634342525e-05, 28.839755076292256, -2.7379856614507057e-05], [-218.41312124829693, 12.328533213578039, -1661.928362935145, -4.368077856524402, -9.503948182469895, 173619.70548847827, 0.06809236953141577, 310559.97843926493, -0.009596893067651395, 57786.47997563814, 0.06360840079056407, 128368.17946454481, 0.1355365396816267, 52356.47580770861, 0.12436158908384765, -25179847.845534336, 28.839756622090928, 9876629.026254483, -9.790977105614287], [-0.0030726908489353507, -3.253650055022586e-05, -0.000603112659680366, 1.19239109027145e-06, 2.4984894108773176e-07, -0.17211399446737718, 3.072573070582347e-07, -0.30786670293868695, 4.539262518484055e-07, -0.057285549805629145, 3.3699023876205814e-07, -0.12725500939019777, 1.1073386983198377e-06, -0.05190245655258357, 1.115837999913255e-06, 24.961484964694076, -2.7379857420716563e-05, -9.790976856890676, 1.1414177400278093e-05]]",Microlensing PSPL,,Regular,0.16979,15.419,12.386,-0.11297,2459130.511,-0.37787,-2.0,0.0,89.753,null,,0.0
Gaia19eie,284.14338,-33.21849,77.72384,-72.68474,Gaia19eie,SIDEREAL,2020-06-30 23:01:50.871878+00:00,2022-08-16 00:00:33.470175+00:00,77.72384,-72.68474,2000.0,,,,284.143384166492,-33.218486311464,,,,,,,,,,,,,,,,,,2459346.0767871924,2459345.9852805296,false,"[[1.2212221111705064, 0.22550675631825345, 93.07596913039711, 0.2464184734539825, 0.07804624671999466, -47.359606684360756, 7.121162938290103, -29.31540977155979, 3.1327927726258284], [0.22550675628244732, 0.12840009525295643, 17.900177644891897, 0.04780097189806865, -0.003068721814371235, 8.439690103114978, -1.270174871945293, 39.3568014850586, -4.2504973772515235], [93.07596914174019, 17.9001776530946, 15674.555477635206, 40.37953165441439, 17.53242674828535, -10597.474373964944, 1588.7628556838097, -15393.185619943488, 1655.260763039664], [0.24641847348380386, 0.04780097191931325, 40.379531654515525, 0.10575678924069676, 0.045024876736960186, -27.052957560400035, 4.054123371924434, -39.74706148088603, 4.274297133440416], [0.07804624674427314, -0.0030687218029718548, 17.53242675023547, 0.04502487674187034, 0.025020829513842463, -16.24299656170194, 2.435060518777058, -30.138387034661495, 3.2450023093103244], [-47.359606701088936, 8.439690095828228, -10597.47437548878, -27.052957564256825, -16.24299656208724, 11194.967802423607, -1679.7839415898577, 21259.86228286333, -2289.627430501527], [7.12116294079563, -1.2701748708533123, 1588.762855911866, 4.054123372501621, 2.435060518834376, -1679.783941589588, 252.0649514706974, -3187.6507730749936, 343.30099208008977], [-29.3154098715991, 39.356801459956856, -15393.185634895342, -39.747061519302946, -30.138387049475032, 21259.86229148316, -3187.650774367671, 86318.19329972108, -9319.496545715738], [3.132792783434298, -4.2504973745425, 1655.2607646560512, 4.274297137593577, 3.2450023109128585, -2289.627431434243, 343.3009922199648, -9319.496545724172, 1006.2040086571157]]",Microlensing PSPL,,Regular,1.03695,19.178,22.262,-0.40881,2458745.932,-0.21507,9.6E-4,0.0,144.726,19.243,,0.0
Gaia19epm,71.85695,-1.78134,304.8503,33.00673,Gaia19epm,SIDEREAL,2020-06-30 23:00:34.495377+00:00,2022-08-16 00:00:34.402453+00:00,304.8503,33.00673,2000.0,,,,71.8569535328171,-1.7813391011764,,,,,,,,,,,,,,,,,,,2446756.5,false,"[[1.4231929140615835, 0.06262203237852687, -34.01819087525216, 0.008210778002570317, -0.033167996098883414, 2118.094299495856, -14.472024893249174, 59.16554508856076, -297.1141233513766, 2554.1167316310793, -9.646204266753129], [0.06262203237135443, 0.0036814885051744363, -1.9875783618049332, 0.0010297626566255615, -0.0027703724949828343, 124.47672447562792, -0.8503948132412468, 3.4727613886310613, -17.439210009319083, 151.94395045594817, -0.5738105413582315], [-34.0181908719151, -1.987578361839282, 1117.323046428426, -0.46048383665004194, 1.5172899813717557, -67732.21895938327, 462.70643271748304, -1888.621918614701, 9484.090652915162, -83217.47244269095, 314.26898122232245], [0.008210777996337532, 0.00102976265637248, -0.46048383650236113, 0.0009559300144943599, -0.0010708427850070448, 34.166258620781505, -0.2333875947448105, 0.9532625058863214, -4.78698467026322, 41.51545366911958, -0.15673492685035817], [-0.033167996089089394, -0.0027703724947262414, 1.5172899812054808, -0.0010708427851296829, 0.003022485129914479, -93.98405388584811, 0.6419704654472134, -2.6184498217210046, 13.148997404752182, -116.37658331294156, 0.43946174801693205], [2118.0942992473033, 124.47672447536976, -67732.21895808211, 34.16625862930699, -93.98405389439381, 4236763.056807537, -28945.822249097022, 117605.88031492489, -590582.5584890487, 5153050.890528311, -19460.263834425125], [-14.472024891550301, -0.8503948132394379, 462.70643270856965, -0.23338759480304225, 0.6419704655055636, -28945.822249095498, 197.76028115048823, -803.4459840789104, 4034.6723063623394, -35203.47855080051, 132.94435274562377], [59.165545026306006, 3.472761385374786, -1888.6219168093965, 0.9532625052359115, -2.6184498195069508, 117605.88020430668, -803.4459833232017, 14324.463644114086, -71969.22212546815, 143728.22136314964, -542.783274050748], [-297.1141230385748, -17.43920999295665, 9484.090643843807, -4.78698466699422, 13.14899739362603, -590582.5579332035, 4034.67230256498, -71969.22212545834, 361589.47228983446, -721760.8474436125, 2725.6979397376376], [2554.11673133755, 151.94395045617688, -83217.4724413899, 41.51545367968168, -116.37658332375334, 5153050.890546548, -35203.478550926964, 143728.22149818225, -721760.848122136, 6311609.775143095, -23835.54932612444], [-9.646204265644899, -0.5738105413591111, 314.2689812174178, -0.15673492689024987, 0.4394617480577744, -19460.26383449454, 132.94435274610504, -542.7832745607076, 2725.697942300127, -23835.5493261251, 90.01405641474442]]",Microlensing PSPL,,Regular,0.51702,14.01,17.998,0.35494,2458743.964,-0.34234,0.18896,0.0,137.736,14.038,,0.0
Gaia19evd,288.02612,-4.46373,158.13601,-63.24245,Gaia19evd,SIDEREAL,2020-06-30 23:00:20.988496+00:00,2022-08-16 00:00:49.596875+00:00,158.13601,-63.24245,2000.0,,,,288.026124644578,-4.46372729177077,,,,,,,,,,,,,,,,,,2459285.870401793,2459285.83370685,false,"[[1.145611984453849, -0.00272606236052278, 2.5004467275693614, 0.024805913973822962, -0.03251906165467336, -2.0325540726088005, 0.002728647677418675], [-0.002726062359577679, 0.0428854263111066, 9.236448808697777, 0.03239984270547765, 0.012261507783717844, -332.79501263269026, 0.29302672236857236], [2.500446727774594, 9.236448808692499, 2024.469252250305, 7.271336519861414, 2.5521475986522155, -72024.9158850297, 63.42181115621913], [0.02480591397454958, 0.03239984270542954, 7.271336519855022, 0.02769100024468338, 0.008208743344068022, -253.78887074973662, 0.2235648935344178], [-0.03251906165441162, 0.012261507783720888, 2.552147598654328, 0.008208743344083596, 0.005513532829534648, -94.4880258570075, 0.08312317290335926], [-2.0325540799679853, -332.7950126326691, -72024.9158850662, -253.7888707500951, -94.48802585697804, 2587652.7862679046, -2278.478992133038], [0.0027286476838990137, 0.29302672236855465, 63.42181115625147, 0.2235648935347342, 0.08312317290333356, -2278.478992133045, 2.006282909403772]]",Microlensing PSPL,,Regular,1.2396,18.63,19.196,-0.08962,2458811.151,-0.20768,-0.31049,0.0,89.805,19.607,,0.0
