name,l,b,RA,dec,col1,col2,col3,col4,col5,col6,col7,col8,Separation
Gaia17aqu,243.99969,-2.17979,116.0932,-28.44343,GD1606.28.7724,07:44:22.37,-28:26:36.3,116.093222,-28.44343,243.999696,-2.17977,Gaia17aqu,0.069639593691819
Gaia18cik,27.85673,2.42551,278.37988,-3.40325,DG1305.05.650,18:33:31.17,-03:24:11.6,278.379873,-3.403221,27.85675,2.425536,Gaia18cik,0.10738790513736995
Gaia19aqw,298.96729,-5.49215,182.25581,-68.03681,GD2020.09.329,12:09:01.42,-68:02:12.5,182.25592,-68.036812,298.967325,-5.492147,Gaia19aqw,0.14828319067951157
Gaia19bld,301.52358,-3.27762,189.38565,-66.11136,GD1298.15.107,12:37:32.58,-66:06:41.0,189.385753,-66.111391,301.523617,-3.277643,Gaia19bld,0.1870891304513432
Gaia19dsb,40.14075,-2.6242,288.5015,5.20312,DG1177.03.1075,19:14:00.37,+05:12:11.3,288.501528,5.203144,40.140781,-2.624215,binary_Gaia19dsb,0.13244635703210458
Gaia19dyo,28.04931,-1.70718,282.15307,-5.12344,DG1018.05.19459,18:48:36.75,-05:07:24.3,282.153112,-5.123403,28.049357,-1.707198,Gaia19dyo,0.20105065470249356
