JD;Magnitude;Error;Facility;Filter;Owner
2458535.83865509;18.598217010498047;0.0995764180539799;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458537.82234606;17.925378799438477;0.1104766023523105;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458537.82485764;17.927108764648438;0.1204216698742344;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458537.82784375;18.6912841796875;0.0928474955198929;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458537.83104861;18.671817779541016;0.0942449248933633;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458539.79010301;17.989057540893555;0.1084456483418971;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458539.79309144;18.69583320617676;0.0958707565573698;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458539.7962963;18.70090103149414;0.0935529822134994;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458541.81250116;17.985666275024414;0.1087894431434133;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458541.81501273;17.994447708129883;0.1074691235414117;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458541.818;18.706859588623047;0.092692970352725;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458541.82120602;18.70702362060547;0.0930558045989596;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458543.77734491;18.01884078979492;0.1089856419693766;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458543.77985532;18.00557518005371;0.1094817112994702;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458543.78284143;18.686697006225582;0.0936836268390383;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458543.78604745;18.686363220214844;0.0939713342574153;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458545.7888669;18.031856536865234;0.109222058515038;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458545.79436458;18.54336929321289;0.1180752472195155;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458547.75596759;18.054122924804688;0.1093282547007382;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458547.75847106;18.0561466217041;0.1092134129825789;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458547.76146412;18.78757667541504;0.0531779192010438;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458547.76466435;18.747621536254883;0.0946055765039595;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458549.75702431;18.06467056274414;0.1116788528892557;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458549.75952894;18.081188201904297;0.1109573816806899;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458549.76252315;18.76728057861328;0.0939336784359369;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458549.76572222;18.76025009155273;0.0950568067145485;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458551.73404282;18.07436752319336;0.1115896753632912;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458551.73655671;18.076824188232425;0.115480178602814;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458551.74274768;18.829891204833984;0.0980370183248107;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458551.74702199;18.10011863708496;0.1091024458018484;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458551.75251968;18.781967163085938;0.0901458844749409;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458551.75572685;18.79926872253418;0.0923242227727619;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458553.75869676;18.115558624267575;0.1109003584988918;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458553.76120949;18.0972843170166;0.109484049702839;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458553.76419676;18.80194664001465;0.0927776781599566;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458555.76830556;18.08732032775879;0.1089669840280576;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458555.77081597;18.1234188079834;0.1088990026424667;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458555.77380324;18.799739837646484;0.0932602461816886;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458555.7770081;18.83209609985352;0.0926957073127063;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458561.7798356498;18.16157341003418;0.1110862066725658;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458561.78282986;18.943777084350582;0.1086203460380687;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458561.78602546;18.85125732421875;0.0686867854530672;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458563.74906597;18.104904174804688;0.1112818612974964;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458563.75157986;18.163787841796875;0.1126687466946284;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458563.7545625;18.831531524658203;0.1061865177798196;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458563.75777083;18.824657440185547;0.0991677722042534;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458565.71559838;18.12559509277344;0.112570917561248;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458565.7181088;18.1705379486084;0.1124968883875707;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458565.72109722;18.89341735839844;0.1003959348556788;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458565.72430324;18.838808059692383;0.0992183590771101;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458567.73126389;18.19023323059082;0.1112532034940787;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458567.73377778;18.153886795043945;0.1093240537909095;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458567.73676273;18.87410545349121;0.0941357043508711;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458567.73996296;18.872949600219727;0.0982823021208886;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458569.73413773;18.18343162536621;0.1100433902960863;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458569.73664005;18.16751289367676;0.1114919141478495;SMARTS1.3 P.Zielinski;i(APASS);SMARTS1.3 P.Zielinski
2458569.73962847;18.87974166870117;0.0933088876272084;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
2458569.74282523;18.86871719360352;0.0965595065355801;SMARTS1.3 P.Zielinski;V(APASS);SMARTS1.3 P.Zielinski
