# HJD             mag      mag_err  
  2458198.548     15.968   0.113    
  2458198.54921   16.019   0.108    
  2458198.55043   16.181   0.158    
  2458198.64603   16.401   0.198    
  2458198.64726   16.170   0.152    
  2458198.64847   16.193   0.144    
  2458200.38656   16.363   0.147    
  2458200.389     16.321   0.16     
  2458282.54352   16.191   0.122    
  2458282.54474   16.053   0.124    
  2458282.54595   16.149   0.142    
  2458282.57699   16.456   0.215    
  2458282.57821   16.156   0.173    
  2458282.57942   16.214   0.171    
  2458300.46789   15.860   0.128    
  2458300.46911   16.232   0.173    
  2458300.47032   16.078   0.13     
  2458301.46069   16.201   0.201    
  2458303.46869   15.999   0.104    
  2458303.46991   15.981   0.111    
  2458303.47114   16.121   0.108    
  2458303.52873   16.272   0.179    
  2458303.53117   16.263   0.167    
  2458308.5249    16.203   0.173    
  2458308.52612   16.017   0.145    
  2458308.52735   16.084   0.144    
  2458311.50789   16.072   0.14     
  2458311.50911   16.090   0.135    
  2458311.51034   16.315   0.194    
  2458312.50426   16.125   0.162    
  2458312.50669   16.150   0.175    
  2458314.50003   16.432   0.194    
  2458314.50125   16.380   0.205    
  2458314.50246   16.101   0.152    
  2458315.4865    16.068   0.171    
  2458316.49066   16.380   0.204    
  2458316.49188   16.240   0.201    
  2458316.49309   16.102   0.172    
  2458405.87531   16.293   0.197    
  2458406.86822   16.259   0.164    
  2458406.86953   16.089   0.143    
  2458406.87078   16.091   0.131    
  2458411.86837   16.141   0.163    
  2458411.86966   16.282   0.175    
  2458423.85139   16.019   0.128    
  2458423.85382   16.035   0.12     
  2458423.85603   15.998   0.197    
  2458425.84911   16.247   0.136    
  2458425.85039   16.431   0.213    
  2458425.85168   16.227   0.151    
  2458426.84198   16.039   0.12     
  2458426.8432    16.195   0.135    
  2458426.84441   15.968   0.115    
  2458426.85019   16.153   0.14     
  2458426.85147   16.142   0.126    
  2458426.85274   16.182   0.176    
  2458427.84318   16.062   0.12     
  2458427.84446   16.103   0.129    
  2458427.84574   16.414   0.177    
  2458428.84333   15.986   0.108    
  2458428.84385   16.204   0.144    
  2458428.84455   16.195   0.128    
  2458428.84513   16.171   0.171    
  2458428.84576   16.117   0.118    
  2458428.84639   16.289   0.164    
  2458429.84844   16.189   0.11     
  2458429.84972   15.880   0.1      
  2458429.85099   16.182   0.164    
  2458430.83744   15.992   0.111    
  2458430.83873   16.135   0.108    
  2458430.84      16.087   0.13     
  2458431.84211   16.195   0.147    
  2458431.84337   16.206   0.138    
  2458431.84464   16.060   0.114    
  2458431.8528    16.200   0.129    
  2458431.85401   16.569   0.211    
  2458431.85524   16.365   0.153    
  2458432.83493   16.069   0.122    
  2458432.83621   16.216   0.141    
  2458432.83748   16.143   0.139    
  2458432.84265   16.231   0.166    
  2458432.84393   16.351   0.186    
  2458432.84521   16.101   0.142    
  2458434.83634   16.055   0.122    
  2458434.8376    16.213   0.157    
  2458434.83888   16.296   0.175    
  2458437.82509   16.076   0.129    
  2458437.82629   16.110   0.132    
  2458437.82751   16.064   0.096    
  2458440.80565   15.951   0.109    
  2458440.80687   16.151   0.14     
  2458440.80808   15.866   0.094    
  2458441.83993   16.092   0.112    
  2458446.81336   15.989   0.212    
  2458447.77366   16.056   0.169    
  2458447.81426   16.112   0.198    
  2458448.8097    15.989   0.173    
  2458449.79312   16.148   0.181    
  2458450.79501   16.254   0.188    
  2458451.7611    16.194   0.168    
  2458451.76231   16.101   0.149    
  2458451.76355   15.957   0.128    
  2458452.80567   16.126   0.141    
  2458452.80688   16.161   0.133    
  2458452.8081    16.337   0.188    
  2458453.80598   16.206   0.143    
  2458453.80719   16.141   0.129    
  2458453.8084    16.127   0.127    
  2458454.81856   16.185   0.151    
  2458454.81977   16.318   0.169    
  2458454.821     16.138   0.123    
  2458454.85297   16.128   0.2      
  2458455.80036   16.074   0.121    
  2458455.80163   15.973   0.113    
  2458455.80291   16.214   0.141    
  2458455.84454   16.084   0.122    
  2458455.84583   16.321   0.191    
  2458455.8471    16.276   0.164    
  2458457.75982   16.086   0.129    
  2458457.76109   16.126   0.119    
  2458457.76236   16.059   0.119    
  2458457.79376   16.294   0.158    
  2458457.79503   16.332   0.159    
  2458457.7963    16.366   0.173    
  2458458.79052   16.000   0.094    
  2458458.79181   16.279   0.152    
  2458458.79309   16.068   0.108    
  2458459.79894   16.026   0.094    
  2458459.80019   16.128   0.123    
  2458459.80145   16.104   0.134    
  2458460.81131   16.315   0.16     
  2458461.76696   16.043   0.131    
  2458461.76816   16.354   0.218    
  2458461.76939   16.087   0.111    
  2458461.85199   16.150   0.199    
  2458462.81233   16.431   0.188    
  2458463.80504   16.446   0.176    
  2458463.80632   16.085   0.117    
  2458463.8076    16.268   0.137    
  2458463.81441   16.171   0.131    
  2458463.81563   15.975   0.115    
  2458463.81684   16.041   0.099    
  2458464.76407   16.332   0.171    
  2458464.76536   16.319   0.15     
  2458464.76662   16.115   0.123    
  2458465.77634   16.122   0.131    
  2458465.77762   15.957   0.085    
  2458465.77888   16.096   0.118    
  2458465.78533   16.171   0.136    
  2458465.78666   16.119   0.141    
  2458466.7691    16.261   0.143    
  2458466.77037   16.112   0.098    
  2458466.77163   16.097   0.121    
  2458467.78851   16.006   0.126    
  2458467.78979   16.202   0.142    
  2458467.79106   15.984   0.11     
  2458468.72401   16.086   0.129    
  2458468.72529   16.031   0.106    
  2458468.72656   16.014   0.114    
  2458471.72059   16.223   0.214    
  2458471.72303   16.028   0.176    
  2458472.82279   16.175   0.135    
  2458472.82407   16.162   0.121    
  2458472.82534   16.103   0.128    
  2458473.8163    16.204   0.194    
  2458477.74828   16.288   0.216    
  2458478.73503   16.330   0.204    
  2458478.73631   16.366   0.214    
  2458478.75324   16.056   0.161    
  2458478.75452   16.284   0.206    
  2458478.7558    16.060   0.155    
  2458479.72994   16.191   0.165    
  2458479.73116   16.415   0.212    
  2458479.73238   16.313   0.191    
  2458479.77433   16.264   0.175    
  2458479.7756    16.213   0.176    
  2458479.77687   16.312   0.17     
  2458480.79351   16.405   0.202    
  2458480.79473   15.947   0.144    
  2458480.79594   16.414   0.19     
  2458481.79021   15.985   0.115    
  2458481.79148   16.077   0.141    
  2458481.79275   16.185   0.143    
  2458482.76441   16.284   0.155    
  2458482.76562   16.278   0.136    
  2458482.76685   16.125   0.146    
  2458482.8369    16.276   0.219    
  2458482.83813   16.377   0.216    
  2458482.83935   16.487   0.216    
  2458483.81315   16.124   0.127    
  2458483.81442   16.151   0.131    
  2458483.81568   15.899   0.069    
  2458484.70501   16.054   0.13     
  2458484.70629   16.232   0.162    
  2458484.70757   16.039   0.11     
  2458485.7299    16.400   0.198    
  2458485.83436   16.282   0.218    
  2458485.83689   16.153   0.186    
  2458486.72876   16.256   0.15     
  2458486.73003   16.246   0.149    
  2458486.73132   16.319   0.172    
  2458486.7952    16.171   0.156    
  2458486.79646   16.321   0.154    
  2458486.79772   16.176   0.15     
  2458487.72087   16.083   0.144    
  2458487.81381   16.098   0.118    
  2458487.81507   16.147   0.134    
  2458487.81635   16.118   0.131    
  2458488.85282   16.145   0.172    
  2458488.85404   16.232   0.172    
  2458489.70271   16.078   0.125    
  2458489.70399   16.127   0.127    
  2458489.70526   16.307   0.123    
  2458490.85534   15.918   0.125    
  2458490.8566    16.435   0.217    
  2458491.83881   16.017   0.109    
  2458491.84008   16.037   0.115    
  2458491.84135   16.153   0.124    
  2458492.69398   16.144   0.133    
