hjd,camera,mag,mag_err,flux,flux_err
2457698.80551,bf,13.611,0.02201,13.789,0.279
2458222.68865,be,13.615,0.02196,14.115,0.285
2458213.6351,be,13.633,0.02199,13.881,0.281
2458233.57606,bf,13.587,0.02196,14.094,0.285
2457833.5995,be,13.648,0.02203,13.693,0.277
2458102.79034,bf,13.59,0.02197,14.057,0.284
2457779.67644,bf,13.602,0.02199,13.907,0.281
2457752.74088,be,13.624,0.02198,13.997,0.283
2457760.60405,be,13.606,0.02194,14.228,0.287
2457701.76088,be,13.567,0.02189,14.751,0.297
2458165.62654,bf,13.629,0.02205,13.556,0.275
2457714.80688,bf,13.595,0.02198,13.993,0.283
2458104.73375,be,13.569,0.02189,14.718,0.296
2458073.85,bf,13.625,0.02204,13.613,0.276
2458167.64124,bf,13.625,0.02204,13.611,0.276
2458209.51253,bf,13.615,0.02202,13.739,0.278
2458043.85332,bf,13.62,0.02203,13.673,0.277
2457758.59649,be,13.587,0.02191,14.472,0.292
2457726.7623,be,13.589,0.02192,14.45,0.291
2457437.8256,be,13.646,0.02202,13.712,0.278
2457448.59385,be,13.575,0.0219,14.645,0.295
2457444.84384,bf,13.586,0.02196,14.104,0.285
2457904.54689,bf,13.595,0.02198,13.994,0.283
2457847.72469,bf,13.621,0.02203,13.656,0.277
2457444.70308,be,13.605,0.02194,14.242,0.288
2457853.58108,be,13.581,0.02191,14.559,0.293
2457817.79194,be,13.593,0.02192,14.395,0.29
2457659.87058,be,13.618,0.02197,14.07,0.284
2457763.78695,be,13.58,0.02191,14.578,0.294
2458122.85677,bf,13.623,0.02204,13.634,0.276
2458175.59597,bf,13.597,0.02198,13.962,0.282
2457874.65867,bf,13.609,0.022,13.813,0.28
2458169.60505,bf,13.602,0.02199,13.903,0.281
2457448.58634,bf,13.64,0.02208,13.428,0.273
2458022.87826,be,13.606,0.02194,14.231,0.287
2458170.74799,be,13.592,0.02192,14.414,0.291
2457754.6754,bf,13.606,0.022,13.847,0.28
2458166.53667,be,13.606,0.02194,14.232,0.287
2458238.52437,be,13.564,0.02189,14.795,0.298
2457664.88988,bf,13.579,0.02195,14.204,0.287
2458215.55743,be,13.61,0.02195,14.18,0.286
2457693.8256,bf,13.592,0.02197,14.033,0.284
2457741.79025,bf,13.626,0.02204,13.595,0.276
2457778.73022,be,13.593,0.02192,14.396,0.29
2458088.73139,bf,13.593,0.02197,14.019,0.283
2458229.6948,bf,13.59,0.02197,14.064,0.284
2457667.84832,be,13.641,0.02201,13.771,0.279
2458034.85692,bf,13.614,0.02202,13.747,0.278
2457438.78716,be,13.613,0.02196,14.131,0.285
2457799.71422,bf,13.604,0.02199,13.871,0.281
2457850.47575,be,13.654,0.02204,13.606,0.276
2457794.69295,bf,13.579,0.02195,14.194,0.287
2457457.68064,bf,13.657,0.02212,13.212,0.269
2457737.73069,be,13.566,0.02189,14.755,0.297
2457894.61479,bf,13.583,0.02195,14.147,0.286
2457791.84913,be,13.621,0.02197,14.028,0.284
2458167.54761,be,13.585,0.02191,14.51,0.293
2458179.69564,bf,13.591,0.02197,14.039,0.284
2458213.7262,bf,13.575,0.02194,14.249,0.288
2457751.65049,bf,13.625,0.02204,13.607,0.276
2458029.87498,bf,13.565,0.02193,14.391,0.29
2457837.72902,be,13.619,0.02197,14.056,0.284
2457768.74462,bf,13.601,0.02199,13.914,0.281
