# hjd             mag      mag_err  
  2458214.68315   14.411   0.02836  
  2457796.79246   14.373   0.02783  
  2458202.71577   14.403   0.02824  
  2458033.81886   14.411   0.02836  
  2457634.90452   14.399   0.02819  
  2458163.69583   14.441   0.02879  
  2457797.55207   14.431   0.02865  
  2457740.65917   14.405   0.02827  
  2457854.65252   14.432   0.02866  
  2457802.78815   14.404   0.02826  
  2458146.75532   14.475   0.02931  
  2458165.59149   14.446   0.02887  
  2457724.81533   14.402   0.02823  
  2458191.74492   14.371   0.0278   
  2458149.77846   14.402   0.02823  
  2458117.69021   14.443   0.02882  
  2458053.76948   14.458   0.02905  
  2457486.66658   14.394   0.02812  
  2457822.73389   14.397   0.02816  
  2458047.78897   14.437   0.02873  
  2458216.67369   14.401   0.02822  
  2458174.73074   14.378   0.0279   
  2457803.77778   14.322   0.02716  
  2458151.70468   14.416   0.02843  
  2458075.79284   14.436   0.02872  
  2458010.88942   14.41    0.02834  
  2458222.66107   14.392   0.02809  
  2458211.48659   14.453   0.02897  
  2457746.68607   14.445   0.02885  
  2458160.70583   14.368   0.02776  
  2457767.67088   14.35    0.02752  
  2458227.64265   14.4     0.0282   
  2457657.87794   14.407   0.0283   
  2458235.6191    14.292   0.02679  
  2457448.72706   14.361   0.02767  
  2457557.4567    14.422   0.02852  
  2458241.60039   14.376   0.02787  
  2457851.67047   14.419   0.02847  
  2458188.57197   14.405   0.02827  
  2457808.73784   14.408   0.02832  
  2458134.80088   14.373   0.02783  
  2458212.49352   14.446   0.02887  
  2457732.7472    14.388   0.02804  
  2457420.53914   14.362   0.02768  
  2457999.90661   14.424   0.02854  
  2457660.84147   14.377   0.02788  
  2457637.88963   14.428   0.0286   
  2457761.80172   14.403   0.02824  
