hjd,camera,mag,mag_err,flux,flux_err
2458280.01929,ba,15.635,0.0608,2.247,0.126
2456904.8843,ba,15.583,0.05854,2.357,0.127
2456973.7119,ba,15.523,0.05604,2.491,0.128
2456891.91885,bb,15.554,0.05961,2.303,0.126
2456928.8551,bb,15.611,0.06214,2.185,0.125
2456916.87592,bb,15.628,0.06292,2.152,0.125
2456592.7744,ba,15.578,0.05832,2.368,0.127
2457528.01087,ba,15.578,0.05832,2.368,0.127
2457878.07293,bb,15.605,0.06187,2.196,0.125
2457562.01504,bb,15.592,0.06129,2.225,0.125
2456818.95012,ba,15.636,0.06084,2.244,0.126
2457637.93147,ba,15.576,0.05824,2.373,0.127
2457558.95407,bb,15.671,0.06492,2.067,0.123
2457587.01599,ba,15.558,0.05748,2.411,0.128
2456765.08943,ba,15.663,0.06205,2.188,0.125
2458021.90702,ba,15.63,0.06058,2.257,0.126
2458001.89484,bb,15.515,0.05794,2.388,0.127
2456492.94369,bb,15.59,0.0612,2.228,0.125
2458392.90108,ba,15.592,0.05892,2.336,0.127
2457686.83795,ba,15.613,0.05983,2.292,0.126
2458308.94407,bb,15.564,0.06005,2.283,0.126
2458428.81637,ba,15.573,0.05811,2.378,0.127
2457212.93784,ba,15.549,0.0571,2.433,0.128
2456865.95654,ba,15.533,0.05644,2.469,0.128
2457687.83419,ba,15.565,0.05777,2.397,0.127
2457522.04584,bb,15.699,0.06626,2.015,0.123
2456969.7871,ba,15.61,0.0597,2.298,0.126
2457539.0383,bb,15.591,0.06124,2.227,0.125
2457656.93365,bb,15.573,0.06044,2.264,0.126
2457669.75205,ba,15.564,0.05773,2.398,0.127
2458259.10662,ba,15.532,0.0564,2.471,0.128
2457626.87299,ba,15.505,0.05531,2.533,0.129
2457157.05669,bb,15.615,0.06233,2.176,0.125
2456892.91015,ba,15.577,0.05828,2.371,0.127
2457658.95318,bb,15.661,0.06445,2.086,0.124
2457578.9828,ba,15.582,0.05849,2.359,0.127
2456972.71682,ba,15.563,0.05769,2.401,0.127
2456863.96594,bb,15.605,0.06187,2.197,0.125
2457885.03452,ba,15.571,0.05803,2.384,0.127
2457659.9122,ba,15.524,0.05608,2.489,0.128
2456929.8623,bb,15.538,0.05892,2.338,0.127
2456268.72887,bb,15.688,0.06573,2.037,0.123
2457552.94128,ba,15.557,0.05744,2.415,0.128
2456473.99176,bb,15.649,0.06389,2.11,0.124
2456523.87665,bb,15.486,0.05673,2.452,0.128
2457504.06812,ba,15.376,0.05039,2.852,0.132
2457543.04738,bb,15.556,0.0597,2.298,0.126
2457148.08759,ba,15.583,0.05854,2.357,0.127
2458308.03545,ba,15.577,0.05828,2.369,0.127
2458379.78207,ba,15.597,0.05914,2.326,0.127
2457161.07309,bb,15.582,0.06084,2.244,0.126
2457364.72683,bb,15.59,0.0612,2.228,0.125
2458009.95702,ba,15.564,0.05773,2.397,0.127
2457167.03484,ba,15.621,0.06018,2.277,0.126
2457494.09628,ba,15.641,0.06107,2.233,0.125
2457977.96545,ba,15.512,0.05559,2.515,0.129
2457327.80465,bb,15.551,0.05948,2.309,0.126
2457979.0259,bb,15.578,0.06067,2.253,0.126
2457264.96287,bb,15.546,0.05927,2.319,0.126
2457562.97062,ba,15.577,0.05828,2.37,0.127
2458019.86697,bb,15.659,0.06436,2.091,0.124
2457530.0195,ba,15.687,0.06315,2.141,0.124
2457494.10813,bb,15.592,0.06129,2.224,0.125
2456917.86988,ba,15.584,0.05858,2.354,0.127
2458221.13145,bb,15.44,0.05487,2.558,0.129
2457578.08501,bb,15.597,0.06151,2.215,0.125
2458377.87695,ba,15.608,0.05961,2.302,0.126
2458034.88667,ba,15.344,0.04925,2.936,0.133
2457907.96781,ba,15.61,0.0597,2.3,0.126
2458071.7741,ba,15.618,0.06005,2.282,0.126
2457582.99769,ba,15.5,0.05511,2.543,0.129
2457672.83896,ba,15.527,0.0562,2.481,0.128
2457576.95649,ba,15.57,0.05798,2.385,0.127
2458298.95898,ba,15.513,0.05563,2.514,0.129
2457966.83302,bb,15.609,0.06205,2.19,0.125
2458258.06909,ba,15.644,0.0612,2.229,0.126
2456554.86952,bb,15.712,0.06689,1.992,0.123
2456892.92523,bb,15.631,0.06306,2.146,0.124
2458445.78182,bb,15.545,0.05922,2.323,0.127
2456490.93855,bb,15.482,0.05657,2.461,0.128
2457270.97886,ba,15.604,0.05944,2.312,0.126
2457550.97042,bb,15.535,0.05879,2.344,0.127
2457860.11235,bb,15.544,0.05918,2.325,0.127
2457515.06579,bb,15.698,0.06621,2.017,0.123
2458096.71948,bb,15.547,0.05931,2.317,0.126
2458029.86377,ba,15.526,0.05616,2.484,0.128
2456816.01124,ba,15.605,0.05948,2.31,0.126
2457573.96377,bb,15.57,0.06031,2.27,0.126
2457171.9832,ba,15.651,0.06151,2.213,0.125
2456991.72186,ba,15.53,0.05632,2.474,0.128
2457195.96831,ba,15.56,0.05756,2.406,0.127
2457613.06019,bb,15.534,0.05875,2.345,0.127
2456835.99692,bb,15.629,0.06297,2.15,0.125
2456575.81849,bb,15.547,0.05931,2.318,0.126
2456864.95318,ba,15.557,0.05744,2.415,0.128
2458365.98595,ba,15.621,0.06018,2.275,0.126
2457568.91637,ba,15.536,0.05657,2.461,0.128
2458445.73173,ba,15.505,0.05531,2.533,0.129
2458018.92442,ba,15.552,0.05723,2.425,0.128
2458390.76272,ba,15.463,0.05365,2.632,0.13
2456969.74595,bb,15.727,0.06763,1.963,0.122
2457307.86573,ba,15.612,0.05979,2.294,0.126
2456919.86627,ba,15.592,0.05892,2.338,0.127
2456883.9147,ba,15.571,0.05803,2.383,0.127
2457652.95139,bb,15.58,0.06075,2.248,0.126
2458296.932,bb,15.64,0.06347,2.127,0.124
2457513.06758,ba,15.674,0.06255,2.167,0.125
2458063.79937,ba,15.636,0.06084,2.244,0.126
2457703.75169,ba,15.45,0.05315,2.663,0.13
2458079.73794,ba,15.542,0.05681,2.448,0.128
2456902.90034,bb,15.589,0.06115,2.23,0.125
2457314.84715,ba,15.515,0.05571,2.509,0.129
2456827.91511,ba,15.62,0.06014,2.278,0.126
2457974.94842,bb,15.817,0.07219,1.808,0.12
2457506.10899,ba,15.738,0.06554,2.044,0.123
2456524.88716,bb,15.68,0.06535,2.051,0.123
2458316.85344,ba,15.613,0.05983,2.293,0.126
2457333.80597,bb,15.598,0.06156,2.211,0.125
2457307.8623,bb,15.616,0.06237,2.175,0.125
2457297.92549,bb,15.548,0.05935,2.316,0.126
2458334.05837,ba,15.557,0.05744,2.413,0.128
2457989.94802,bb,15.495,0.0571,2.431,0.128
2458066.78887,ba,15.54,0.05673,2.451,0.128
2457132.08944,ba,15.602,0.05935,2.316,0.126
2456865.96749,bb,15.519,0.05811,2.379,0.127
2457999.00544,bb,15.564,0.06005,2.281,0.126
2457275.98965,bb,15.655,0.06417,2.099,0.124
2456521.86217,bb,15.641,0.06352,2.125,0.124
2457668.90281,bb,15.574,0.06049,2.261,0.126
2458423.82341,bb,15.629,0.06297,2.15,0.125
2457288.77081,ba,15.714,0.06441,2.089,0.124
2457221.99082,bb,15.529,0.05854,2.356,0.127
2456885.05452,bb,15.598,0.06156,2.211,0.125
2457231.88351,ba,15.731,0.06521,2.056,0.123
2457149.09165,bb,15.726,0.06758,1.965,0.122
2457242.94161,bb,15.572,0.0604,2.264,0.126
2457255.86209,ba,15.578,0.05832,2.367,0.127
2457156.12591,bb,15.58,0.06075,2.248,0.126
2458416.85331,bb,15.627,0.06287,2.153,0.125
2457262.92629,bb,15.531,0.05862,2.353,0.127
2457188.99417,bb,15.559,0.05983,2.293,0.126
2458434.7752,ba,15.584,0.05858,2.354,0.127
2457212.0531,bb,15.465,0.05587,2.499,0.128
2458385.78211,ba,15.505,0.05531,2.531,0.129
2456897.90321,bb,15.678,0.06526,2.055,0.123
2457716.74136,ba,15.581,0.05845,2.361,0.127
2457615.77975,ba,15.644,0.0612,2.227,0.125
2456597.75167,ba,15.63,0.06058,2.256,0.126
2456998.7102,ba,15.585,0.05862,2.353,0.127
2457178.06214,ba,15.486,0.05455,2.577,0.129
2457560.00008,ba,15.495,0.05491,2.557,0.129
2457122.13386,bb,16.452,99.99,0.833,0.201
2457559.05286,ba,15.485,0.05451,2.58,0.129
2457342.71145,ba,15.611,0.05974,2.296,0.126
2457504.09525,bb,15.635,0.06324,2.138,0.124
2457526.04372,bb,15.616,0.06237,2.175,0.125
