HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457812.82579,2017-02-28.3271506,bg,1.65,15.771,15.115,0.120,3.451,0.378,V
2457812.82709,2017-02-28.3284563,bg,1.54,15.702,15.224,0.141,3.120,0.402,V
2457812.82838,2017-02-28.3297465,bg,1.66,15.780,15.030,0.110,3.731,0.374,V
2457813.82975,2017-03-01.3310159,bg,1.59,15.820,15.130,0.116,3.405,0.361,V
2457813.83106,2017-03-01.3323238,bg,1.57,15.923,15.190,0.112,3.220,0.328,V
2457813.83236,2017-03-01.3336260,bg,1.58,15.846,14.967,0.098,3.956,0.352,V
2457820.88434,2017-03-08.3849197,bg,1.61,15.842,15.074,0.108,3.581,0.354,V
2457820.88564,2017-03-08.3862165,bg,1.60,15.876,15.202,0.118,3.185,0.343,V
2457820.88695,2017-03-08.3875209,bg,1.63,15.863,15.140,0.113,3.372,0.347,V
2457823.79954,2017-03-11.2998281,bg,1.85,15.395,>15.395,99.990,2.209,0.533,V
2457824.79807,2017-03-12.2982550,bg,1.38,15.377,15.209,0.188,3.165,0.542,V
2457824.79938,2017-03-12.2995630,bg,1.40,15.438,15.269,0.188,2.993,0.513,V
2457826.79948,2017-03-14.2994666,bg,1.45,15.426,15.013,0.150,3.792,0.519,V
2457826.80079,2017-03-14.3007761,bg,1.46,15.471,>15.471,99.990,2.365,0.497,V
2457826.80209,2017-03-14.3020760,bg,1.47,15.447,15.165,0.169,3.297,0.509,V
2457829.78336,2017-03-17.2830501,bg,1.46,15.500,>15.500,99.990,1.868,0.484,V
2457829.78467,2017-03-17.2843561,bg,1.38,15.419,15.393,0.214,2.670,0.522,V
2457829.78598,2017-03-17.2856643,bg,1.41,15.401,14.774,0.123,4.725,0.531,V
2457834.90061,2017-03-22.3997915,bg,1.36,15.883,15.097,0.106,3.508,0.341,V
2457834.90192,2017-03-22.4011035,bg,1.37,15.707,14.879,0.102,4.288,0.401,V
2457836.89514,2017-03-24.3941218,bg,1.46,15.792,15.063,0.112,3.620,0.370,V
2457836.89640,2017-03-24.3953857,bg,1.43,15.823,15.150,0.118,3.343,0.360,V
2457836.89771,2017-03-24.3966920,bg,1.40,15.787,15.098,0.116,3.505,0.372,V
2457837.86468,2017-03-25.3635732,bg,1.61,15.834,15.008,0.102,3.808,0.357,V
2457837.86599,2017-03-25.3648854,bg,1.54,15.930,15.022,0.095,3.760,0.326,V
2457837.86729,2017-03-25.3661863,bg,1.59,15.874,15.117,0.109,3.444,0.343,V
2457838.75657,2017-03-26.2553793,bg,1.50,15.870,15.244,0.123,3.066,0.345,V
2457838.75788,2017-03-26.2566853,bg,1.51,15.933,15.183,0.110,3.243,0.325,V
2457838.75919,2017-03-26.2579942,bg,1.50,15.728,15.108,0.124,3.474,0.393,V
2457839.75228,2017-03-27.2509903,bg,1.43,15.927,15.288,0.122,2.943,0.327,V
2457839.75372,2017-03-27.2524317,bg,1.46,15.826,15.120,0.114,3.434,0.359,V
2457839.75517,2017-03-27.2538726,bg,1.41,15.917,15.282,0.122,2.959,0.330,V
2457840.75727,2017-03-28.2558817,bg,1.53,15.883,15.287,0.127,2.945,0.341,V
2457840.76048,2017-03-28.2590916,bg,1.49,15.907,15.063,0.101,3.621,0.333,V
2457840.76261,2017-03-28.2612185,bg,1.55,15.764,15.053,0.114,3.654,0.380,V
