# HJD             mag      mag_err  
  2458223.91499   16.748   0.137    
  2458223.91745   16.510   0.109    
  2458231.89437   16.612   0.111    
  2458243.89201   16.598   0.164    
  2458243.89323   16.739   0.209    
  2458243.89444   16.421   0.146    
  2458244.8761    16.727   0.179    
  2458245.85041   16.758   0.182    
  2458245.85164   16.742   0.183    
  2458247.84992   16.645   0.125    
  2458247.85114   16.898   0.16     
  2458247.85237   16.724   0.131    
  2458248.84129   16.596   0.117    
  2458249.83799   16.690   0.131    
  2458249.83922   16.846   0.137    
  2458249.84045   16.526   0.106    
  2458251.94939   16.836   0.15     
  2458251.95069   16.777   0.133    
  2458252.83943   16.733   0.144    
  2458253.89533   16.720   0.136    
  2458253.89777   16.638   0.123    
  2458255.85748   16.761   0.135    
  2458261.83901   16.844   0.189    
  2458264.82942   16.637   0.208    
  2458266.80035   16.044   0.17     
  2458271.83715   16.423   0.217    
  2458276.9061    16.579   0.193    
  2458276.90767   16.674   0.159    
  2458276.90904   16.523   0.15     
  2458277.7957    16.658   0.128    
  2458281.74691   16.550   0.122    
  2458281.74812   16.637   0.122    
  2458281.74935   16.739   0.135    
  2458283.91221   16.831   0.133    
  2458287.92154   16.611   0.104    
  2458287.92275   16.577   0.096    
  2458289.76332   16.647   0.148    
  2458289.76454   16.805   0.174    
  2458289.76575   16.705   0.151    
  2458292.80029   16.533   0.169    
  2458292.8015    16.969   0.2      
  2458301.94048   16.545   0.202    
  2458309.70562   16.829   0.164    
  2458309.70806   16.610   0.142    
  2458311.81248   16.726   0.133    
  2458311.8137    16.514   0.097    
  2458311.81492   16.543   0.108    
  2458319.69145   16.575   0.141    
  2458319.69266   16.599   0.146    
  2458319.69388   16.798   0.185    
  2458320.89454   16.530   0.087    
  2458320.89577   16.677   0.114    
  2458320.89699   16.685   0.114    
  2458323.68813   16.379   0.203    
  2458324.93843   16.813   0.16     
  2458324.93965   16.772   0.158    
  2458325.7064    16.115   0.216    
  2458335.79821   16.718   0.143    
  2458335.79943   16.740   0.122    
  2458335.80065   16.984   0.152    
  2458337.74829   16.755   0.144    
  2458338.71514   16.691   0.144    
  2458338.71635   16.816   0.181    
  2458338.71757   16.900   0.185    
  2458341.64897   16.605   0.137    
  2458341.65019   16.483   0.124    
  2458341.6514    16.746   0.144    
  2458342.74481   17.001   0.19     
  2458342.74603   16.447   0.131    
  2458342.74724   16.738   0.167    
  2458344.63124   16.415   0.102    
  2458344.63246   16.524   0.127    
  2458344.63368   16.583   0.123    
  2458346.59489   16.721   0.182    
  2458346.59611   16.735   0.183    
  2458346.59733   16.847   0.189    
  2458347.59602   16.789   0.184    
  2458347.59845   16.535   0.181    
  2458352.87424   16.749   0.204    
  2458352.87546   16.621   0.177    
  2458352.87666   16.601   0.171    
  2458362.72443   16.643   0.142    
  2458362.72564   16.791   0.164    
  2458362.72686   16.532   0.133    
  2458365.5786    16.552   0.121    
  2458365.57982   16.615   0.151    
  2458365.58104   16.539   0.138    
  2458366.65003   16.692   0.153    
  2458366.65124   16.780   0.143    
  2458366.65246   16.532   0.122    
  2458368.59854   16.883   0.197    
  2458368.59975   16.635   0.154    
  2458368.60097   16.538   0.13     
  2458369.6621    16.587   0.136    
  2458369.66332   16.691   0.143    
  2458369.66453   16.775   0.159    
  2458372.74677   16.413   0.075    
  2458374.64553   16.716   0.18     
  2458374.64675   16.620   0.145    
  2458374.64797   16.799   0.17     
  2458375.52249   16.495   0.14     
  2458375.52371   16.456   0.153    
  2458375.52493   16.649   0.17     
  2458376.55251   16.617   0.162    
  2458376.55494   16.585   0.171    
  2458394.52564   16.387   0.123    
  2458394.52687   16.478   0.134    
  2458394.52809   16.673   0.147    
  2458396.57843   16.551   0.145    
  2458396.57965   15.335   0.053    
  2458396.58086   16.879   0.179    
  2458397.57526   16.679   0.157    
  2458397.57648   16.657   0.156    
  2458397.57769   16.679   0.168    
  2458398.50857   16.793   0.151    
  2458398.50978   16.782   0.166    
  2458398.511     16.787   0.15     
  2458404.55584   16.887   0.21     
  2458404.55708   16.712   0.182    
  2458404.55829   16.405   0.133    
  2458406.54957   16.407   0.172    
  2458418.68496   16.583   0.212    
  2458419.68413   16.436   0.163    
  2458420.67776   16.339   0.122    
  2458420.67898   16.802   0.185    
  2458420.6802    16.685   0.194    
  2458421.67839   16.724   0.146    
  2458421.67961   16.536   0.128    
  2458437.62403   16.559   0.177    
  2458437.62649   16.870   0.205    
  2458438.62881   16.578   0.165    
  2458438.63002   16.589   0.149    
  2458441.61156   16.320   0.19     
  2458451.58778   16.641   0.126    
  2458451.58902   16.633   0.11     
  2458451.59037   16.520   0.092    
  2458465.55829   16.746   0.165    
  2458465.55952   16.862   0.193    
  2458546.01167   16.364   0.207    
  2458571.97938   16.515   0.148    
  2458571.98061   16.765   0.149    
  2458571.98181   16.672   0.163    
  2458577.06908   16.622   0.122    
  2458577.07035   16.786   0.144    
  2458577.07163   16.678   0.121    
  2458578.93004   16.994   0.197    
  2458578.93125   16.665   0.134    
  2458578.93247   16.754   0.156    
  2458581.06086   16.575   0.117    
  2458581.06213   16.638   0.112    
  2458581.06341   16.490   0.115    
  2458584.90249   16.808   0.211    
  2458584.90376   16.951   0.206    
  2458585.90194   16.486   0.167    
  2458585.90321   16.645   0.176    
  2458589.05237   16.641   0.168    
  2458589.05364   16.672   0.191    
  2458591.64813   16.733   0.214    
  2458591.64935   16.922   0.214    
  2458591.65056   16.810   0.213    
  2458597.01931   16.192   0.154    
  2458599.08167   16.658   0.167    
  2458599.08295   16.748   0.183    
  2458600.64326   16.135   0.13     
  2458600.91584   16.489   0.193    
  2458600.9427    16.942   0.199    
  2458600.94393   16.746   0.16     
  2458600.94515   16.744   0.171    
  2458601.61433   16.617   0.178    
  2458601.63534   16.695   0.188    
  2458601.63656   16.693   0.207    
  2458601.65819   16.650   0.208    
  2458601.65941   16.537   0.17     
  2458602.86498   16.710   0.214    
  2458602.86752   16.602   0.203    
  2458603.87235   16.543   0.169    
  2458603.87362   16.745   0.181    
  2458605.07767   17.058   0.182    
  2458605.07894   16.751   0.145    
  2458605.08022   16.550   0.107    
  2458605.89312   16.687   0.168    
  2458605.89433   16.644   0.157    
  2458607.86299   16.357   0.123    
  2458607.86425   16.637   0.173    
  2458607.86553   16.859   0.205    
  2458608.89872   16.456   0.109    
  2458610.99145   16.540   0.108    
  2458610.99274   16.677   0.139    
  2458610.99402   16.762   0.121    
  2458612.9795    16.610   0.116    
  2458612.98077   16.679   0.129    
  2458612.98205   16.775   0.143    
  2458615.02463   16.472   0.1      
  2458615.02591   16.729   0.118    
  2458615.02717   16.618   0.115    
  2458616.59504   16.610   0.153    
  2458616.59625   16.515   0.13     
  2458616.59747   16.671   0.146    
  2458618.83256   16.713   0.175    
  2458618.83382   16.839   0.214    
  2458618.83508   16.539   0.177    
