HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457812.87413,2017-02-28.3766731,bg,1.56,16.016,15.234,0.107,3.091,0.302,V
2457812.87544,2017-02-28.3779825,bg,1.58,15.895,15.326,0.130,2.842,0.337,V
2457812.87674,2017-02-28.3792837,bg,1.50,16.066,15.430,0.122,2.582,0.288,V
2457816.89117,2017-03-04.3933537,bh,1.46,16.188,15.058,0.078,3.636,0.258,V
2457816.89247,2017-03-04.3946554,bh,1.45,16.087,15.183,0.095,3.240,0.282,V
2457816.89379,2017-03-04.3959774,bh,1.41,16.085,15.310,0.107,2.885,0.283,V
2457817.89436,2017-03-05.3964537,bg,1.60,15.897,15.515,0.155,2.387,0.337,V
2457817.89568,2017-03-05.3977747,bg,1.59,15.934,15.341,0.127,2.802,0.325,V
2457817.89698,2017-03-05.3990726,bg,1.54,15.841,15.150,0.116,3.342,0.354,V
2457821.87941,2017-03-09.3811377,bg,2.10,15.895,15.262,0.123,3.013,0.337,V
2457821.88072,2017-03-09.3824464,bg,2.07,15.851,15.240,0.125,3.074,0.351,V
2457821.88203,2017-03-09.3837579,bg,2.07,15.998,15.193,0.105,3.212,0.307,V
2457822.85489,2017-03-10.3565306,bh,1.37,15.953,15.145,0.104,3.357,0.319,V
2457822.85620,2017-03-10.3578409,bh,1.41,16.187,15.127,0.083,3.414,0.258,V
2457822.85753,2017-03-10.3591656,bh,1.48,16.037,15.327,0.114,2.840,0.295,V
2457824.82371,2017-03-12.3251685,bg,1.54,15.431,>15.431,99.990,2.259,0.516,V
2457824.82503,2017-03-12.3264872,bg,1.52,15.578,15.358,0.179,2.758,0.451,V
2457824.82635,2017-03-12.3277980,bg,1.56,15.425,>15.425,99.990,2.095,0.519,V
2457824.84941,2017-03-12.3508577,bh,1.37,15.622,15.216,0.151,3.143,0.433,V
2457824.85073,2017-03-12.3521754,bh,1.50,15.511,15.332,0.186,2.825,0.479,V
2457824.85202,2017-03-12.3534740,bh,1.57,15.822,15.076,0.111,3.576,0.360,V
2457826.82606,2017-03-14.3273256,bg,1.48,15.381,15.099,0.169,3.503,0.541,V
2457826.82736,2017-03-14.3286280,bg,1.50,15.588,>15.588,99.990,2.083,0.446,V
2457826.82869,2017-03-14.3299512,bg,1.48,15.484,15.316,0.188,2.868,0.491,V
2457826.86369,2017-03-14.3649422,bh,1.45,15.803,15.259,0.133,3.022,0.367,V
2457826.86501,2017-03-14.3662662,bh,1.40,15.883,15.300,0.128,2.910,0.341,V
2457826.86631,2017-03-14.3675754,bh,1.35,15.892,14.993,0.096,3.861,0.338,V
2457828.83828,2017-03-16.3393519,bg,1.49,15.607,>15.607,99.990,2.121,0.439,V
2457828.83959,2017-03-16.3406644,bg,1.43,15.809,15.059,0.110,3.635,0.365,V
2457828.84090,2017-03-16.3419692,bg,1.48,15.728,15.210,0.136,3.160,0.393,V
2457828.86510,2017-03-16.3661733,bh,1.49,16.005,15.474,0.135,2.478,0.304,V
2457828.86641,2017-03-16.3674818,bh,1.42,15.803,15.405,0.152,2.641,0.366,V
2457828.86771,2017-03-16.3687787,bh,1.49,15.985,15.388,0.127,2.685,0.310,V
2457836.90564,2017-03-24.4059268,bg,1.51,15.862,15.254,0.125,3.036,0.348,V
2457836.90694,2017-03-24.4072318,bg,1.39,15.925,15.386,0.134,2.688,0.328,V
2457836.90828,2017-03-24.4085649,bg,1.47,15.882,15.252,0.123,3.042,0.341,V
2457837.88102,2017-03-25.3812115,bg,1.49,16.113,15.157,0.091,3.321,0.276,V
2457837.88233,2017-03-25.3825206,bg,1.49,16.013,15.212,0.105,3.156,0.303,V
2457837.88364,2017-03-25.3838292,bg,1.66,15.931,15.059,0.098,3.635,0.326,V
