# HJD             mag      mag_err  
  2457805.73927   15.702   0.122    
  2457805.74058   15.744   0.139    
  2457805.74188   15.815   0.152    
  2457806.84941   15.893   0.124    
  2457806.85072   15.792   0.142    
  2457806.85204   15.680   0.133    
  2457807.5813    15.722   0.114    
  2457807.5826    15.665   0.118    
  2457807.5839    15.646   0.166    
  2457808.74894   15.843   0.161    
  2457808.75024   15.736   0.116    
  2457808.75155   15.955   0.18     
  2457812.57485   15.630   0.141    
  2457812.57617   15.854   0.159    
  2457812.57748   16.096   0.217    
  2457813.6698    15.760   0.148    
  2457813.67111   15.757   0.13     
  2457813.67242   15.643   0.141    
  2457817.66261   15.868   0.151    
  2457817.66394   15.767   0.125    
  2457817.66525   15.782   0.151    
  2457817.85627   15.888   0.204    
  2457823.59683   15.608   0.206    
  2457825.78091   15.352   0.177    
  2457827.6596    15.815   0.208    
  2457828.79406   15.561   0.171    
  2457829.61714   15.766   0.195    
  2457829.70337   15.537   0.152    
  2457830.57639   15.869   0.147    
  2457830.57769   16.046   0.184    
  2457830.579     15.838   0.15     
  2457830.64779   15.757   0.146    
  2457830.6491    16.030   0.199    
  2457830.6504    15.705   0.152    
  2457831.57155   15.911   0.161    
  2457831.57285   15.827   0.149    
  2457831.57417   15.679   0.105    
  2457831.66283   15.947   0.207    
  2457831.66414   15.721   0.138    
  2457831.66544   15.869   0.177    
  2457832.68366   15.858   0.152    
  2457832.68499   15.955   0.204    
  2457832.68631   15.818   0.177    
  2457833.69879   15.675   0.131    
  2457833.70034   15.969   0.179    
  2457834.71951   15.676   0.143    
  2457834.72083   15.782   0.156    
  2457834.72214   15.860   0.138    
  2457834.78911   15.867   0.183    
  2457834.79041   15.725   0.151    
  2457835.77221   15.992   0.181    
  2457835.77353   16.136   0.17     
  2457835.77484   15.759   0.169    
  2457836.7555    15.819   0.16     
  2457836.7568    15.913   0.159    
  2457836.75808   15.966   0.183    
  2457838.58264   15.931   0.18     
  2457838.58396   16.085   0.187    
  2457838.59877   16.019   0.152    
  2457838.60011   16.111   0.215    
  2457838.60142   15.788   0.165    
  2457839.59832   15.881   0.173    
  2457839.6241    15.870   0.157    
  2457839.62553   15.754   0.141    
  2457839.62698   15.794   0.136    
  2457844.76089   15.782   0.15     
  2457844.7622    15.747   0.137    
