HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457805.82967,2017-02-21.3287856,bf,1.41,16.095,>16.095,99.990,-0.064,0.280,V
2457805.83099,2017-02-21.3301005,bf,1.46,16.211,>16.211,99.990,0.115,0.252,V
2457805.83230,2017-02-21.3314052,bf,1.44,15.940,>15.940,99.990,-0.275,0.323,V
2457805.83230,2017-02-21.3314055,bh,1.40,16.028,>16.028,99.990,-0.261,0.298,V
2457806.67829,2017-02-22.1773570,bf,1.52,16.081,>16.081,99.990,0.192,0.284,V
2457806.67830,2017-02-22.1773619,bh,1.37,15.934,>15.934,99.990,0.178,0.325,V
2457806.67959,2017-02-22.1786525,bf,1.51,16.163,>16.163,99.990,-0.423,0.263,V
2457806.68089,2017-02-22.1799548,bf,1.54,16.013,>16.013,99.990,-0.126,0.302,V
2457808.82747,2017-02-24.3264280,bh,1.40,16.054,>16.054,99.990,-0.067,0.291,V
2457808.82747,2017-02-24.3264278,bf,1.66,16.230,>16.230,99.990,0.197,0.247,V
2457808.82877,2017-02-24.327725,bf,1.64,15.972,>15.972,99.990,-0.033,0.313,V
2457808.83008,2017-02-24.3290375,bf,1.55,16.256,>16.256,99.990,-0.102,0.241,V
2457813.68426,2017-03-01.1829745,bf,1.66,16.151,>16.151,99.990,0.076,0.266,V
2457816.82926,2017-03-04.3278273,bh,1.42,15.954,>15.954,99.990,-0.003,0.319,V
2457816.82926,2017-03-04.3278267,bf,2.05,15.943,>15.943,99.990,0.358,0.322,V
2457816.83056,2017-03-04.3291263,bf,2.03,16.010,>16.010,99.990,-0.295,0.303,V
2457816.83056,2017-03-04.3291259,bh,1.42,15.976,>15.976,99.990,-0.244,0.312,V
2457816.83187,2017-03-04.3304356,bh,1.55,16.109,>16.109,99.990,-0.235,0.276,V
2457816.83187,2017-03-04.3304358,bf,2.06,16.155,>16.155,99.990,0.131,0.265,V
2457820.67979,2017-03-08.1781762,bf,1.52,15.785,>15.785,99.990,0.144,0.372,V
2457820.67979,2017-03-08.1781763,bh,1.52,15.757,>15.757,99.990,-0.469,0.382,V
2457821.82950,2017-03-09.3278300,bf,2.26,16.051,>16.051,99.990,-0.192,0.291,V
2457821.82950,2017-03-09.3278302,bh,1.55,16.167,>16.167,99.990,0.181,0.262,V
2457821.83081,2017-03-09.3291388,bh,1.42,16.160,>16.160,99.990,0.051,0.264,V
2457821.83081,2017-03-09.3291390,bf,2.26,16.018,>16.018,99.990,0.048,0.300,V
2457821.83212,2017-03-09.3304498,bh,1.55,16.223,>16.223,99.990,-0.259,0.249,V
2457821.83212,2017-03-09.33045,bf,2.28,16.036,>16.036,99.990,-0.141,0.295,V
2457823.63379,2017-03-11.1320424,bf,1.59,15.850,>15.850,99.990,0.108,0.351,V
2457823.63509,2017-03-11.1333395,bf,1.57,15.533,>15.533,99.990,-0.137,0.470,V
2457823.63509,2017-03-11.1333399,bh,1.31,15.515,>15.515,99.990,-0.640,0.477,V
2457825.65931,2017-03-13.1574696,bf,1.62,15.483,>15.483,99.990,-0.343,0.492,V
2457825.66061,2017-03-13.1587666,bf,1.52,15.578,>15.578,99.990,-0.167,0.451,V
2457825.66191,2017-03-13.1600666,bf,1.57,15.579,>15.579,99.990,-0.171,0.450,V
2457827.63390,2017-03-15.1319788,bf,1.52,15.717,>15.717,99.990,0.009,0.396,V
2457827.63522,2017-03-15.1332974,bh,1.40,15.655,>15.655,99.990,0.113,0.420,V
2457827.63522,2017-03-15.1332981,bf,1.48,15.732,>15.732,99.990,-0.638,0.391,V
2457827.63653,2017-03-15.1346064,bf,1.60,15.666,>15.666,99.990,-0.779,0.416,V
2457827.63653,2017-03-15.1346067,bh,1.39,15.830,>15.830,99.990,-0.347,0.357,V
2457829.73473,2017-03-17.2327151,bf,1.52,15.890,>15.890,99.990,-0.335,0.338,V
2457829.73473,2017-03-17.2327156,bh,1.56,15.636,>15.636,99.990,-0.507,0.427,V
2457829.73603,2017-03-17.2340177,bh,1.52,15.703,>15.703,99.990,-0.210,0.402,V
2457829.73603,2017-03-17.2340172,bf,1.50,16.018,>16.018,99.990,-0.274,0.301,V
2457829.73735,2017-03-17.2353398,bf,1.59,15.697,>15.697,99.990,-0.016,0.404,V
2457829.73735,2017-03-17.2353407,bh,1.60,15.762,>15.762,99.990,-0.717,0.381,V
2457830.65544,2017-03-18.1533957,bf,1.43,15.852,>15.852,99.990,-0.424,0.350,V
2457830.65544,2017-03-18.1533950,bh,2.01,15.786,>15.786,99.990,0.052,0.372,V
2457830.65675,2017-03-18.1547034,bh,1.80,15.792,>15.792,99.990,-0.376,0.370,V
2457830.65675,2017-03-18.1547028,bf,1.45,16.021,>16.021,99.990,0.102,0.300,V
2457830.65805,2017-03-18.1560061,bh,1.97,15.701,>15.701,99.990,-0.650,0.402,V
2457830.65805,2017-03-18.1560062,bf,1.51,15.835,>15.835,99.990,-0.166,0.356,V
2457832.81632,2017-03-20.3141853,bf,1.56,16.138,>16.138,99.990,-0.199,0.269,V
2457832.81763,2017-03-20.3154971,bf,1.55,15.895,>15.895,99.990,-0.113,0.336,V
2457832.81894,2017-03-20.3168065,bf,1.59,15.134,>15.134,99.990,-0.757,0.678,V
2457833.81943,2017-03-21.3172587,bh,1.42,15.888,>15.888,99.990,-0.553,0.339,V
2457833.81943,2017-03-21.3172584,bf,1.53,16.070,>16.070,99.990,0.011,0.286,V
2457833.82074,2017-03-21.3185666,bh,1.47,16.041,>16.041,99.990,-0.027,0.294,V
2457833.82074,2017-03-21.3185665,bf,1.58,16.022,>16.022,99.990,-0.422,0.299,V
2457833.82204,2017-03-21.3198663,bh,1.47,15.889,>15.889,99.990,-0.473,0.338,V
2457833.82204,2017-03-21.3198656,bf,1.50,15.986,>15.986,99.990,-0.089,0.309,V
2457835.83357,2017-03-23.3313209,bh,1.50,16.053,>16.053,99.990,-0.043,0.291,V
2457835.83357,2017-03-23.3313211,bf,1.50,16.121,>16.121,99.990,0.166,0.273,V
2457836.84664,2017-03-24.3443589,bf,1.49,16.168,>16.168,99.990,0.130,0.262,V
2457836.84794,2017-03-24.3456584,bf,1.58,16.260,>16.260,99.990,0.395,0.240,V
2457836.84924,2017-03-24.3469557,bf,1.61,16.039,>16.039,99.990,0.065,0.295,V
2457837.79043,2017-03-25.2881144,bf,1.63,16.241,>16.241,99.990,0.252,0.245,V
2457838.57036,2017-03-26.0680105,bf,1.48,16.164,>16.164,99.990,0.014,0.263,V
2457838.57168,2017-03-26.0693369,bf,1.68,15.976,>15.976,99.990,-0.311,0.312,V
2457838.57301,2017-03-26.0706628,bf,1.52,16.053,>16.053,99.990,-0.022,0.291,V
2457839.58669,2017-03-27.0843106,bf,1.46,16.187,>16.187,99.990,0.110,0.257,V
2457839.58669,2017-03-27.0843113,bh,1.49,16.051,>16.051,99.990,-0.093,0.292,V
2457839.58812,2017-03-27.0857422,bf,1.48,16.189,>16.189,99.990,-0.183,0.257,V
2457839.58812,2017-03-27.0857415,bh,1.48,16.083,>16.083,99.990,-0.230,0.283,V
2457839.58955,2017-03-27.0871710,bf,1.47,16.353,>16.353,99.990,-0.079,0.221,V
2457839.58955,2017-03-27.0871711,bh,1.45,16.264,>16.264,99.990,-0.197,0.240,V
2457843.65298,2017-03-31.1504611,bh,1.47,16.025,>16.025,99.990,-0.359,0.299,V
2457843.65298,2017-03-31.1504615,bf,1.57,16.205,>16.205,99.990,0.182,0.253,V
