HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457812.87012,2017-02-28.3727593,bh,1.42,15.674,15.013,0.120,3.790,0.413,V
2457812.87138,2017-02-28.3740260,bh,1.63,15.608,15.096,0.137,3.513,0.439,V
2457812.87269,2017-02-28.3753342,bh,1.59,15.822,14.740,0.081,4.874,0.361,V
2457813.86940,2017-03-01.3719532,bh,1.43,15.751,15.137,0.125,3.382,0.385,V
2457813.87071,2017-03-01.3732631,bh,1.51,15.812,14.861,0.092,4.357,0.364,V
2457813.87198,2017-03-01.3745372,bh,1.35,15.569,14.868,0.115,4.330,0.455,V
2457817.88236,2017-03-05.3845458,bf,1.63,15.720,15.035,0.117,3.715,0.396,V
2457820.88694,2017-03-08.3888495,bh,1.47,15.624,14.979,0.121,3.909,0.432,V
2457820.88825,2017-03-08.3901621,bh,1.52,15.663,14.985,0.118,3.890,0.417,V
2457820.88956,2017-03-08.3914697,bh,1.55,15.561,14.933,0.123,4.080,0.458,V
2457823.84715,2017-03-11.3487726,bh,1.37,15.164,15.151,0.217,3.336,0.660,V
2457823.84846,2017-03-11.3500859,bh,1.45,15.140,15.103,0.212,3.490,0.675,V
2457823.84977,2017-03-11.3513951,bh,1.43,15.148,>15.148,99.990,2.869,0.670,V
2457826.83776,2017-03-14.3391047,bh,1.42,15.432,14.923,0.137,4.120,0.516,V
2457827.83494,2017-03-15.3361857,bh,1.40,15.407,14.901,0.138,4.204,0.528,V
2457827.83625,2017-03-15.3374929,bh,1.45,15.232,14.893,0.161,4.234,0.620,V
2457827.83755,2017-03-15.3387924,bh,1.36,15.347,15.205,0.193,3.177,0.558,V
2457829.85761,2017-03-17.3586577,bh,1.78,15.307,>15.307,99.990,2.729,0.579,V
2457829.85891,2017-03-17.3599605,bh,1.95,15.305,15.154,0.191,3.332,0.580,V
2457829.86022,2017-03-17.3612672,bh,1.78,15.412,14.854,0.131,4.387,0.526,V
2457838.89220,2017-03-26.3923576,bh,1.52,15.648,14.993,0.120,3.860,0.423,V
2457838.89353,2017-03-26.3936887,bh,1.53,15.710,15.025,0.117,3.751,0.399,V
