hjd,camera,mag,mag_err,flux,flux_err
2457405.75608,bg,13.429,0.02186,16.299,0.328
2456969.99138,bc,13.395,0.02189,16.922,0.341
2457017.67055,be,13.401,0.02186,16.404,0.33
2457416.72964,bg,13.415,0.02186,16.516,0.332
2457370.80126,bg,13.419,0.02186,16.453,0.331
2456933.80108,be,13.382,0.02187,16.698,0.336
2458141.77163,bc,13.406,0.02188,16.743,0.337
2457971.89589,bg,13.392,0.02188,16.864,0.34
2457367.8532,bg,13.372,0.02191,17.186,0.346
2457446.52726,bg,13.396,0.02188,16.808,0.338
2458021.79267,bg,13.413,0.02186,16.539,0.333
2458417.02448,bc,13.408,0.02187,16.711,0.336
2458148.80513,bc,13.425,0.02186,16.456,0.331
2458396.08363,bc,13.443,0.02185,16.186,0.325
2457305.83777,bg,13.395,0.02188,16.819,0.339
2457747.64458,bg,13.425,0.02186,16.368,0.329
2456629.85088,bc,13.431,0.02186,16.365,0.329
2457319.85024,bg,13.424,0.02186,16.378,0.329
2458230.47606,bg,13.412,0.02187,16.561,0.333
2456932.80148,be,13.412,0.02185,16.245,0.327
2458216.52103,bg,13.412,0.02187,16.559,0.333
2457836.52851,bg,13.417,0.02186,16.481,0.331
2457618.89721,bg,13.407,0.02187,16.637,0.335
2456975.70032,be,13.397,0.02186,16.476,0.331
2456675.79479,bc,13.406,0.02188,16.75,0.337
2457687.67752,bg,13.389,0.02189,16.912,0.341
2456625.86264,bc,13.459,0.02185,15.952,0.321
2458192.59029,bg,13.385,0.02189,16.982,0.342
2457408.70305,bg,13.413,0.02186,16.553,0.333
2457796.61291,bg,13.396,0.02188,16.807,0.338
2457689.75583,bg,13.38,0.0219,17.05,0.343
2456993.91745,bc,13.4,0.02188,16.845,0.339
2456936.08916,bc,13.428,0.02186,16.412,0.33
2457111.55209,be,13.395,0.02186,16.5,0.332
2457420.57857,bg,13.399,0.02188,16.762,0.337
2457258.86943,be,13.386,0.02187,16.632,0.335
2457666.76391,bg,13.385,0.02189,16.981,0.342
2458044.81264,bg,13.387,0.02189,16.951,0.341
2457654.76969,bg,13.442,0.02185,16.115,0.324
2457671.72112,bg,13.393,0.02188,16.849,0.339
2457465.58722,bg,13.427,0.02186,16.33,0.328
2458368.81817,bg,13.398,0.02188,16.778,0.338
2457617.8669,bg,13.411,0.02187,16.578,0.334
2457978.88421,bg,13.414,0.02186,16.533,0.333
2457001.93502,bc,13.428,0.02186,16.403,0.33
2456978.94502,bc,13.412,0.02187,16.648,0.335
2457444.64834,bg,13.379,0.0219,17.072,0.344
2457224.94132,be,13.417,0.02185,16.171,0.325
2457702.97933,bc,13.405,0.02188,16.757,0.337
2457331.6956,bg,13.411,0.02187,16.58,0.334
2458034.87955,bg,13.395,0.02188,16.82,0.339
2457426.70161,bg,13.394,0.02188,16.837,0.339
2458165.6755,bg,13.395,0.02188,16.829,0.339
2457031.87342,bc,13.405,0.02188,16.757,0.337
2457742.74824,bg,13.405,0.02187,16.667,0.335
2458012.13373,bc,13.42,0.02186,16.534,0.333
2457684.79707,bg,13.403,0.02187,16.704,0.336
2457029.65073,be,13.402,0.02186,16.398,0.33
2457766.63599,bg,13.44,0.02185,16.137,0.324
2457606.90411,bg,13.41,0.02187,16.594,0.334
2458334.90992,bg,13.389,0.02189,16.921,0.341
2457701.8059,bg,13.409,0.02187,16.605,0.334
2457349.80797,bg,13.41,0.02187,16.6,0.334
2457099.58302,be,13.406,0.02186,16.337,0.328
2458347.87341,bg,13.393,0.02188,16.847,0.339
2457744.6878,bg,13.426,0.02186,16.357,0.329
2458198.57968,bg,13.404,0.02187,16.681,0.336
2457123.51484,be,13.41,0.02185,16.276,0.327
2458108.73988,bg,13.409,0.02187,16.61,0.334
2457356.8623,bg,13.372,0.02191,17.187,0.346
2457704.97115,bc,13.394,0.02189,16.926,0.341
2457658.7598,bg,13.412,0.02187,16.569,0.333
2457636.81743,bg,13.41,0.02187,16.595,0.334
2457268.82523,be,13.397,0.02186,16.47,0.331
2457448.63552,bg,13.402,0.02187,16.721,0.336
2458134.78485,bc,13.414,0.02187,16.621,0.334
2457774.66144,bg,13.397,0.02188,16.792,0.338
2457277.80208,bg,13.408,0.02187,16.63,0.335
2457864.48022,bg,13.409,0.02187,16.608,0.334
2458082.58979,bg,13.407,0.02187,16.633,0.335
2457006.92335,bc,13.375,0.02191,17.23,0.347
2458415.07886,bc,13.39,0.02189,16.99,0.342
2457769.85289,bc,13.407,0.02187,16.738,0.337
2457248.87599,be,13.385,0.02187,16.657,0.335
2457117.49226,be,13.371,0.02188,16.865,0.34
