# HJD             mag      mag_err  
  2457817.14387   15.358   0.12     
  2457817.14517   15.473   0.162    
  2457817.14645   15.563   0.159    
  2457818.14026   15.398   0.115    
  2457818.14153   15.653   0.198    
  2457818.14281   15.629   0.187    
  2457823.12173   15.25    0.158    
  2457823.12428   15.512   0.188    
  2457826.12646   15.475   0.209    
  2457828.10088   15.631   0.219    
  2457828.10215   15.582   0.188    
  2457828.10345   15.551   0.168    
  2457828.14309   15.257   0.123    
  2457828.14437   15.629   0.193    
  2457828.14566   15.348   0.167    
  2457831.13616   15.732   0.211    
  2457831.13745   15.863   0.213    
  2457831.13873   15.661   0.181    
  2457836.10671   15.367   0.122    
  2457836.10799   15.479   0.141    
  2457838.10341   15.616   0.18     
  2457838.10469   15.605   0.152    
  2457838.10596   15.456   0.142    
  2457839.10011   15.478   0.143    
  2457839.10139   15.583   0.167    
  2457839.10266   15.476   0.136    
  2457845.07463   15.615   0.147    
  2457845.0759    15.578   0.152    
  2457845.07718   15.539   0.137    
  2457845.07846   15.406   0.138    
  2457845.07973   15.544   0.146    
  2457845.08101   15.653   0.181    
  2457847.0753    15.487   0.131    
  2457847.07656   15.566   0.157    
  2457847.07782   15.613   0.144    
  2457847.07911   15.483   0.116    
  2457847.08039   15.504   0.154    
  2457847.08166   15.396   0.119    
  2457851.03882   15.466   0.166    
  2457851.04009   15.419   0.16     
  2457851.04136   15.568   0.187    
  2457856.07269   15.334   0.189    
  2457859.04032   15.669   0.205    
  2457860.13056   15.516   0.183    
  2457860.13183   15.554   0.176    
  2457860.13309   15.352   0.156    
  2457869.07626   15.57    0.187    
  2457869.07753   15.73    0.217    
  2457869.11872   15.629   0.182    
  2457871.08389   15.312   0.086    
  2457871.08515   15.616   0.146    
  2457871.08642   15.462   0.127    
  2457871.0877    15.665   0.202    
  2457871.08898   15.601   0.176    
  2457871.09025   15.547   0.163    
  2457876.97298   15.466   0.135    
  2457876.97424   15.545   0.147    
  2457876.9755    15.395   0.12     
  2457877.99816   15.555   0.165    
  2457878.96594   15.486   0.189    
  2457878.96722   15.639   0.188    
  2457878.99569   15.635   0.204    
  2457878.99697   15.512   0.18     
  2457878.99823   15.447   0.166    
  2457879.96259   15.216   0.126    
  2457879.96386   15.5     0.175    
  2457879.96513   15.525   0.196    
  2457879.99292   15.595   0.208    
