# HJD             mag      mag_err  
  2457812.82579   15.115   0.12     
  2457812.82709   15.224   0.141    
  2457812.82838   15.030   0.11     
  2457813.82975   15.130   0.116    
  2457813.83106   15.190   0.112    
  2457813.83236   14.967   0.098    
  2457820.88434   15.074   0.108    
  2457820.88564   15.202   0.118    
  2457820.88695   15.140   0.113    
  2457824.79807   15.209   0.188    
  2457824.79938   15.269   0.188    
  2457826.79948   15.013   0.15     
  2457826.80209   15.165   0.169    
  2457829.78467   15.393   0.214    
  2457829.78598   14.774   0.123    
  2457834.90061   15.097   0.106    
  2457834.90192   14.879   0.102    
  2457836.89514   15.063   0.112    
  2457836.8964    15.150   0.118    
  2457836.89771   15.098   0.116    
  2457837.86468   15.008   0.102    
  2457837.86599   15.022   0.095    
  2457837.86729   15.117   0.109    
  2457838.75657   15.244   0.123    
  2457838.75788   15.183   0.11     
  2457838.75919   15.108   0.124    
  2457839.75228   15.288   0.122    
  2457839.75372   15.120   0.114    
  2457839.75517   15.282   0.122    
  2457840.75727   15.287   0.127    
  2457840.76048   15.063   0.101    
  2457840.76261   15.053   0.114    
  2457843.77659   15.142   0.121    
  2457843.77789   15.090   0.107    
  2457843.77919   14.944   0.096    
  2457845.85455   14.991   0.091    
  2457845.85586   14.947   0.108    
  2457845.85716   15.026   0.102    
  2457847.84522   15.144   0.107    
  2457847.84654   14.913   0.099    
  2457847.84781   15.104   0.112    
  2457850.89652   14.999   0.094    
  2457850.8978    15.237   0.119    
  2457850.89906   15.090   0.1      
  2457851.75086   15.094   0.122    
  2457851.75213   15.078   0.133    
  2457851.7534    15.222   0.159    
  2457853.82497   14.986   0.121    
  2457853.82624   15.169   0.167    
  2457853.8275    14.953   0.114    
  2457855.71816   15.167   0.177    
  2457855.71942   15.016   0.157    
  2457855.72069   15.191   0.179    
  2457868.91846   14.938   0.089    
  2457868.91974   15.020   0.097    
  2457868.92102   15.104   0.11     
  2457870.70878   14.962   0.079    
  2457870.71005   15.019   0.095    
  2457870.71131   15.114   0.109    
  2457871.74625   15.027   0.071    
  2457871.74751   15.118   0.104    
  2457871.74878   15.032   0.094    
  2457872.70389   15.127   0.11     
  2457872.70514   14.884   0.095    
  2457872.7064    15.051   0.095    
  2457873.74882   15.083   0.111    
  2457873.75009   15.236   0.117    
  2457873.75135   15.013   0.103    
  2457876.75926   14.977   0.09     
  2457876.76052   14.893   0.083    
  2457878.64806   15.304   0.151    
  2457878.64932   15.140   0.133    
  2457878.65059   14.999   0.117    
  2457879.85199   15.162   0.113    
  2457879.85326   15.182   0.101    
  2457879.85452   15.165   0.11     
  2457883.78495   15.291   0.186    
  2457883.78622   15.254   0.173    
  2457883.7875    15.016   0.157    
  2457889.77263   15.016   0.129    
  2457889.7739    15.232   0.131    
  2457889.77522   14.989   0.101    
  2457893.84023   14.872   0.087    
