HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458256.53111,2018-05-18.0271520,bn,2.04,17.546,>17.546,99.990,-0.155,0.070,g
2458257.51722,2018-05-19.0132045,bm,1.50,17.125,>17.125,99.990,-0.068,0.103,g
2458257.51843,2018-05-19.0144164,bm,1.51,17.100,>17.100,99.990,-0.139,0.105,g
2458257.51965,2018-05-19.0156283,bm,1.52,17.175,>17.175,99.990,-0.373,0.098,g
2458258.70921,2018-05-20.2051180,bj,1.63,17.428,>17.428,99.990,-0.056,0.078,g
2458258.71042,2018-05-20.2063296,bj,1.61,17.400,>17.400,99.990,-0.021,0.080,g
2458258.71164,2018-05-20.2075457,bj,1.58,17.331,>17.331,99.990,-0.294,0.085,g
2458259.68738,2018-05-21.1832222,bi,1.42,17.165,>17.165,99.990,-0.119,0.099,g
2458259.68860,2018-05-21.1844439,bi,1.42,17.175,>17.175,99.990,-0.224,0.098,g
2458259.68982,2018-05-21.1856593,bi,1.41,17.071,>17.071,99.990,0.097,0.108,g
2458259.72571,2018-05-21.2215468,bj,1.52,17.275,>17.275,99.990,-0.020,0.089,g
2458259.72693,2018-05-21.2227664,bj,1.57,17.227,>17.227,99.990,-0.154,0.093,g
2458260.76528,2018-05-22.2610543,bj,1.63,16.575,>16.575,99.990,-0.148,0.170,g
2458260.76772,2018-05-22.2634895,bj,1.56,16.614,>16.614,99.990,0.157,0.164,g
2458260.77264,2018-05-22.2684074,bi,1.38,16.683,>16.683,99.990,0.142,0.154,g
2458260.77387,2018-05-22.2696406,bi,1.40,16.684,>16.684,99.990,-0.190,0.154,g
2458260.77509,2018-05-22.2708597,bi,1.40,16.694,>16.694,99.990,-0.126,0.153,g
2458261.69856,2018-05-23.1942837,bi,1.39,16.987,>16.987,99.990,-0.070,0.116,g
2458261.69979,2018-05-23.1955091,bi,1.48,16.953,>16.953,99.990,-0.039,0.120,g
2458261.70101,2018-05-23.1967320,bi,1.39,16.938,>16.938,99.990,-0.260,0.122,g
2458261.73939,2018-05-23.2350972,bj,1.50,17.170,>17.170,99.990,-0.251,0.098,g
2458261.74061,2018-05-23.2363189,bj,1.57,17.300,>17.300,99.990,-0.285,0.087,g
2458261.74182,2018-05-23.2375340,bj,1.56,17.381,>17.381,99.990,-0.240,0.081,g
2458261.87454,2018-05-23.3702480,bi,1.44,17.280,>17.280,99.990,-0.138,0.089,g
2458261.87697,2018-05-23.3726797,bi,1.43,17.221,>17.221,99.990,-0.239,0.094,g
2458262.54013,2018-05-24.0357894,bm,1.54,99.990,99.990,99.990,99.990,99.990,g
2458262.85197,2018-05-24.3476105,bi,1.38,17.431,>17.431,99.990,-0.145,0.077,g
2458262.85441,2018-05-24.3500581,bi,1.46,17.284,>17.284,99.990,-0.293,0.089,g
2458264.67140,2018-05-26.1669456,bj,1.62,16.275,>16.275,99.990,-0.003,0.224,g
2458264.67262,2018-05-26.1681642,bj,1.57,16.405,>16.405,99.990,-0.092,0.199,g
2458264.67385,2018-05-26.1693836,bj,1.65,16.318,>16.318,99.990,-0.206,0.216,g
2458264.67509,2018-05-26.1706218,bi,1.49,16.458,>16.458,99.990,-0.279,0.190,g
2458264.67631,2018-05-26.1718449,bi,1.46,16.440,>16.440,99.990,-0.259,0.193,g
2458264.67753,2018-05-26.1730649,bi,1.49,16.356,>16.356,99.990,-0.362,0.208,g
2458264.87011,2018-05-26.3656280,bj,1.58,17.046,>17.046,99.990,-0.283,0.110,g
2458264.87132,2018-05-26.3668495,bj,1.50,17.089,>17.089,99.990,0.025,0.106,g
2458264.87255,2018-05-26.3680791,bj,1.58,17.113,>17.113,99.990,0.033,0.104,g
2458264.88960,2018-05-26.3851180,bi,1.43,17.149,>17.149,99.990,-0.229,0.100,g
2458264.89081,2018-05-26.3863341,bi,1.44,17.071,>17.071,99.990,-0.045,0.108,g
2458264.89204,2018-05-26.3875657,bi,1.43,17.114,>17.114,99.990,-0.077,0.104,g
2458265.70846,2018-05-27.2039354,bj,1.58,16.406,>16.406,99.990,0.068,0.199,g
2458265.70968,2018-05-27.2051552,bj,1.51,16.158,>16.158,99.990,-0.244,0.250,g
2458265.71090,2018-05-27.2063734,bj,1.52,16.323,>16.323,99.990,-0.115,0.215,g
2458265.74574,2018-05-27.2412177,bi,1.46,16.647,>16.647,99.990,-0.084,0.159,g
2458265.74697,2018-05-27.2424408,bi,1.47,16.333,>16.333,99.990,-0.431,0.213,g
2458265.74819,2018-05-27.2436674,bi,1.45,16.555,>16.555,99.990,0.209,0.173,g
2458265.91036,2018-05-27.4058292,bj,1.63,17.222,>17.222,99.990,-0.058,0.094,g
2458265.91158,2018-05-27.4070479,bj,1.55,17.293,>17.293,99.990,-0.089,0.088,g
2458265.91280,2018-05-27.4082653,bj,1.61,17.210,>17.210,99.990,-0.228,0.095,g
2458273.85321,2018-06-04.3482651,bi,1.45,16.357,>16.357,99.990,-0.056,0.208,g
2458273.85443,2018-06-04.3494849,bi,1.50,16.768,>16.768,99.990,-0.221,0.142,g
2458273.85565,2018-06-04.3507025,bi,1.42,16.754,>16.754,99.990,-0.202,0.144,g
