# HJD             mag      mag_err  
  2457812.87012   15.013   0.12     
  2457812.87138   15.096   0.137    
  2457812.87269   14.740   0.081    
  2457813.8694    15.137   0.125    
  2457813.87071   14.861   0.092    
  2457813.87198   14.868   0.115    
  2457817.88236   15.035   0.117    
  2457820.88694   14.979   0.121    
  2457820.88825   14.985   0.118    
  2457820.88956   14.933   0.123    
  2457823.84715   15.151   0.217    
  2457823.84846   15.103   0.212    
  2457826.83776   14.923   0.137    
  2457827.83494   14.901   0.138    
  2457827.83625   14.893   0.161    
  2457827.83755   15.205   0.193    
  2457829.85891   15.154   0.191    
  2457829.86022   14.854   0.131    
  2457838.8922    14.993   0.12     
  2457838.89353   15.025   0.117    
  2457838.89483   14.923   0.126    
  2457839.80132   14.951   0.1      
  2457839.80276   14.831   0.102    
  2457839.80425   14.936   0.099    
  2457840.80377   14.809   0.101    
  2457840.80751   14.962   0.113    
  2457840.81293   14.915   0.105    
  2457843.79314   14.762   0.096    
  2457843.79445   14.948   0.113    
  2457843.79572   14.950   0.1      
  2457845.86114   14.929   0.105    
  2457845.86245   15.036   0.123    
  2457846.8863    14.981   0.108    
  2457846.88762   14.873   0.102    
  2457846.88892   14.833   0.106    
  2457849.84654   15.023   0.123    
  2457849.84784   14.876   0.092    
  2457849.84918   14.834   0.096    
  2457852.76564   15.097   0.181    
  2457852.7669    15.181   0.219    
  2457855.76637   15.083   0.197    
  2457855.76765   14.808   0.14     
  2457856.80343   14.866   0.14     
  2457856.8047    15.187   0.195    
  2457856.80596   15.055   0.151    
  2457864.86232   14.971   0.11     
  2457864.86358   14.839   0.1      
  2457864.86488   14.883   0.089    
  2457866.86119   15.001   0.126    
  2457866.86246   15.068   0.161    
  2457866.86372   14.946   0.147    
  2457867.89588   14.803   0.095    
  2457867.89715   14.825   0.106    
  2457869.86487   14.971   0.102    
  2457869.8662    14.848   0.094    
  2457870.72048   14.895   0.103    
  2457870.72176   14.932   0.11     
  2457871.72277   15.021   0.109    
  2457871.72404   14.943   0.12     
  2457872.71946   14.947   0.112    
  2457872.72074   14.956   0.117    
  2457872.72329   14.900   0.102    
  2457873.7181    14.894   0.108    
  2457873.71936   14.816   0.089    
  2457873.72192   14.951   0.104    
  2457873.72319   14.953   0.108    
  2457874.88781   15.047   0.129    
  2457874.8891    14.883   0.108    
  2457874.91169   14.962   0.112    
  2457874.91295   14.918   0.111    
  2457876.74924   14.694   0.074    
  2457876.77059   15.045   0.125    
  2457876.77185   14.861   0.094    
  2457876.77311   15.028   0.123    
  2457877.79916   14.800   0.094    
  2457877.80044   14.896   0.093    
  2457878.72106   14.932   0.154    
  2457878.86688   15.060   0.13     
  2457878.86815   14.970   0.11     
  2457878.86942   14.852   0.09     
  2457879.86142   14.914   0.105    
  2457879.86269   14.970   0.114    
  2457883.69944   15.098   0.201    
  2457883.7007    15.176   0.212    
  2457893.91598   14.914   0.111    
  2457893.91725   14.868   0.115    
  2457893.91851   14.888   0.101    
  2457895.87427   15.030   0.16     
  2457901.7963    15.183   0.162    
  2457901.79757   15.063   0.13     
  2457902.72371   14.961   0.106    
  2457902.72497   15.035   0.136    
  2457902.72623   14.898   0.097    
  2457903.87956   14.956   0.106    
  2457903.88082   15.039   0.134    
  2457905.88241   14.876   0.11     
  2457905.88368   15.059   0.12     
  2457905.88494   14.861   0.109    
  2457906.85609   14.757   0.113    
  2457906.85735   15.025   0.156    
  2457906.85862   15.136   0.158    
  2457907.83743   14.940   0.198    
  2457907.83869   14.934   0.143    
  2457908.81152   14.891   0.106    
  2457908.81279   14.980   0.132    
  2457924.70956   15.038   0.142    
  2457924.71083   14.970   0.14     
  2457924.7319    14.960   0.115    
  2457924.73316   15.042   0.141    
  2457933.74155   14.962   0.098    
  2457933.74282   14.987   0.107    
  2457933.74408   14.884   0.1      
  2457935.6889    14.904   0.104    
  2457935.69017   14.739   0.076    
  2457935.69144   14.849   0.086    
  2457936.79931   14.978   0.105    
  2457936.80056   14.837   0.114    
  2457938.54606   14.933   0.134    
  2457939.64427   14.905   0.142    
  2457939.64553   14.877   0.13     
  2457939.64682   15.057   0.168    
  2457945.69136   14.760   0.131    
  2457945.69263   15.098   0.166    
  2457945.6939    14.920   0.131    
  2457947.64257   15.131   0.205    
  2457948.7611    14.951   0.151    
  2457948.76237   14.961   0.17     
  2457949.76431   15.174   0.164    
  2457949.76558   14.973   0.147    
  2457949.76686   15.144   0.154    
  2457951.63679   15.100   0.119    
  2457951.63806   14.928   0.109    
  2457952.67875   14.996   0.11     
  2457952.68002   14.904   0.101    
  2457953.70529   15.084   0.112    
  2457953.70656   14.914   0.096    
  2457953.70784   14.971   0.103    
  2457954.69794   14.853   0.102    
  2457954.69921   15.148   0.135    
