# HJD           mag    mag_err
  2458615.82274 14.236 0.028  
  2458671.66775 14.423 0.041  
  2458918.70262 14.812 0.096  
  2458918.70384 14.716 0.09   
  2458918.70507 14.603 0.08   
  2458919.62255 14.990 0.1    
  2458919.62377 14.921 0.097  
  2458919.62499 14.886 0.093  
  2458920.80791 15.021 0.07   
  2458920.80918 15.165 0.073  
  2458921.63927 15.166 0.081  
  2458921.6405  15.360 0.107  
  2458921.64173 15.482 0.112  
  2458922.82005 15.558 0.095  
  2458922.82128 15.579 0.107  
  2458922.8225  15.304 0.076  
  2458923.82919 15.600 0.081  
  2458923.83043 15.546 0.081  
  2458923.83164 15.764 0.099  
  2458924.61885 15.604 0.063  
  2458924.62008 15.403 0.055  
  2458924.62131 15.445 0.058  
  2458925.61277 15.526 0.055  
  2458925.61404 15.512 0.052  
  2458925.61532 15.523 0.052  
  2458926.5174  15.861 0.083  
  2458929.34441 16.370 0.119  
  2458933.3304  16.498 0.126  
  2458933.33162 16.435 0.116  
  2458933.33283 16.496 0.118  
  2459053.38168 13.803 0.028  
  2459322.64757 13.506 0.031  
  2459687.2644  13.823 0.065  
  2459687.26687 14.065 0.089  
  2459713.25118 15.645 0.19   
  2459743.73396 13.883 0.052  
