HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457809.14590,2017-02-24.6493428,bd,1.67,16.067,>16.067,99.990,-0.985,0.287,V
2457809.14717,2017-02-24.6506155,bd,1.61,15.688,>15.688,99.990,-0.860,0.407,V
2457809.14845,2017-02-24.6518938,bd,1.82,15.777,>15.777,99.990,-1.309,0.375,V
2457819.12909,2017-03-06.6317215,bd,1.50,16.065,>16.065,99.990,-0.530,0.288,V
2457819.13038,2017-03-06.6330074,bd,1.56,16.118,>16.118,99.990,-0.878,0.274,V
2457819.13167,2017-03-06.6342934,bd,1.49,16.235,>16.235,99.990,-0.225,0.246,V
2457820.12931,2017-03-07.6318552,bd,1.54,16.182,>16.182,99.990,-0.592,0.258,V
2457820.13059,2017-03-07.6331340,bd,1.52,16.020,>16.020,99.990,-0.492,0.300,V
2457820.13187,2017-03-07.6344069,bd,1.51,15.981,>15.981,99.990,-0.520,0.311,V
2457823.85844,2017-03-11.3606587,bh,1.47,15.355,>15.355,99.990,-1.054,0.553,V
2457823.85975,2017-03-11.3619608,bh,1.43,15.487,>15.487,99.990,-0.384,0.490,V
2457823.86101,2017-03-11.3632179,bh,1.40,15.436,>15.436,99.990,0.149,0.514,V
2457826.84708,2017-03-14.3490252,bh,1.49,15.581,>15.581,99.990,-1.687,0.449,V
2457826.84839,2017-03-14.3503328,bh,1.47,15.473,>15.473,99.990,-0.671,0.496,V
2457826.84970,2017-03-14.3516401,bh,1.38,15.556,>15.556,99.990,-0.746,0.460,V
2457829.14445,2017-03-16.6461829,bd,1.51,15.873,>15.873,99.990,-0.718,0.343,V
2457829.14573,2017-03-16.6474660,bd,1.50,16.054,>16.054,99.990,-0.466,0.291,V
2457829.14701,2017-03-16.6487452,bd,1.56,15.876,>15.876,99.990,-0.643,0.342,V
2457838.13106,2017-03-25.6319403,bd,1.45,16.047,>16.047,99.990,-0.409,0.292,V
2457838.13232,2017-03-25.6332057,bd,1.53,16.013,>16.013,99.990,-0.748,0.302,V
2457838.13360,2017-03-25.6344819,bd,1.54,15.915,>15.915,99.990,-0.439,0.330,V
