hjd,camera,mag,mag_err,flux,flux_err
2457575.74622,bh,14.819,0.03579,4.532,0.149
2458157.86006,bh,14.801,0.03539,4.608,0.15
2457803.84564,bh,14.778,0.03489,4.709,0.151
2458016.53074,bh,14.765,0.03461,4.762,0.152
2457812.76781,bh,14.862,0.03678,4.355,0.147
2458329.515,bh,14.795,0.03526,4.634,0.15
2457893.76354,bh,14.846,0.03641,4.419,0.148
2457951.60382,bh,14.8,0.03537,4.612,0.15
2457822.78631,bh,14.824,0.03591,4.512,0.149
2458181.75641,bh,14.776,0.03484,4.716,0.151
2458148.84439,bh,14.897,0.03762,4.22,0.146
2457566.63105,bh,14.805,0.03548,4.592,0.15
2458360.5621,bh,14.852,0.03655,4.398,0.148
2458144.85369,bh,14.913,0.03802,4.156,0.145
2457818.81911,bh,14.838,0.03623,4.452,0.148
2457871.63685,bh,17.828,99.99,-0.007,0.057
2457813.76332,bh,14.832,0.03609,4.476,0.149
2458159.83498,bh,14.862,0.03678,4.358,0.147
2457903.85247,bh,14.876,0.03712,4.301,0.147
2457769.86445,bh,14.916,0.03809,4.144,0.145
2457768.86864,bh,14.785,0.03504,4.677,0.151
2458021.48519,bh,14.809,0.03557,4.574,0.15
2457984.50493,bh,14.862,0.03678,4.358,0.147
2457546.56625,bh,14.8,0.03537,4.612,0.15
2457994.47275,bh,14.77,0.03471,4.74,0.151
2458024.51027,bh,14.716,0.03359,4.984,0.154
2458149.83998,bh,14.779,0.03491,4.703,0.151
2457771.86015,bh,14.936,0.0386,4.07,0.145
2458183.80437,bh,14.813,0.03566,4.558,0.15
2457779.85387,bh,14.87,0.03697,4.323,0.147
2457786.83553,bh,14.86,0.03674,4.363,0.147
2458195.77502,bh,14.838,0.03623,4.455,0.148
2458332.50816,bh,14.851,0.03653,4.4,0.148
2458229.76971,bh,14.846,0.03641,4.42,0.148
2458201.87663,bh,14.865,0.03686,4.344,0.147
2457851.77873,bh,14.762,0.03454,4.778,0.152
2458186.79778,bh,14.843,0.03634,4.433,0.148
2458241.85015,bh,14.776,0.03484,4.717,0.151
2458011.54472,bh,14.838,0.03623,4.454,0.148
2457651.51424,bh,14.795,0.03526,4.633,0.15
2457790.8238,bh,14.898,0.03765,4.216,0.146
2457545.628,bh,14.861,0.03676,4.359,0.147
2457548.54621,bh,14.893,0.03753,4.232,0.146
2457865.78775,bh,14.874,0.03707,4.308,0.147
2457476.91601,bh,14.833,0.03611,4.473,0.149
2457852.70554,bh,14.865,0.03686,4.344,0.147
2457782.84521,bh,14.82,0.03582,4.528,0.149
2457617.60861,bh,14.866,0.03688,4.339,0.147
2457655.4998,bh,14.853,0.03657,4.39,0.148
2458216.79666,bh,14.92,0.03819,4.131,0.145
2457607.54165,bh,14.795,0.03526,4.634,0.15
2457966.66136,bh,14.79,0.03515,4.654,0.15
2458185.76783,bh,14.945,0.03883,4.036,0.144
2458190.89595,bh,14.798,0.03532,4.622,0.15
2457981.63117,bh,14.851,0.03653,4.401,0.148
2457862.68355,bh,17.674,99.99,-0.045,0.065
2457915.72677,bh,14.815,0.0357,4.549,0.149
2457843.68257,bh,14.787,0.03508,4.67,0.151
2458226.80525,bh,14.802,0.03541,4.604,0.15
2457877.60933,bh,17.586,99.99,0.138,0.071
2458007.52589,bh,14.81,0.03559,4.572,0.15
2458215.89765,bh,14.872,0.03702,4.316,0.147
2458147.84853,bh,14.875,0.03709,4.306,0.147
2458133.86848,bh,14.933,0.03852,4.081,0.145
2458001.52395,bh,14.843,0.03634,4.434,0.148
2458160.81643,bh,14.842,0.03632,4.438,0.148
2457660.50958,bh,14.844,0.03636,4.429,0.148
2458191.84962,bh,14.908,0.03789,4.174,0.146
2458323.67382,bh,14.804,0.03546,4.594,0.15
2458217.80369,bh,14.806,0.0355,4.587,0.15
2457942.73034,bh,14.825,0.03593,4.509,0.149
2457946.68213,bh,14.865,0.03686,4.346,0.147
2458135.86428,bh,14.818,0.03577,4.536,0.149
2457604.65072,bh,14.844,0.03636,4.431,0.148
2457973.52884,bh,14.875,0.03709,4.304,0.147
2457455.85473,bh,14.862,0.03678,4.356,0.147
2458368.58338,bh,14.79,0.03515,4.654,0.15
2458165.80514,bh,14.885,0.03733,4.266,0.147
2457913.73824,bh,14.758,0.03446,4.794,0.152
2457457.82328,bh,14.795,0.03526,4.635,0.15
2457585.64162,bh,14.769,0.03469,4.747,0.152
2457623.62989,bh,14.82,0.03582,4.528,0.149
2457858.80023,bh,14.819,0.03579,4.533,0.149
2458182.75572,bh,14.848,0.03646,4.413,0.148
2458243.61842,bh,14.813,0.03566,4.557,0.149
2457669.48559,bh,14.882,0.03726,4.276,0.147
2457663.50268,bh,14.799,0.03535,4.618,0.15
2457561.73553,bh,14.81,0.03559,4.57,0.15
2457905.76118,bh,14.813,0.03566,4.556,0.149
2458032.49237,bh,14.837,0.0362,4.458,0.148
2458230.85582,bh,14.856,0.03664,4.381,0.148
2458145.84947,bh,14.798,0.03532,4.621,0.15
2457777.87034,bh,14.853,0.03657,4.392,0.148
2457800.81787,bh,14.897,0.03762,4.217,0.146
2457643.54722,bh,14.844,0.03636,4.428,0.148
2457969.55797,bh,14.741,0.0341,4.869,0.153
2457522.73576,bh,14.794,0.03524,4.638,0.15
2458023.50527,bh,14.809,0.03557,4.576,0.15
2458331.50404,bh,14.835,0.03616,4.465,0.149
2458319.70259,bh,14.888,0.03741,4.255,0.146
2458136.8602,bh,14.819,0.03579,4.533,0.149
2457634.55309,bh,14.825,0.03593,4.509,0.149
2457829.78076,bh,14.825,0.03593,4.507,0.149
2457957.66249,bh,14.806,0.0355,4.587,0.15
2458171.782,bh,14.843,0.03634,4.432,0.148
2457801.82699,bh,14.858,0.03669,4.374,0.148
2457889.66686,bh,14.846,0.03641,4.421,0.148
2458150.83578,bh,14.857,0.03667,4.376,0.148
2457602.57546,bh,14.841,0.03629,4.443,0.148
2458233.73196,bh,14.827,0.03597,4.5,0.149
2458173.84941,bh,14.811,0.03561,4.568,0.15
2457879.76875,bh,17.368,99.99,0.051,0.087
2457873.76785,bh,14.8,0.03537,4.612,0.15
2458222.75474,bh,14.848,0.03646,4.412,0.148
2458364.59431,bh,14.856,0.03664,4.379,0.148
2457934.62681,bh,14.866,0.03688,4.339,0.147
