# HJD             mag      mag_err  
  2457812.87413   15.234   0.107    
  2457812.87544   15.326   0.13     
  2457812.87674   15.430   0.122    
  2457816.89117   15.058   0.078    
  2457816.89247   15.183   0.095    
  2457816.89379   15.310   0.107    
  2457817.89436   15.515   0.155    
  2457817.89568   15.341   0.127    
  2457817.89698   15.150   0.116    
  2457821.87941   15.262   0.123    
  2457821.88072   15.240   0.125    
  2457821.88203   15.193   0.105    
  2457822.85489   15.145   0.104    
  2457822.8562    15.127   0.083    
  2457822.85753   15.327   0.114    
  2457824.82503   15.358   0.179    
  2457824.84941   15.216   0.151    
  2457824.85073   15.332   0.186    
  2457824.85202   15.076   0.111    
  2457826.82606   15.099   0.169    
  2457826.82869   15.316   0.188    
  2457826.86369   15.259   0.133    
  2457826.86501   15.300   0.128    
  2457826.86631   14.993   0.096    
  2457828.83959   15.059   0.11     
  2457828.8409    15.210   0.136    
  2457828.8651    15.474   0.135    
  2457828.86641   15.405   0.152    
  2457828.86771   15.388   0.127    
  2457836.90564   15.254   0.125    
  2457836.90694   15.386   0.134    
  2457836.90828   15.252   0.123    
  2457837.88102   15.157   0.091    
  2457837.88233   15.212   0.105    
  2457837.88364   15.059   0.098    
  2457838.78715   15.376   0.137    
  2457839.78592   15.297   0.114    
  2457839.81455   15.202   0.09     
  2457839.81599   15.081   0.079    
  2457839.81743   15.334   0.107    
  2457843.77135   15.320   0.106    
  2457843.77266   15.389   0.131    
  2457843.77396   15.362   0.143    
  2457843.80908   15.128   0.075    
  2457843.81034   15.087   0.078    
  2457843.81165   15.243   0.094    
  2457845.81584   15.360   0.105    
  2457845.81715   15.184   0.083    
  2457845.81846   15.309   0.103    
  2457845.85723   15.132   0.109    
  2457845.85854   15.351   0.114    
  2457845.85985   15.037   0.089    
  2457846.86653   15.178   0.094    
  2457846.86782   15.222   0.1      
  2457846.86913   15.068   0.074    
  2457847.86401   15.267   0.113    
  2457848.82737   15.263   0.094    
  2457848.82867   15.221   0.095    
  2457848.82999   15.218   0.106    
  2457848.83941   15.196   0.101    
  2457848.84071   15.189   0.093    
  2457848.84201   15.283   0.106    
  2457851.75728   15.517   0.213    
  2457851.75983   14.971   0.117    
  2457851.79512   15.515   0.163    
  2457851.79639   15.387   0.137    
  2457851.79765   15.052   0.101    
  2457853.7443    15.355   0.189    
  2457853.74563   15.148   0.173    
  2457853.74688   15.175   0.15     
  2457853.77118   15.208   0.13     
  2457853.77244   15.361   0.149    
  2457853.77371   15.399   0.173    
  2457855.77024   15.445   0.163    
  2457855.77151   15.403   0.164    
  2457855.77277   15.341   0.16     
  2457855.87567   15.263   0.156    
  2457855.87694   15.248   0.151    
  2457855.8782    15.388   0.16     
  2457857.82233   14.935   0.165    
  2457858.75979   15.292   0.157    
  2457858.76106   15.675   0.161    
  2457858.76233   15.024   0.11     
  2457864.86618   15.277   0.101    
  2457864.86746   15.242   0.106    
  2457864.86872   15.237   0.12     
  2457865.91877   15.259   0.1      
  2457865.92003   15.205   0.094    
  2457865.92129   15.277   0.093    
  2457866.86505   15.210   0.113    
  2457866.86633   15.083   0.096    
  2457866.86763   15.186   0.099    
  2457867.88776   15.241   0.092    
  2457867.88904   15.246   0.087    
  2457867.89031   15.287   0.117    
  2457868.8718    15.051   0.075    
  2457868.87342   15.287   0.101    
  2457870.7       15.189   0.106    
  2457870.70127   15.151   0.097    
  2457870.70254   15.092   0.093    
  2457870.72626   15.189   0.089    
  2457870.72752   15.443   0.111    
  2457870.72879   15.354   0.11     
  2457871.69964   15.288   0.112    
  2457871.7009    15.085   0.087    
  2457871.70216   15.409   0.131    
