HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457804.69782,2017-02-20.1966255,be,1.40,16.801,>16.801,99.990,-0.022,0.146,V
2457804.69914,2017-02-20.1979361,be,1.46,16.616,>16.616,99.990,-0.121,0.173,V
2457804.70045,2017-02-20.1992483,be,1.45,16.532,>16.532,99.990,-0.180,0.187,V
2457806.69238,2017-02-22.1910366,be,2.18,16.737,>16.737,99.990,-0.121,0.155,V
2457806.69369,2017-02-22.1923505,be,2.17,16.572,>16.572,99.990,0.194,0.180,V
2457806.69501,2017-02-22.1936680,be,2.17,16.426,>16.426,99.990,-0.190,0.206,V
2457808.80228,2017-02-24.3007788,be,1.64,16.664,>16.664,99.990,0.050,0.166,V
2457808.80359,2017-02-24.3020898,be,1.65,16.668,>16.668,99.990,-0.142,0.165,V
2457808.80489,2017-02-24.3033939,be,1.65,16.678,>16.678,99.990,0.115,0.164,V
2457813.82089,2017-03-01.3190418,be,1.51,16.790,>16.790,99.990,0.056,0.148,V
2457813.82220,2017-03-01.3203480,be,1.45,16.629,>16.629,99.990,0.110,0.171,V
2457813.82350,2017-03-01.3216516,be,1.51,16.728,>16.728,99.990,0.082,0.156,V
2457818.72341,2017-03-06.2212324,be,1.65,16.704,>16.704,99.990,0.152,0.160,V
2457820.76528,2017-03-08.2629651,be,1.41,16.518,>16.518,99.990,0.167,0.190,V
2457820.76658,2017-03-08.2642722,be,1.54,16.600,>16.600,99.990,-0.309,0.176,V
2457820.76790,2017-03-08.2655853,be,1.46,16.664,>16.664,99.990,-0.032,0.166,V
2457823.64967,2017-03-11.1471736,be,1.60,15.882,>15.882,99.990,0.070,0.340,V
2457823.65097,2017-03-11.1484813,be,1.53,15.980,>15.980,99.990,-0.426,0.311,V
2457823.65227,2017-03-11.1497817,be,1.46,16.137,>16.137,99.990,-0.535,0.269,V
2457825.80299,2017-03-13.3003644,be,1.52,16.031,>16.031,99.990,-0.127,0.297,V
2457825.80428,2017-03-13.3016618,be,1.49,15.941,>15.941,99.990,-0.399,0.323,V
2457825.80559,2017-03-13.3029680,be,1.42,16.035,>16.035,99.990,-0.214,0.296,V
2457827.87487,2017-03-15.3721212,be,1.57,16.168,>16.168,99.990,-0.146,0.262,V
2457827.87617,2017-03-15.3734222,be,1.51,16.084,>16.084,99.990,0.073,0.283,V
2457827.87748,2017-03-15.3747337,be,1.57,16.176,>16.176,99.990,-0.506,0.260,V
2457829.83891,2017-03-17.3360519,be,1.50,16.127,>16.127,99.990,-0.065,0.272,V
2457830.74743,2017-03-18.2445119,be,1.53,16.207,>16.207,99.990,0.161,0.252,V
2457830.74873,2017-03-18.2458219,be,1.63,16.466,>16.466,99.990,0.344,0.199,V
2457830.75003,2017-03-18.2471207,be,1.51,16.223,>16.223,99.990,0.197,0.249,V
2457831.75455,2017-03-19.2515775,be,1.50,16.380,>16.380,99.990,-0.357,0.215,V
2457832.81325,2017-03-20.3102206,be,1.59,16.480,>16.480,99.990,0.098,0.196,V
2457832.81454,2017-03-20.3115212,be,1.53,16.550,>16.550,99.990,0.080,0.184,V
2457832.81585,2017-03-20.3128288,be,1.52,16.545,>16.545,99.990,-0.202,0.185,V
2457833.79061,2017-03-21.2875322,be,1.64,16.585,>16.585,99.990,-0.106,0.178,V
2457833.79191,2017-03-21.2888295,be,1.62,16.602,>16.602,99.990,-0.111,0.176,V
2457833.79321,2017-03-21.2901283,be,1.64,16.672,>16.672,99.990,0.022,0.165,V
2457834.76990,2017-03-22.2667718,be,1.65,16.915,>16.915,99.990,-0.107,0.132,V
2457834.77120,2017-03-22.2680711,be,1.58,16.758,>16.758,99.990,0.081,0.152,V
2457834.77252,2017-03-22.2693886,be,1.54,16.841,>16.841,99.990,-0.052,0.141,V
2457835.76900,2017-03-23.2658160,be,1.64,16.823,>16.823,99.990,-0.011,0.143,V
2457835.77031,2017-03-23.2671252,be,1.60,16.996,>16.996,99.990,-0.169,0.122,V
2457835.77161,2017-03-23.2684253,be,1.57,16.767,>16.767,99.990,-0.054,0.151,V
2457838.61170,2017-03-26.1083732,be,1.75,16.621,>16.621,99.990,-0.242,0.172,V
2457838.61301,2017-03-26.1096840,be,1.66,16.626,>16.626,99.990,-0.224,0.172,V
2457838.61432,2017-03-26.1109893,be,1.69,16.712,>16.712,99.990,0.143,0.158,V
2457839.69729,2017-03-27.1939116,be,1.47,16.866,>16.866,99.990,0.200,0.138,V
2457839.69873,2017-03-27.19535,be,1.46,16.727,>16.727,99.990,-0.095,0.156,V
2457839.70017,2017-03-27.1967915,be,1.53,16.757,>16.757,99.990,-0.281,0.152,V
2457844.83345,2017-04-01.3298318,be,1.56,16.584,>16.584,99.990,0.070,0.178,V
2457844.83475,2017-04-01.3311384,be,1.63,16.923,>16.923,99.990,0.024,0.131,V
2457844.83607,2017-04-01.3324553,be,1.65,16.671,>16.671,99.990,0.005,0.165,V
2457846.78022,2017-04-03.2765298,be,1.61,16.734,>16.734,99.990,-0.190,0.155,V
2457846.78149,2017-04-03.2778026,be,1.69,16.696,>16.696,99.990,0.095,0.161,V
2457846.78280,2017-04-03.2791047,be,1.70,16.869,>16.869,99.990,-0.073,0.137,V
2457848.65434,2017-04-05.1505728,be,1.81,16.489,>16.489,99.990,-0.195,0.195,V
2457848.65564,2017-04-05.1518710,be,1.67,16.438,>16.438,99.990,0.005,0.204,V
2457848.65690,2017-04-05.1531314,be,1.86,16.709,>16.709,99.990,-0.251,0.159,V
2457849.84145,2017-04-06.3376416,be,1.49,16.769,>16.769,99.990,-0.064,0.150,V
2457849.84277,2017-04-06.3389532,be,1.52,16.604,>16.604,99.990,-0.013,0.175,V
2457849.84409,2017-04-06.3402730,be,1.49,16.668,>16.668,99.990,0.041,0.165,V
2457850.58293,2017-04-07.0790878,be,1.51,16.351,>16.351,99.990,-0.002,0.221,V
2457850.58424,2017-04-07.0803981,be,1.78,16.294,>16.294,99.990,0.166,0.233,V
2457850.58555,2017-04-07.0817146,be,1.68,16.208,>16.208,99.990,0.325,0.252,V
2457852.74499,2017-04-09.2410781,be,2.49,15.926,>15.926,99.990,0.045,0.327,V
2457852.74626,2017-04-09.2423408,be,2.48,16.088,>16.088,99.990,-0.148,0.282,V
2457853.84496,2017-04-10.3410086,be,1.54,15.924,>15.924,99.990,-0.205,0.328,V
2457853.84622,2017-04-10.3422753,be,1.56,15.925,>15.925,99.990,-0.188,0.327,V
2457853.84749,2017-04-10.3435388,be,1.51,16.159,>16.159,99.990,-0.156,0.264,V
2457856.70700,2017-04-13.2029628,be,1.49,16.030,>16.030,99.990,-0.517,0.297,V
2457856.70828,2017-04-13.2042378,be,1.47,16.092,>16.092,99.990,0.063,0.281,V
2457856.70954,2017-04-13.2054984,be,1.50,16.217,>16.217,99.990,-0.680,0.250,V
2457862.78987,2017-04-19.2856751,be,1.63,16.568,>16.568,99.990,0.162,0.181,V
2457862.79114,2017-04-19.2869422,be,1.70,16.592,>16.592,99.990,-0.087,0.177,V
2457862.79240,2017-04-19.2882057,be,1.58,16.505,>16.505,99.990,-0.226,0.192,V
2457864.68295,2017-04-21.1787114,be,1.52,16.823,>16.823,99.990,-0.164,0.143,V
2457864.68421,2017-04-21.1799782,be,1.52,17.062,>17.062,99.990,-0.261,0.115,V
