hjd,camera,mag,mag_err,flux,flux_err
2458305.48472,be,14.54,0.03035,5.863,0.164
2458068.8398,be,14.604,0.03145,5.525,0.16
2457889.63269,be,14.565,0.03077,5.724,0.162
2457575.4637,be,14.563,0.03074,5.739,0.162
2458204.7048,be,14.544,0.03041,5.839,0.163
2457560.47489,be,14.636,0.03204,5.363,0.158
2458229.71472,be,14.542,0.03038,5.852,0.164
2457663.89313,be,14.552,0.03055,5.798,0.163
2457436.58342,be,14.601,0.0314,5.539,0.16
2458081.76418,be,14.54,0.03035,5.858,0.164
2457933.49765,be,14.531,0.0302,5.909,0.164
2457830.69367,be,14.513,0.02991,6.01,0.165
2457737.73326,be,14.491,0.02956,6.131,0.167
2457478.68623,be,14.529,0.03017,5.92,0.164
2457787.72575,be,14.44,0.02878,6.428,0.17
2458173.73096,be,14.586,0.03113,5.615,0.161
2457457.67772,be,14.53,0.03018,5.916,0.164
2458162.71154,be,14.589,0.03119,5.602,0.161
2458182.72011,be,14.546,0.03045,5.829,0.163
2458102.7632,be,14.554,0.03058,5.786,0.163
2457925.52316,be,14.582,0.03106,5.64,0.161
2457426.73485,be,14.525,0.0301,5.942,0.165
2458202.76986,be,14.529,0.03017,5.921,0.164
2458236.58471,be,14.695,0.03317,5.08,0.155
2457713.7935,be,14.574,0.03092,5.677,0.162
2458083.80442,be,14.513,0.02991,6.007,0.165
2457750.71517,be,14.599,0.03136,5.551,0.16
2457668.88011,be,14.56,0.03068,5.754,0.162
2457768.86082,be,14.608,0.03152,5.502,0.16
2458223.73437,be,14.586,0.03113,5.617,0.161
2458067.83921,be,14.51,0.02986,6.024,0.165
2457699.80944,be,14.566,0.03079,5.724,0.162
2457917.55709,be,14.617,0.03169,5.458,0.159
2457903.59797,be,14.531,0.0302,5.91,0.164
2457446.76262,be,14.575,0.03094,5.672,0.161
2458056.84929,be,14.471,0.02924,6.243,0.168
2457858.70012,be,14.565,0.03077,5.727,0.162
2457536.55445,be,14.518,0.02999,5.978,0.165
2458188.71883,be,14.628,0.03189,5.402,0.158
2457689.83806,be,14.493,0.02959,6.118,0.167
2457781.64417,be,14.551,0.03053,5.803,0.163
2457882.54324,be,14.589,0.03119,5.602,0.161
2458213.68513,be,14.568,0.03082,5.709,0.162
2458171.68315,be,14.501,0.02971,6.076,0.166
2457431.66263,be,14.528,0.03015,5.926,0.164
2457846.75948,be,14.505,0.02978,6.052,0.166
2458174.63374,be,14.557,0.03063,5.768,0.163
2457425.8266,be,14.502,0.02973,6.069,0.166
2458190.75391,be,14.52,0.03002,5.971,0.165
2458214.65585,be,14.556,0.03062,5.773,0.163
2457773.79458,be,14.562,0.03072,5.744,0.162
2457864.52828,be,14.518,0.02999,5.98,0.165
2458172.73183,be,14.58,0.03103,5.649,0.161
2458206.77409,be,14.558,0.03065,5.763,0.163
2458111.81288,be,14.562,0.03072,5.742,0.162
2457439.74837,be,14.508,0.02982,6.037,0.166
2457697.81628,be,14.566,0.03079,5.721,0.162
2457746.76362,be,14.58,0.03103,5.648,0.161
2457690.83489,be,14.584,0.0311,5.626,0.161
2457453.82635,be,14.536,0.03028,5.884,0.164
2457726.73864,be,14.628,0.03189,5.403,0.159
2457778.62757,be,14.538,0.03031,5.869,0.164
2457568.48012,be,14.55,0.03051,5.804,0.163
2457808.79124,be,14.545,0.03043,5.835,0.163
2457835.74284,be,14.564,0.03075,5.731,0.162
2458069.84444,be,14.553,0.03057,5.789,0.163
2458207.74715,be,14.655,0.03239,5.27,0.157
2457755.66066,be,14.516,0.02995,5.99,0.165
