# HJD             mag      mag_err  
  2457806.70758   15.741   0.139    
  2457806.70888   15.774   0.143    
  2457806.71019   15.880   0.183    
  2457808.81915   15.520   0.126    
  2457808.82046   15.585   0.121    
  2457808.82176   15.778   0.148    
  2457813.70243   15.570   0.116    
  2457813.70374   15.465   0.101    
  2457813.70506   15.593   0.115    
  2457820.8517    15.566   0.123    
  2457820.85296   15.618   0.122    
  2457820.85428   15.510   0.103    
  2457825.77626   15.751   0.193    
  2457827.80572   15.479   0.17     
  2457829.82997   16.075   0.211    
  2457833.76571   15.787   0.165    
  2457833.76702   15.900   0.194    
  2457833.76834   16.085   0.199    
  2457834.76101   15.544   0.126    
  2457838.61882   15.842   0.17     
  2457838.62017   15.713   0.136    
  2457838.62149   15.959   0.189    
  2457843.60137   15.786   0.16     
  2457843.60268   15.689   0.135    
  2457843.60399   16.056   0.202    
  2457845.80991   15.814   0.146    
  2457845.81123   15.780   0.136    
  2457845.81255   15.906   0.178    
  2457847.77082   15.784   0.14     
  2457847.77214   15.818   0.174    
  2457847.77345   15.765   0.157    
  2457850.63545   15.744   0.204    
  2457856.75655   15.742   0.181    
  2457862.79273   15.850   0.168    
  2457862.79399   15.753   0.147    
  2457863.7012    15.625   0.123    
  2457863.70246   15.719   0.115    
  2457863.70373   15.651   0.128    
  2457867.82364   15.898   0.164    
  2457867.82491   15.713   0.135    
  2457867.82622   15.794   0.154    
  2457870.61316   15.811   0.17     
  2457870.61443   15.958   0.18     
  2457870.6157    15.825   0.157    
  2457872.63147   15.896   0.179    
  2457872.63274   15.974   0.204    
  2457872.634     15.979   0.2      
  2457876.56413   15.717   0.147    
  2457876.56539   15.910   0.202    
  2457876.56667   16.104   0.186    
  2457877.77636   15.511   0.115    
  2457877.77762   15.684   0.13     
  2457877.7789    15.801   0.16     
  2457882.69445   15.546   0.173    
  2457882.69699   15.729   0.182    
  2457889.67316   15.858   0.201    
  2457889.67443   15.896   0.196    
  2457890.71071   15.941   0.197    
  2457890.71324   15.922   0.199    
  2457893.69809   15.814   0.154    
  2457893.69939   15.745   0.146    
  2457893.70066   15.604   0.115    
  2457895.68203   16.022   0.172    
  2457895.68329   15.602   0.168    
  2457901.7456    15.776   0.184    
  2457901.74687   15.872   0.189    
  2457902.66584   15.839   0.153    
  2457902.6671    15.654   0.119    
  2457902.66836   15.680   0.134    
  2457904.51925   15.823   0.174    
  2457904.52052   15.979   0.171    
  2457904.52178   15.861   0.173    
  2457905.7411    15.939   0.206    
  2457905.74237   16.015   0.218    
  2457905.74363   15.926   0.173    
  2457908.63034   15.614   0.147    
  2457908.6316    15.891   0.211    
  2457908.63287   15.592   0.182    
  2457917.56752   15.866   0.205    
  2457917.56878   15.872   0.179    
  2457917.57005   15.854   0.183    
  2457922.52308   15.989   0.154    
  2457922.52434   15.643   0.114    
  2457922.52561   15.645   0.124    
  2457924.6178    15.771   0.143    
  2457924.61907   15.872   0.167    
  2457933.65109   15.754   0.134    
  2457933.65237   15.770   0.156    
  2457933.65363   15.671   0.153    
  2457939.65773   15.664   0.164    
  2457948.6392    15.504   0.211    
  2457949.64202   15.893   0.208    
  2457951.52516   15.849   0.197    
  2457951.52642   15.872   0.21     
  2457951.5277    15.715   0.135    
  2457953.62955   15.838   0.211    
  2457954.59895   15.924   0.198    
  2457954.60021   15.877   0.203    
  2457954.60147   15.805   0.181    
  2457958.61182   15.928   0.194    
  2457958.61308   15.750   0.134    
  2457958.61436   15.627   0.128    
  2457961.60769   15.975   0.192    
  2457968.58675   15.747   0.207    
  2457968.58803   15.642   0.155    
  2457968.5893    15.874   0.192    
  2457971.57473   15.746   0.19     
  2457974.56251   15.893   0.196    
  2457980.54496   15.850   0.2      
  2457980.54623   15.764   0.148    
  2457980.5475    15.814   0.151    
  2457984.51922   15.758   0.151    
  2457984.52048   15.782   0.141    
  2457984.52176   15.689   0.136    
  2457994.48346   15.703   0.158    
  2457994.48472   16.019   0.219    
  2457994.486     15.806   0.207    
  2458116.85246   15.973   0.205    
  2458116.85576   15.880   0.2      
  2458117.84853   15.802   0.188    
  2458123.83858   15.781   0.197    
  2458123.83986   15.878   0.217    
  2458123.84114   15.742   0.188    
  2458124.83874   15.805   0.177    
  2458124.84002   15.712   0.186    
  2458124.84129   15.415   0.139    
  2458126.83335   15.740   0.189    
  2458127.8205    15.663   0.128    
  2458127.82177   15.619   0.124    
  2458127.82305   15.751   0.175    
  2458128.81677   15.843   0.169    
  2458128.81805   15.808   0.157    
  2458128.81932   15.932   0.168    
  2458130.82015   15.885   0.195    
  2458130.82141   15.843   0.176    
  2458130.82267   15.730   0.191    
  2458132.85017   15.780   0.182    
  2458132.8527    15.809   0.179    
  2458133.84618   15.916   0.203    
  2458133.84746   15.861   0.166    
  2458133.84873   15.779   0.146    
  2458134.84605   15.890   0.157    
  2458134.84732   15.882   0.174    
  2458135.84117   15.938   0.198    
  2458135.84244   15.740   0.156    
  2458135.8437    15.783   0.176    
  2458136.83778   15.711   0.126    
  2458136.83906   15.875   0.19     
  2458136.84033   15.802   0.168    
  2458137.83768   16.054   0.175    
  2458137.83894   15.936   0.178    
  2458137.84022   15.803   0.175    
  2458138.83356   15.761   0.157    
  2458138.83484   15.866   0.16     
  2458138.83612   15.933   0.176    
