HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457817.15427,2017-03-04.6551569,bb,2.18,16.160,14.198,0.036,8.034,0.266,V
2457817.15555,2017-03-04.6564356,bb,2.17,16.148,14.221,0.037,7.866,0.269,V
2457817.15683,2017-03-04.6577090,bb,2.18,16.093,14.207,0.039,7.962,0.283,V
2457818.15073,2017-03-05.6515119,bb,2.01,16.361,14.223,0.031,7.850,0.222,V
2457818.15200,2017-03-05.6527880,bb,1.99,16.123,14.287,0.040,7.400,0.274,V
2457818.15328,2017-03-05.6540665,bb,1.90,16.394,14.275,0.031,7.478,0.215,V
2457820.14745,2017-03-07.6480432,bb,1.74,16.246,14.249,0.035,7.665,0.245,V
2457820.14877,2017-03-07.6493598,bb,1.74,16.382,14.285,0.032,7.416,0.217,V
2457820.15003,2017-03-07.6506177,bb,1.81,16.225,14.224,0.035,7.838,0.250,V
2457823.80981,2017-03-11.3100282,bf,1.75,15.643,14.381,0.069,6.781,0.426,V
2457823.81113,2017-03-11.3113475,bf,1.64,15.713,14.378,0.064,6.808,0.399,V
2457823.81244,2017-03-11.3126586,bf,1.64,15.770,14.783,0.088,4.685,0.378,V
2457825.86505,2017-03-13.3650719,bf,1.52,15.793,14.241,0.052,7.718,0.371,V
2457825.86636,2017-03-13.3663810,bf,1.47,15.675,14.513,0.075,6.009,0.413,V
2457825.86766,2017-03-13.3676813,bf,1.58,15.765,14.310,0.057,7.243,0.381,V
2457829.14262,2017-03-16.6423079,bb,1.80,15.974,14.287,0.046,7.398,0.314,V
2457829.14389,2017-03-16.6435829,bb,1.66,16.082,14.219,0.039,7.880,0.285,V
2457829.14518,2017-03-16.6448715,bb,1.79,16.019,14.343,0.047,7.029,0.301,V
2457836.12866,2017-03-23.6276519,bb,2.01,16.201,14.148,0.033,8.411,0.256,V
2457836.12993,2017-03-23.6289229,bb,2.02,16.263,14.286,0.035,7.405,0.241,V
2457836.13119,2017-03-23.6301892,bb,2.02,16.264,14.229,0.034,7.804,0.241,V
2457836.85752,2017-03-24.3564444,bf,1.64,16.320,14.386,0.037,6.755,0.229,V
2457836.85883,2017-03-24.3577542,bf,1.49,16.182,14.353,0.041,6.965,0.260,V
2457836.86013,2017-03-24.3590531,bf,1.58,16.126,14.291,0.040,7.369,0.274,V
2457838.76857,2017-03-26.2673105,bf,1.54,16.161,14.274,0.038,7.485,0.265,V
2457838.76990,2017-03-26.2686431,bf,1.68,16.172,14.289,0.039,7.388,0.263,V
2457838.77121,2017-03-26.2699489,bf,1.60,16.153,14.301,0.040,7.302,0.267,V
2457839.76991,2017-03-27.2685496,bf,1.48,16.205,14.336,0.039,7.071,0.254,V
2457839.77135,2017-03-27.2699900,bf,1.49,16.238,14.463,0.043,6.290,0.247,V
2457839.77278,2017-03-27.2714224,bf,1.51,16.164,14.315,0.040,7.212,0.264,V
2457840.78128,2017-03-28.2798217,bf,1.60,16.276,14.432,0.040,6.468,0.238,V
2457840.78400,2017-03-28.2825392,bf,1.54,16.207,14.430,0.043,6.482,0.254,V
2457840.78660,2017-03-28.2851384,bf,1.51,16.261,14.347,0.038,6.998,0.242,V
2457843.82628,2017-03-31.3245260,bf,1.69,16.228,14.344,0.039,7.024,0.250,V
2457846.09416,2017-04-02.5921925,bb,2.12,16.203,14.183,0.034,8.141,0.255,V
2457846.09543,2017-04-02.5934695,bb,2.22,16.188,14.185,0.035,8.124,0.258,V
2457846.09671,2017-04-02.5947420,bb,2.19,16.201,14.216,0.035,7.899,0.255,V
2457847.09038,2017-04-03.5883221,bb,2.07,16.224,14.278,0.036,7.460,0.250,V
2457847.09165,2017-04-03.5895932,bb,2.08,16.281,14.278,0.035,7.457,0.237,V
2457847.09292,2017-04-03.5908594,bb,2.06,16.246,14.322,0.037,7.161,0.245,V
2457847.86708,2017-04-04.3649533,bf,1.73,16.259,14.373,0.039,6.831,0.243,V
2457847.86837,2017-04-04.3662403,bf,1.56,16.129,14.427,0.046,6.504,0.273,V
