hjd,camera,mag,mag_err,flux,flux_err
2458225.65183,bg,14.433,0.02868,6.467,0.171
2457831.61125,bg,14.419,0.02847,6.551,0.172
2458210.66546,bg,14.349,0.02751,6.99,0.177
2457460.59814,bg,14.388,0.02804,6.741,0.174
2457684.82304,bg,14.391,0.02808,6.722,0.174
2457790.6085,bg,14.407,0.0283,6.625,0.172
2457783.62821,bg,14.399,0.02819,6.671,0.173
2457867.61653,bg,14.429,0.02862,6.492,0.171
2457758.79771,bg,14.423,0.02853,6.525,0.171
2458199.71852,bg,14.392,0.02809,6.715,0.174
2457843.64022,bg,14.425,0.02856,6.518,0.171
2457436.77439,bg,14.367,0.02775,6.873,0.175
2457477.54111,bg,14.415,0.02841,6.577,0.172
2458195.73745,bg,14.438,0.02875,6.439,0.17
2458127.71824,bg,14.422,0.02852,6.535,0.171
2458073.75225,bg,14.404,0.02826,6.641,0.173
2457801.69578,bg,14.425,0.02856,6.516,0.171
2457834.58448,bg,14.4,0.0282,6.666,0.173
2458365.90411,bg,14.481,0.0294,6.188,0.167
2457750.61162,bg,14.392,0.02809,6.715,0.174
2458083.79875,bg,14.436,0.02872,6.451,0.17
2458124.73386,bg,14.429,0.02862,6.488,0.171
2458207.70482,bg,14.422,0.02852,6.533,0.171
2458197.72813,bg,14.38,0.02792,6.792,0.174
2457701.80885,bg,14.355,0.02759,6.947,0.176
2458194.73861,bg,14.38,0.02792,6.791,0.174
2457546.44888,bg,14.415,0.02841,6.575,0.172
2457446.56371,bg,14.262,0.02643,7.573,0.184
2458108.79873,bg,14.388,0.02804,6.741,0.174
2458230.64073,bg,14.364,0.02771,6.889,0.176
2457451.73898,bg,14.306,0.02696,7.272,0.18
2458148.81174,bg,14.347,0.02748,6.998,0.177
2457914.48337,bg,14.408,0.02832,6.619,0.172
2457728.71874,bg,14.398,0.02817,6.682,0.173
2457753.62385,bg,14.388,0.02804,6.738,0.174
2457426.79156,bg,14.304,0.02693,7.282,0.18
2457794.57387,bg,14.351,0.02754,6.977,0.177
2457457.68787,bg,14.36,0.02765,6.918,0.176
2458198.72328,bg,14.44,0.02878,6.423,0.17
2457441.67549,bg,14.317,0.0271,7.197,0.179
2457789.74126,bg,14.405,0.02827,6.635,0.173
2458056.76778,bg,14.415,0.02841,6.573,0.172
2458192.7401,bg,14.393,0.0281,6.712,0.174
2457466.72544,bg,14.275,0.02658,7.481,0.183
2458178.7755,bg,14.405,0.02827,6.633,0.173
2457845.61001,bg,14.381,0.02794,6.783,0.174
2458206.66922,bg,14.398,0.02817,6.678,0.173
2458196.72895,bg,14.391,0.02808,6.72,0.174
2457829.59727,bg,14.382,0.02795,6.779,0.174
2457475.61862,bg,14.367,0.02775,6.873,0.175
2457629.91017,bg,14.427,0.02859,6.501,0.171
2457444.65728,bg,14.31,0.02701,7.241,0.18
2457647.88546,bg,14.331,0.02728,7.104,0.178
2458136.81993,bg,14.423,0.02853,6.529,0.171
2458189.72296,bg,14.404,0.02826,6.644,0.173
2458143.56941,bg,14.434,0.02869,6.459,0.17
2458186.61353,bg,14.437,0.02873,6.445,0.17
2457469.67728,bg,14.363,0.02769,6.899,0.176
2457838.61442,bg,14.435,0.0287,6.455,0.17
2458182.58213,bg,14.434,0.02869,6.46,0.171
2457447.77605,bg,14.295,0.02682,7.346,0.181
2458158.7489,bg,14.404,0.02826,6.644,0.173
2458204.71165,bg,14.397,0.02816,6.684,0.173
2458360.91386,bg,14.404,0.02826,6.642,0.173
2457699.7362,bg,14.392,0.02809,6.718,0.174
2458171.62628,bg,14.402,0.02823,6.653,0.173
2457422.70661,bg,14.317,0.0271,7.198,0.179
2458190.72649,bg,14.421,0.0285,6.539,0.171
2457690.75948,bg,14.4,0.0282,6.666,0.173
2458229.64378,bg,14.351,0.02754,6.975,0.177
2457916.4631,bg,14.413,0.02839,6.589,0.172
2457848.67759,bg,14.392,0.02809,6.714,0.174
2458123.76766,bg,14.448,0.0289,6.378,0.17
2458223.65655,bg,14.433,0.02868,6.469,0.171
2458183.56559,bg,14.418,0.02846,6.558,0.172
2458055.81633,bg,14.415,0.02841,6.578,0.172
2458072.75665,bg,14.44,0.02878,6.424,0.17
2458244.59874,bg,14.419,0.02847,6.548,0.172
2458081.72161,bg,14.405,0.02827,6.633,0.173
2457786.60644,bg,14.391,0.02808,6.721,0.174
2458011.88137,bg,14.414,0.0284,6.578,0.172
