HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457805.73927,2017-02-21.2374709,bf,1.55,16.338,15.702,0.122,2.009,0.224,V
2457805.74058,2017-02-21.2387803,bf,1.47,16.245,15.744,0.139,1.934,0.244,V
2457805.74188,2017-02-21.2400868,bf,1.53,16.213,15.815,0.152,1.812,0.251,V
2457806.84941,2017-02-22.3475762,be,1.50,16.519,15.893,0.124,1.685,0.190,V
2457806.85072,2017-02-22.3488921,be,1.53,16.264,15.792,0.142,1.849,0.240,V
2457806.85204,2017-02-22.3502125,be,1.48,16.229,15.680,0.133,2.051,0.248,V
2457807.58130,2017-02-23.0794439,be,1.47,16.432,15.722,0.114,1.974,0.205,V
2457807.58260,2017-02-23.0807452,be,1.48,16.336,15.665,0.118,2.081,0.224,V
2457807.58390,2017-02-23.0820440,be,1.42,15.952,15.646,0.166,2.115,0.320,V
2457807.58525,2017-02-23.0833960,bf,1.48,15.456,>15.456,99.990,2.202,0.505,V
2457807.58656,2017-02-23.0847050,bf,1.41,15.813,>15.813,99.990,0.929,0.363,V
2457807.58787,2017-02-23.0860136,bf,1.42,14.982,>14.982,99.990,0.832,0.780,V
2457808.74894,2017-02-24.2470517,be,1.52,16.179,15.843,0.161,1.765,0.259,V
2457808.75024,2017-02-24.2483534,be,1.59,16.429,15.736,0.116,1.948,0.206,V
2457808.75155,2017-02-24.2496641,be,1.50,16.174,15.955,0.180,1.593,0.261,V
2457812.57485,2017-02-28.0728611,bf,1.49,16.116,15.630,0.141,2.148,0.275,V
2457812.57617,2017-02-28.0741843,bf,1.54,16.207,15.854,0.159,1.746,0.253,V
2457812.57748,2017-02-28.0754940,bf,1.45,16.110,16.096,0.217,1.399,0.276,V
2457813.66980,2017-03-01.1677868,be,1.45,16.193,15.760,0.148,1.904,0.256,V
2457813.67111,2017-03-01.1690932,be,1.42,16.331,15.757,0.130,1.911,0.226,V
2457813.67242,2017-03-01.1704034,be,1.50,16.125,15.643,0.141,2.121,0.273,V
2457817.66261,2017-03-05.1604953,be,1.53,16.275,15.868,0.151,1.725,0.237,V
2457817.66394,2017-03-05.1618219,be,1.57,16.382,15.767,0.125,1.892,0.215,V
2457817.66525,2017-03-05.1631406,be,1.52,16.190,15.782,0.151,1.867,0.257,V
2457817.85495,2017-03-05.3528285,bf,1.62,15.817,>15.817,99.990,0.836,0.361,V
2457817.85627,2017-03-05.3541493,bf,1.64,15.973,15.888,0.204,1.693,0.313,V
2457817.85757,2017-03-05.3554482,bf,1.64,15.928,>15.928,99.990,1.617,0.327,V
2457821.54033,2017-03-09.0381305,bf,1.53,15.777,>15.777,99.990,1.582,0.375,V
2457821.54163,2017-03-09.0394379,bf,1.53,15.688,>15.688,99.990,1.020,0.407,V
2457821.54295,2017-03-09.0407494,bf,1.59,15.747,>15.747,99.990,1.418,0.386,V
2457823.59422,2017-03-11.0919814,be,1.50,15.778,>15.778,99.990,1.273,0.375,V
2457823.59552,2017-03-11.0932855,be,1.41,15.949,>15.949,99.990,1.044,0.320,V
2457823.59683,2017-03-11.0945937,be,1.49,15.681,15.608,0.206,2.190,0.410,V
2457824.67844,2017-03-12.1761807,bf,1.50,15.508,>15.508,99.990,0.797,0.480,V
2457824.67975,2017-03-12.1774908,bf,1.45,15.396,>15.396,99.990,1.850,0.533,V
2457824.68107,2017-03-12.1788112,bf,1.48,15.497,>15.497,99.990,1.417,0.486,V
2457825.78091,2017-03-13.2786388,be,1.50,15.590,15.352,0.177,2.773,0.446,V
2457825.78223,2017-03-13.2799504,be,1.43,15.595,>15.595,99.990,1.302,0.444,V
2457825.78354,2017-03-13.2812598,be,1.52,15.475,>15.475,99.990,0.685,0.495,V
2457827.65829,2017-03-15.1559775,be,1.57,15.966,>15.966,99.990,1.495,0.315,V
2457827.65960,2017-03-15.1572896,be,1.56,15.876,15.815,0.208,1.811,0.343,V
2457827.66093,2017-03-15.1586232,be,1.47,15.765,>15.765,99.990,1.705,0.379,V
2457827.71507,2017-03-15.2127629,bf,1.62,15.836,>15.836,99.990,1.617,0.355,V
2457828.79406,2017-03-16.2917388,bf,1.49,15.834,15.561,0.171,2.288,0.356,V
2457828.79537,2017-03-16.2930481,bf,1.49,15.722,>15.722,99.990,1.323,0.395,V
2457828.79669,2017-03-16.2943619,bf,1.52,15.616,>15.616,99.990,0.017,0.435,V
2457829.61714,2017-03-17.1147979,bf,1.53,15.896,15.766,0.195,1.894,0.336,V
2457829.61844,2017-03-17.1161070,bf,1.60,16.079,>16.079,99.990,1.311,0.284,V
2457829.61976,2017-03-17.1174219,bf,1.52,15.908,>15.908,99.990,1.097,0.332,V
2457829.70206,2017-03-17.1997188,be,1.52,15.766,>15.766,99.990,1.571,0.379,V
2457829.70337,2017-03-17.2010344,be,1.58,15.940,15.537,0.152,2.339,0.323,V
2457829.70469,2017-03-17.2023525,be,1.64,15.855,>15.855,99.990,1.650,0.349,V
2457830.57639,2017-03-18.0740369,bf,1.46,16.310,15.869,0.147,1.723,0.230,V
2457830.57769,2017-03-18.0753393,bf,1.45,16.240,16.046,0.184,1.464,0.245,V
2457830.57900,2017-03-18.0766453,bf,1.55,16.250,15.838,0.150,1.773,0.243,V
2457830.64779,2017-03-18.1454403,be,1.46,16.202,15.757,0.146,1.911,0.254,V
2457830.64910,2017-03-18.1467506,be,1.51,16.137,16.030,0.199,1.485,0.269,V
2457830.65040,2017-03-18.1480493,be,1.49,16.106,15.705,0.152,2.003,0.277,V
2457831.57155,2017-03-19.0691831,bf,1.52,16.252,15.911,0.161,1.658,0.242,V
2457831.57285,2017-03-19.0704855,bf,1.53,16.252,15.827,0.149,1.791,0.243,V
2457831.57417,2017-03-19.0718053,bf,1.48,16.488,15.679,0.105,2.052,0.195,V
2457831.66283,2017-03-19.1604642,be,1.46,16.012,15.947,0.207,1.603,0.302,V
2457831.66414,2017-03-19.1617680,be,1.51,16.225,15.721,0.138,1.975,0.248,V
2457831.66544,2017-03-19.1630694,be,1.45,16.105,15.869,0.177,1.723,0.277,V
2457832.68366,2017-03-20.1812848,be,1.50,16.261,15.858,0.152,1.741,0.240,V
2457832.68499,2017-03-20.1826083,be,1.51,16.035,15.955,0.204,1.592,0.296,V
2457832.68631,2017-03-20.1839284,be,1.53,16.054,15.818,0.177,1.806,0.291,V
2457833.69879,2017-03-21.1963931,be,1.53,16.239,15.675,0.131,2.060,0.245,V
2457833.70034,2017-03-21.19795,be,1.45,16.194,15.969,0.179,1.573,0.256,V
2457834.71951,2017-03-22.2171106,be,1.52,16.144,15.676,0.143,2.059,0.268,V
