hjd,camera,mag,mag_err,flux,flux_err
2457834.75263,bh,12.297,0.02,46.246,0.851
2457608.53026,bh,12.259,0.02,47.879,0.881
2457877.77272,bh,12.262,0.02,47.767,0.879
2458164.77227,bh,12.252,0.02,48.211,0.887
2458216.82309,bh,12.267,0.02,47.529,0.875
2457576.71545,bh,12.245,0.02,48.538,0.893
2458214.76364,bh,12.271,0.02,47.368,0.872
2457906.80933,bh,12.249,0.02,48.33,0.889
2457476.84209,bh,12.285,0.02,46.77,0.861
2457466.88532,bh,12.268,0.02,47.488,0.874
2458017.48782,bh,12.23,0.02,49.201,0.905
2457806.8061,bh,12.287,0.02,46.657,0.858
2457883.6304,bh,12.271,0.02,47.38,0.872
2457566.59861,bh,12.256,0.02,48.028,0.884
2458311.70346,bh,12.252,0.02,48.187,0.887
2458217.8069,bh,12.253,0.02,48.154,0.886
2458007.47697,bh,12.262,0.02,47.777,0.879
2457585.54612,bh,12.266,0.02,47.592,0.876
2458227.84169,bh,12.248,0.02,48.388,0.89
2457653.48416,bh,12.289,0.02,46.58,0.857
2457923.64275,bh,12.265,0.02,47.633,0.876
2457831.69302,bh,12.316,0.02,45.434,0.836
2458222.74617,bh,12.271,0.02,47.362,0.871
2457782.816,bh,12.254,0.02,48.109,0.885
2457889.71821,bh,12.249,0.02,48.322,0.889
2458205.77419,bh,12.235,0.02,48.961,0.901
2457773.84442,bh,12.245,0.02,48.534,0.893
2458316.6726,bh,12.257,0.02,48.007,0.883
2458233.69357,bh,12.241,0.02,48.707,0.896
2457791.87707,bh,12.237,0.02,48.885,0.899
2457980.60036,bh,12.372,0.02,43.146,0.794
2457847.8258,bh,12.267,0.02,47.559,0.875
2457869.61813,bh,12.28,0.02,47.0,0.865
2457811.83508,bh,12.287,0.02,46.671,0.859
2457851.8159,bh,12.282,0.02,46.911,0.863
2457872.5771,bh,12.258,0.02,47.948,0.882
2457858.85268,bh,12.301,0.02,46.069,0.848
2457770.84894,bh,12.26,0.02,47.861,0.881
2457778.82878,bh,12.25,0.02,48.278,0.888
2457876.56814,bh,12.253,0.02,48.156,0.886
2458226.83858,bh,12.283,0.02,46.84,0.862
2457996.52716,bh,12.263,0.02,47.732,0.878
2458225.84674,bh,12.267,0.02,47.551,0.875
2457901.6774,bh,12.274,0.02,47.25,0.869
2457933.64807,bh,12.26,0.02,47.875,0.881
2457969.60054,bh,12.287,0.02,46.673,0.859
2458306.71975,bh,12.293,0.02,46.417,0.854
2458161.80404,bh,12.263,0.02,47.743,0.878
2457903.65836,bh,12.297,0.02,46.252,0.851
2457890.68014,bh,12.316,0.02,45.459,0.836
2457612.54942,bh,12.3,0.02,46.132,0.849
2457986.58085,bh,12.283,0.02,46.848,0.862
2457780.8207,bh,12.256,0.02,48.014,0.883
2457974.56719,bh,12.257,0.02,47.988,0.883
2458303.54271,bh,12.295,0.02,46.337,0.853
2457649.47482,bh,12.263,0.02,47.702,0.878
2458193.81778,bh,12.28,0.02,46.976,0.864
2457595.55143,bh,12.254,0.02,48.141,0.886
2457936.5519,bh,12.269,0.02,47.459,0.873
2457833.84466,bh,12.26,0.02,47.869,0.881
2457766.87227,bh,12.281,0.02,46.944,0.864
2457546.49376,bh,12.259,0.02,47.892,0.881
2457916.61225,bh,12.283,0.02,46.845,0.862
2457952.68285,bh,12.279,0.02,47.033,0.865
2457816.82043,bh,12.279,0.02,47.01,0.865
2458191.74771,bh,12.284,0.02,46.804,0.861
2458308.71477,bh,12.301,0.02,46.094,0.848
2458178.83035,bh,12.25,0.02,48.297,0.889
2458171.75212,bh,12.247,0.02,48.424,0.891
2458163.77666,bh,12.411,0.02,41.632,0.766
2457945.57698,bh,12.276,0.02,47.174,0.868
2458310.71085,bh,12.276,0.02,47.14,0.867
2458159.88494,bh,12.278,0.02,47.081,0.866
2457561.67719,bh,12.249,0.02,48.337,0.889
2457838.69637,bh,12.271,0.02,47.382,0.872
