HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457457.71787,2016-03-10.2167949,bh,1.45,15.637,12.291,0.011,46.510,0.457,V
2457457.71916,2016-03-10.2180789,bh,1.39,15.623,12.292,0.011,46.472,0.467,V
2457461.77068,2016-03-14.2693332,bh,1.58,15.547,12.249,0.011,48.372,0.528,V
2457461.77197,2016-03-14.2706218,bh,1.38,15.552,12.249,0.011,48.308,0.516,V
2457461.77325,2016-03-14.2719003,bh,1.46,15.468,12.263,0.012,47.721,0.535,V
2457464.82597,2016-03-17.3244309,bh,1.47,15.427,12.270,0.013,47.414,0.544,V
2457464.82727,2016-03-17.3257300,bh,1.31,15.314,12.271,0.014,47.346,0.622,V
2457464.82856,2016-03-17.3270182,bh,1.38,15.223,12.226,0.015,49.388,0.657,V
2457465.80937,2016-03-18.3077670,bh,1.41,15.608,12.275,0.011,47.217,0.472,V
2457465.81067,2016-03-18.3090668,bh,1.40,15.611,12.273,0.011,47.267,0.466,V
2457465.81197,2016-03-18.3103656,bh,1.53,15.562,12.265,0.011,47.661,0.481,V
2457466.88543,2016-03-19.3837614,bh,1.37,15.434,12.273,0.012,47.282,0.534,V
2457466.88638,2016-03-19.3847060,bh,1.43,15.387,12.251,0.013,48.250,0.564,V
2457466.88731,2016-03-19.3856436,bh,1.47,15.362,12.305,0.014,45.889,0.579,V
2457469.69681,2016-03-22.1949635,bh,1.52,15.439,12.245,0.013,48.493,0.540,V
2457469.69810,2016-03-22.1962555,bh,1.62,15.389,12.266,0.012,47.592,0.557,V
2457469.69940,2016-03-22.1975548,bh,1.61,15.420,12.262,0.013,47.756,0.551,V
2457476.84218,2016-03-29.3399203,bh,1.49,15.555,12.256,0.011,48.034,0.491,V
2457476.84347,2016-03-29.3412023,bh,1.44,15.550,12.289,0.012,46.612,0.484,V
2457476.84476,2016-03-29.3424949,bh,1.49,15.512,12.259,0.012,47.899,0.505,V
2457478.66997,2016-03-31.1676074,bh,1.53,15.605,12.289,0.011,46.599,0.466,V
2457478.67126,2016-03-31.1688892,bh,1.59,15.550,12.278,0.012,47.056,0.490,V
2457478.67256,2016-03-31.1701905,bh,1.52,15.566,12.280,0.012,46.947,0.488,V
2457481.72925,2016-04-03.2267179,bh,1.46,15.647,12.290,0.011,46.550,0.457,V
2457481.73055,2016-04-03.2280179,bh,1.51,15.652,12.278,0.011,47.061,0.455,V
