# HJD             mag      mag_err  
  2457817.15427   14.198   0.036    
  2457817.15555   14.221   0.037    
  2457817.15683   14.207   0.039    
  2457818.15073   14.223   0.031    
  2457818.152     14.287   0.04     
  2457818.15328   14.275   0.031    
  2457820.14745   14.249   0.035    
  2457820.14877   14.285   0.032    
  2457820.15003   14.224   0.035    
  2457823.80981   14.381   0.069    
  2457823.81113   14.378   0.064    
  2457823.81244   14.783   0.088    
  2457825.86505   14.241   0.052    
  2457825.86636   14.513   0.075    
  2457825.86766   14.310   0.057    
  2457829.14262   14.287   0.046    
  2457829.14389   14.219   0.039    
  2457829.14518   14.343   0.047    
  2457836.12866   14.148   0.033    
  2457836.12993   14.286   0.035    
  2457836.13119   14.229   0.034    
  2457836.85752   14.386   0.037    
  2457836.85883   14.353   0.041    
  2457836.86013   14.291   0.04     
  2457838.76857   14.274   0.038    
  2457838.7699    14.289   0.039    
  2457838.77121   14.301   0.04     
  2457839.76991   14.336   0.039    
  2457839.77135   14.463   0.043    
  2457839.77278   14.315   0.04     
  2457840.78128   14.432   0.04     
  2457840.784     14.430   0.043    
  2457840.7866    14.347   0.038    
  2457843.82628   14.344   0.039    
  2457846.09416   14.183   0.034    
  2457846.09543   14.185   0.035    
  2457846.09671   14.216   0.035    
  2457847.09038   14.278   0.036    
  2457847.09165   14.278   0.035    
  2457847.09292   14.322   0.037    
  2457847.86708   14.373   0.039    
  2457847.86837   14.427   0.046    
  2457847.86968   14.394   0.041    
  2457853.06695   14.351   0.047    
  2457853.06822   14.262   0.043    
  2457853.06949   14.276   0.046    
  2457855.72596   14.364   0.066    
  2457855.72721   14.407   0.074    
  2457855.72847   14.295   0.065    
  2457857.83776   14.321   0.114    
  2457857.83902   14.288   0.118    
  2457863.09992   14.175   0.037    
  2457863.1012    14.234   0.037    
  2457863.10247   14.236   0.039    
  2457863.7131    14.282   0.036    
  2457863.71438   14.328   0.038    
  2457863.71564   14.241   0.036    
  2457866.87794   14.212   0.033    
  2457866.8792    14.297   0.034    
  2457866.88046   14.212   0.033    
  2457868.83461   14.297   0.036    
  2457868.83589   14.281   0.037    
  2457868.83717   14.276   0.038    
  2457877.00864   14.249   0.034    
  2457877.0099    14.212   0.031    
  2457877.01117   14.285   0.035    
  2457877.76576   14.394   0.039    
  2457877.76702   14.288   0.035    
  2457877.76828   14.417   0.036    
  2457879.00348   14.290   0.04     
  2457879.00475   14.255   0.037    
  2457879.00603   14.375   0.04     
  2457883.00135   14.255   0.054    
  2457883.00263   14.322   0.05     
  2457884.00156   14.161   0.055    
  2457884.00283   14.345   0.058    
  2457884.00409   14.302   0.056    
  2457889.87152   14.475   0.055    
  2457889.8728    14.415   0.054    
  2457889.87405   14.325   0.048    
  2457893.0168    14.201   0.036    
  2457893.01807   14.172   0.034    
  2457893.01934   14.223   0.039    
  2457893.96787   14.215   0.033    
  2457893.96915   14.317   0.038    
  2457893.97042   14.293   0.031    
  2457898.00418   14.201   0.032    
  2457898.00554   14.208   0.034    
  2457898.00682   14.261   0.032    
  2457899.00469   14.258   0.034    
  2457899.00597   14.306   0.037    
  2457899.00724   14.266   0.034    
  2457899.99713   14.234   0.032    
  2457899.99839   14.189   0.031    
  2457899.99966   14.286   0.03     
  2457900.99756   14.269   0.037    
  2457900.99883   14.300   0.039    
  2457901.0001    14.290   0.037    
  2457903.9376    14.319   0.037    
  2457903.93886   14.237   0.035    
  2457903.94012   14.387   0.039    
  2457904.76565   14.218   0.032    
  2457904.76691   14.379   0.034    
  2457904.76817   14.348   0.036    
  2457907.93126   14.295   0.04     
  2457907.93252   14.398   0.043    
  2457907.93378   14.196   0.036    
  2457908.82221   14.430   0.039    
  2457908.82347   14.432   0.043    
  2457908.82474   14.403   0.045    
  2457917.70519   14.306   0.042    
  2457917.70646   14.284   0.046    
  2457917.70773   14.576   0.059    
  2457922.6409    14.373   0.042    
  2457922.64216   14.350   0.044    
  2457922.64342   14.384   0.046    
  2457924.71667   14.203   0.038    
  2457924.71795   14.382   0.048    
  2457924.7192    14.479   0.048    
  2457925.79326   14.254   0.055    
  2457925.79455   14.481   0.062    
  2457925.79583   14.375   0.056    
  2457926.92548   14.250   0.036    
  2457926.92674   14.257   0.032    
  2457926.92801   14.241   0.034    
  2457928.92093   14.349   0.035    
  2457928.92219   14.289   0.033    
  2457928.92346   14.319   0.033    
  2457930.90497   14.238   0.032    
  2457930.90624   14.238   0.033    
  2457930.9075    14.188   0.031    
  2457933.9303    14.180   0.036    
  2457933.93156   14.219   0.037    
  2457933.93282   14.257   0.036    
  2457936.57741   14.288   0.062    
  2457936.57867   14.272   0.06     
  2457936.57993   14.317   0.056    
  2457939.63306   12.689   0.062    
  2457939.63433   12.754   0.077    
  2457951.60921   14.388   0.038    
  2457951.61048   14.446   0.038    
  2457951.61174   14.283   0.039    
  2457953.69309   14.385   0.039    
  2457953.69436   14.405   0.043    
  2457953.69563   14.361   0.037    
  2457957.66793   14.268   0.032    
  2457957.66919   14.345   0.037    
  2457957.67046   14.352   0.037    
  2457960.82417   14.331   0.032    
  2457960.82543   14.254   0.033    
  2457960.82669   14.305   0.034    
  2457961.60441   14.253   0.043    
  2457961.60568   14.407   0.047    
  2457961.60695   14.456   0.045    
  2457964.62847   14.295   0.041    
  2457964.62974   14.415   0.042    
  2457964.63102   14.397   0.043    
  2457971.7842    14.220   0.046    
  2457971.78678   14.171   0.047    
  2457973.77136   14.219   0.043    
  2457973.77262   14.237   0.046    
  2457973.77388   14.120   0.046    
  2457974.47303   14.379   0.042    
  2457974.47428   14.288   0.037    
  2457974.47557   14.420   0.043    
  2457978.76068   14.210   0.033    
  2457978.76194   14.227   0.03     
  2457978.76321   14.294   0.035    
  2457980.76326   14.301   0.034    
  2457980.76454   14.210   0.032    
  2457980.7658    14.380   0.04     
  2457981.68232   14.439   0.097    
  2457981.68358   14.502   0.061    
  2457981.68486   14.306   0.049    
  2457982.75431   14.267   0.03     
  2457982.75558   14.288   0.033    
  2457982.75684   14.249   0.035    
  2457983.75323   14.179   0.03     
  2457984.55283   14.225   0.034    
  2457984.5541    14.230   0.035    
  2457984.55536   14.432   0.035    
  2457987.51521   14.312   0.042    
  2457987.51808   14.335   0.039    
  2458000.52069   14.347   0.052    
  2458000.52195   15.238   0.105    
  2458000.52323   14.359   0.054    
  2458001.51328   14.296   0.049    
  2458001.51453   14.326   0.052    
  2458001.5158    14.289   0.053    
  2458003.50155   14.498   0.057    
  2458003.50283   14.357   0.047    
  2458003.50409   14.421   0.051    
  2458008.51862   14.412   0.038    
  2458008.5199    14.325   0.039    
  2458008.52118   14.317   0.039    
  2458012.56794   14.339   0.042    
  2458012.56921   14.295   0.037    
  2458012.57046   14.295   0.037    
  2458013.57821   14.397   0.045    
  2458013.57949   14.310   0.046    
  2458013.58076   14.328   0.039    
  2458016.58584   14.420   0.046    
  2458016.58712   14.379   0.048    
  2458016.58838   14.388   0.047    
  2458019.53354   14.511   0.042    
  2458019.53481   14.451   0.043    
  2458019.53607   14.363   0.043    
  2458026.54728   14.449   0.123    
  2458026.54856   14.625   0.179    
  2458026.54984   13.984   0.107    
  2458028.54056   14.447   0.059    
  2458028.54183   14.254   0.048    
  2458028.5431    14.330   0.058    
  2458033.52084   14.507   0.067    
  2458033.52211   14.465   0.062    
  2458033.52338   14.455   0.062    
  2458035.5099    14.367   0.039    
  2458035.51116   14.285   0.039    
  2458035.51242   14.499   0.045    
  2458038.53684   14.241   0.04     
  2458038.53812   14.355   0.046    
  2458043.49396   14.279   0.046    
  2458043.49523   14.374   0.045    
  2458043.49651   14.349   0.038    
  2458162.88098   14.400   0.048    
  2458162.88225   14.361   0.043    
  2458162.88352   14.419   0.053    
  2458163.87268   14.356   0.043    
  2458163.87395   14.376   0.043    
  2458163.87522   14.346   0.047    
  2458165.86769   14.325   0.043    
  2458165.86895   14.415   0.044    
  2458165.87023   14.283   0.041    
  2458166.87865   14.459   0.066    
  2458166.87994   14.367   0.063    
  2458166.8812    14.440   0.065    
  2458167.86257   14.249   0.039    
  2458167.86383   14.433   0.045    
  2458167.86511   14.385   0.041    
  2458171.85306   14.342   0.045    
  2458171.85434   14.346   0.042    
  2458173.89793   14.418   0.057    
  2458173.8992    14.341   0.059    
  2458173.90048   14.457   0.067    
  2458174.84694   14.324   0.043    
  2458174.84821   14.353   0.041    
  2458174.8495    14.363   0.043    
  2458179.83188   14.507   0.082    
  2458179.83315   14.490   0.083    
  2458179.83442   14.339   0.067    
  2458181.82654   14.330   0.055    
  2458181.82781   14.461   0.067    
  2458181.82909   14.596   0.072    
  2458183.82896   14.301   0.052    
  2458183.83022   14.387   0.058    
  2458183.83149   14.294   0.06     
  2458193.8884    14.251   0.036    
  2458193.88968   14.336   0.041    
  2458193.89095   14.383   0.04     
  2458194.86922   14.388   0.04     
  2458194.87051   14.338   0.04     
  2458194.87178   14.253   0.033    
  2458195.85295   14.262   0.036    
  2458195.85421   14.402   0.04     
  2458195.85549   14.401   0.035    
  2458196.88994   14.284   0.038    
  2458196.89122   14.450   0.041    
  2458196.89249   14.309   0.038    
  2458197.85919   14.490   0.044    
  2458197.86047   14.304   0.04     
  2458197.86173   14.283   0.039    
  2458198.87006   14.405   0.039    
  2458198.87134   14.324   0.039    
  2458198.87261   14.387   0.041    
  2458199.82747   14.464   0.045    
  2458199.82875   14.326   0.038    
  2458199.83001   14.313   0.037    
  2458200.8762    14.323   0.037    
  2458200.87746   14.354   0.037    
  2458200.87873   14.301   0.038    
  2458201.88617   14.375   0.038    
  2458201.88745   14.339   0.038    
  2458201.88873   14.267   0.037    
  2458202.87469   14.277   0.039    
  2458202.87595   14.252   0.036    
  2458202.87723   14.333   0.039    
  2458203.85864   14.320   0.035    
  2458203.85992   14.439   0.039    
  2458203.86118   14.332   0.038    
  2458205.76966   14.278   0.051    
  2458205.77093   14.360   0.051    
  2458205.77221   14.267   0.047    
  2458205.91579   14.411   0.05     
  2458205.91708   14.320   0.049    
  2458205.91835   14.327   0.045    
  2458206.89939   14.330   0.038    
  2458206.90066   14.223   0.036    
  2458206.90192   14.383   0.037    
  2458207.10375   14.196   0.046    
  2458207.10502   14.331   0.048    
  2458207.10632   14.148   0.043    
  2458208.8055    14.348   0.06     
  2458208.80678   14.510   0.077    
  2458208.80805   14.612   0.086    
  2458209.85409   14.416   0.068    
  2458209.85537   14.299   0.061    
  2458209.85665   14.235   0.061    
  2458211.78481   14.313   0.066    
  2458211.7861    14.365   0.063    
  2458211.78737   14.279   0.057    
  2458217.84838   14.270   0.037    
  2458217.84966   14.375   0.039    
  2458217.85093   14.375   0.046    
  2458220.85413   14.412   0.041    
  2458220.85541   14.225   0.037    
  2458220.85667   14.260   0.032    
  2458222.85651   14.305   0.039    
  2458222.85777   14.410   0.035    
  2458222.85904   14.438   0.043    
  2458223.87448   14.135   0.035    
  2458223.87575   14.353   0.036    
  2458223.87703   14.431   0.045    
  2458225.05636   14.338   0.033    
  2458225.05763   14.320   0.035    
  2458225.05891   14.308   0.037    
  2458233.06319   14.294   0.036    
  2458233.06447   14.223   0.031    
  2458233.06573   14.228   0.034    
  2458234.87563   14.375   0.044    
  2458234.87691   14.423   0.102    
  2458235.02987   14.323   0.064    
  2458235.03114   14.258   0.064    
  2458235.03243   14.372   0.125    
  2458236.68984   14.230   0.061    
  2458238.69133   14.257   0.077    
  2458238.69261   14.306   0.081    
  2458238.69388   14.622   0.096    
  2458244.93315   14.366   0.055    
  2458244.93442   14.320   0.057    
  2458244.9357    14.317   0.068    
  2458245.8819    14.319   0.049    
  2458245.88319   14.352   0.053    
  2458245.88446   14.347   0.051    
  2458260.64146   14.269   0.043    
  2458260.64273   14.262   0.041    
  2458260.64399   14.300   0.044    
  2458260.8082    14.287   0.071    
  2458260.80947   14.213   0.06     
  2458260.81073   14.265   0.056    
  2458283.94223   14.341   0.038    
  2458283.94352   14.255   0.036    
  2458283.9448    14.178   0.031    
  2458284.94002   14.255   0.034    
  2458284.9413    14.243   0.033    
  2458284.94258   14.342   0.035    
  2458285.94185   14.255   0.033    
  2458285.94311   14.359   0.038    
  2458285.94438   14.259   0.032    
  2458287.8715    14.276   0.036    
  2458287.87278   14.264   0.032    
  2458287.87406   14.281   0.037    
  2458299.93101   14.176   0.042    
  2458299.93228   14.248   0.048    
  2458299.93362   14.260   0.048    
  2458304.88002   14.309   0.038    
  2458304.88129   14.223   0.035    
  2458304.88255   14.202   0.033    
  2458308.87497   14.321   0.035    
  2458308.87625   14.315   0.036    
  2458308.87753   14.314   0.032    
  2458309.85207   14.270   0.031    
  2458309.85343   14.371   0.037    
  2458309.8547    14.263   0.035    
  2458310.86382   14.282   0.032    
  2458310.8651    14.326   0.03     
  2458310.86638   14.262   0.029    
  2458311.87804   14.177   0.029    
  2458311.87932   14.206   0.032    
  2458311.88059   14.335   0.035    
  2458312.8697    14.250   0.034    
  2458312.87098   14.217   0.033    
  2458312.87227   14.291   0.033    
  2458315.85098   14.234   0.036    
  2458315.85224   14.307   0.036    
  2458315.85353   14.275   0.036    
  2458316.84718   14.277   0.032    
  2458316.84847   14.258   0.036    
  2458316.84974   14.301   0.036    
  2458332.79829   14.225   0.038    
  2458332.79956   14.166   0.033    
  2458332.80084   14.212   0.035    
  2458335.71275   14.258   0.034    
  2458335.71402   14.465   0.039    
  2458335.71529   14.439   0.039    
  2458337.72441   14.408   0.047    
  2458337.7257    14.292   0.103    
  2458337.72696   14.296   0.09     
  2458338.77374   14.250   0.034    
  2458338.77502   14.381   0.034    
  2458338.77629   14.327   0.038    
  2458342.79901   14.232   0.033    
  2458342.80028   14.172   0.029    
  2458345.67929   14.419   0.039    
  2458345.68056   14.335   0.036    
  2458345.68183   14.382   0.038    
  2458347.56443   14.311   0.035    
  2458347.56569   14.314   0.033    
  2458347.56697   14.373   0.034    
  2458358.6324    14.449   0.058    
  2458358.63367   14.413   0.058    
  2458358.63495   14.561   0.064    
  2458364.63457   14.359   0.039    
  2458364.63585   14.370   0.038    
  2458364.6371    14.488   0.043    
  2458365.63012   14.345   0.038    
  2458365.63139   14.461   0.043    
  2458365.63266   14.408   0.042    
  2458376.51752   14.338   0.039    
  2458376.51879   14.317   0.038    
  2458376.52006   14.310   0.033    
  2458382.57335   14.641   0.075    
  2458382.57462   14.433   0.059    
  2458382.5759    14.363   0.059    
  2458384.50935   14.396   0.044    
  2458384.51062   14.462   0.047    
