HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457825.12652,2017-03-12.6290780,bb,1.78,15.440,>15.440,99.990,-0.490,0.511,V
2457825.12778,2017-03-12.6303440,bb,1.81,15.400,>15.400,99.990,-0.324,0.531,V
2457825.12906,2017-03-12.6316211,bb,1.79,15.447,>15.447,99.990,-0.591,0.508,V
2457825.90104,2017-03-13.4035321,bf,1.40,15.732,>15.732,99.990,-0.497,0.391,V
2457825.90233,2017-03-13.4048283,bf,1.49,15.666,>15.666,99.990,-0.422,0.416,V
2457825.90363,2017-03-13.4061239,bf,1.55,15.544,>15.544,99.990,-0.471,0.465,V
2457827.89155,2017-03-15.3938761,bf,1.69,15.977,>15.977,99.990,-0.603,0.312,V
2457827.89285,2017-03-15.3951744,bf,1.52,15.782,>15.782,99.990,-0.321,0.373,V
2457829.89777,2017-03-17.3999189,bf,1.47,15.814,>15.814,99.990,-0.316,0.363,V
2457829.89907,2017-03-17.4012195,bf,1.50,15.734,>15.734,99.990,-0.172,0.390,V
2457829.90037,2017-03-17.4025217,bf,1.50,15.686,>15.686,99.990,-1.236,0.408,V
2457838.15094,2017-03-25.6523406,bb,2.17,15.449,>15.449,99.990,0.006,0.508,V
2457838.15220,2017-03-25.6536054,bb,2.13,15.296,>15.296,99.990,-1.835,0.585,V
2457839.13085,2017-03-26.6321597,bb,2.29,16.323,>16.323,99.990,-0.206,0.227,V
2457839.13212,2017-03-26.6334271,bb,2.20,16.431,>16.431,99.990,0.008,0.205,V
2457839.13338,2017-03-26.6346936,bb,2.15,16.347,>16.347,99.990,-0.493,0.222,V
2457843.84157,2017-03-31.3424388,bf,1.42,16.178,>16.178,99.990,-0.043,0.259,V
2457843.84287,2017-03-31.3437393,bf,1.48,16.340,>16.340,99.990,-0.363,0.223,V
2457843.84418,2017-03-31.3450509,bf,1.57,16.316,>16.316,99.990,-0.006,0.228,V
2457847.06934,2017-04-03.5699019,bb,2.10,16.296,>16.296,99.990,-0.215,0.233,V
2457847.07061,2017-04-03.5711644,bb,2.11,16.317,>16.317,99.990,-0.406,0.228,V
2457849.10954,2017-04-05.6099060,bb,1.71,16.761,>16.761,99.990,-0.114,0.152,V
2457849.11080,2017-04-05.6111694,bb,2.00,16.446,>16.446,99.990,-0.302,0.203,V
2457849.11207,2017-04-05.6124331,bb,1.80,16.724,>16.724,99.990,-0.148,0.157,V
2457852.05344,2017-04-08.5535251,bb,1.76,15.761,>15.761,99.990,-0.167,0.381,V
2457852.05472,2017-04-08.5548031,bb,1.99,15.772,>15.772,99.990,0.250,0.377,V
2457852.05599,2017-04-08.5560689,bb,1.78,15.711,>15.711,99.990,-1.333,0.399,V
2457852.90930,2017-04-09.4093024,bf,2.35,16.179,>16.179,99.990,-0.309,0.259,V
2457854.05256,2017-04-10.5524460,bb,1.76,14.895,>14.895,99.990,-1.989,0.845,V
2457854.05382,2017-04-10.5537158,bb,1.94,15.223,>15.223,99.990,-0.904,0.625,V
2457859.06996,2017-04-15.5693758,bb,2.03,16.012,>16.012,99.990,0.226,0.302,V
2457859.07123,2017-04-15.5706398,bb,2.02,15.741,>15.741,99.990,-0.390,0.388,V
2457859.07251,2017-04-15.5719195,bb,2.04,15.741,>15.741,99.990,-0.554,0.388,V
2457869.12389,2017-04-25.6223587,bb,2.11,16.368,>16.368,99.990,-0.339,0.218,V
2457869.12522,2017-04-25.6236872,bb,2.10,16.378,>16.378,99.990,-0.179,0.216,V
2457869.12652,2017-04-25.6249862,bb,2.11,16.236,>16.236,99.990,-0.224,0.246,V
2457870.79767,2017-04-27.2959800,bf,1.45,16.356,>16.356,99.990,-0.463,0.220,V
2457870.79892,2017-04-27.2972416,bf,1.49,16.337,>16.337,99.990,-0.236,0.224,V
2457870.80020,2017-04-27.2985105,bf,1.40,16.423,>16.423,99.990,-0.392,0.207,V
2457872.85295,2017-04-29.3510792,bf,1.51,16.407,>16.407,99.990,0.123,0.210,V
