hjd,camera,mag,mag_err,flux,flux_err
2457876.69854,be,14.207,0.02581,7.964,0.189
2458226.79759,be,14.372,0.02782,6.84,0.175
2457889.59406,be,14.343,0.02743,7.029,0.177
2457783.81148,be,14.339,0.02738,7.054,0.178
2458022.47702,be,14.356,0.0276,6.943,0.176
2457534.70628,be,14.256,0.02636,7.614,0.185
2457774.8519,be,14.367,0.02775,6.872,0.175
2457603.55166,be,14.25,0.02629,7.652,0.185
2458153.86261,be,14.363,0.02769,6.897,0.176
2457562.50268,be,14.35,0.02752,6.98,0.177
2458011.52473,be,14.358,0.02763,6.929,0.176
2458144.82452,be,14.374,0.02784,6.828,0.175
2458188.75125,be,14.36,0.02765,6.916,0.176
2458314.70104,be,14.359,0.02764,6.925,0.176
2458150.8066,be,14.424,0.02854,6.522,0.171
2458228.79252,be,14.36,0.02765,6.914,0.176
2457923.54687,be,14.324,0.02719,7.147,0.179
2457917.56497,be,14.337,0.02735,7.064,0.178
2457935.69465,be,14.367,0.02775,6.873,0.175
2457651.49814,be,14.365,0.02772,6.886,0.176
2458132.85297,be,14.375,0.02786,6.824,0.175
2457546.7544,be,14.367,0.02775,6.873,0.175
2458173.75497,be,14.338,0.02737,7.056,0.178
2458230.85195,be,14.365,0.02772,6.887,0.176
2458208.87839,be,14.451,0.02894,6.359,0.169
2457840.67078,be,14.351,0.02754,6.971,0.177
2457846.82157,be,14.385,0.02799,6.758,0.174
2457960.60525,be,14.356,0.0276,6.945,0.176
2458336.64747,be,14.372,0.02782,6.84,0.175
2458171.74864,be,14.416,0.02843,6.568,0.172
2457785.8404,be,14.365,0.02772,6.882,0.176
2457910.65067,be,14.332,0.02729,7.096,0.178
2457825.81402,be,14.225,0.02601,7.832,0.187
2457768.84919,be,14.271,0.02654,7.507,0.183
2458223.78806,be,14.327,0.02722,7.132,0.179
2457616.52045,be,14.249,0.02628,7.66,0.185
2457836.80525,be,14.351,0.02754,6.973,0.177
2457647.52051,be,14.228,0.02604,7.813,0.187
2457766.85744,be,14.255,0.02635,7.621,0.185
2457951.54935,be,14.328,0.02724,7.126,0.179
2457972.55903,be,14.33,0.02726,7.112,0.178
2457823.70977,be,14.268,0.0265,7.532,0.184
2458135.84402,be,14.379,0.02791,6.798,0.175
2458310.71884,be,14.368,0.02776,6.868,0.175
2458222.80553,be,14.386,0.02801,6.75,0.174
2458160.85827,be,14.359,0.02764,6.923,0.176
2457984.54292,be,14.37,0.02779,6.851,0.175
2457957.59244,be,14.341,0.0274,7.038,0.177
2458309.72271,be,14.342,0.02742,7.036,0.177
2457820.77623,be,14.348,0.0275,6.996,0.177
2457833.85326,be,14.37,0.02779,6.855,0.175
2458186.80988,be,14.389,0.02805,6.734,0.174
2458174.78034,be,14.366,0.02774,6.877,0.175
2457933.57014,be,14.365,0.02772,6.886,0.176
2457863.87231,be,14.283,0.02668,7.427,0.182
2458311.69213,be,14.337,0.02735,7.065,0.178
2458204.65308,be,14.371,0.0278,6.846,0.175
2457864.8263,be,14.412,0.02837,6.593,0.172
2457659.48148,be,14.229,0.02605,7.807,0.187
2458243.8829,be,14.342,0.02742,7.033,0.177
2457772.84067,be,14.308,0.02698,7.255,0.18
2458185.79929,be,14.378,0.0279,6.804,0.175
2457967.60783,be,14.345,0.02746,7.012,0.177
2458143.82453,be,14.323,0.02717,7.157,0.179
2457606.52523,be,14.257,0.02637,7.603,0.184
2457835.79226,be,14.381,0.02794,6.783,0.174
2457585.63712,be,14.29,0.02676,7.377,0.182
2458141.83184,be,14.389,0.02805,6.732,0.174
2457567.56653,be,14.369,0.02778,6.857,0.175
2458199.85143,be,14.362,0.02768,6.902,0.176
2458213.83296,be,14.377,0.02788,6.808,0.175
