HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457809.16455,2017-02-24.6684526,bd,1.82,15.003,>15.003,99.990,1.020,0.765,V
2457817.14387,2017-03-04.6473883,bd,1.59,16.013,15.358,0.120,2.760,0.303,V
2457817.14517,2017-03-04.6486844,bd,1.51,15.806,15.473,0.162,2.483,0.365,V
2457817.14645,2017-03-04.6499618,bd,1.59,15.915,15.563,0.159,2.284,0.331,V
2457818.14026,2017-03-05.6437165,bd,1.52,16.107,15.398,0.115,2.659,0.278,V
2457818.14153,2017-03-05.6449905,bd,1.55,15.766,15.653,0.198,2.101,0.379,V
2457818.14281,2017-03-05.6462689,bd,1.50,15.803,15.629,0.187,2.150,0.367,V
2457823.12173,2017-03-10.6249026,bc,1.43,15.607,15.250,0.158,3.048,0.439,V
2457823.12301,2017-03-10.6261776,bc,1.41,15.725,>15.725,99.990,1.902,0.394,V
2457823.12428,2017-03-10.6274547,bc,1.47,15.679,15.512,0.188,2.395,0.411,V
2457826.12646,2017-03-13.6294431,bd,1.54,15.531,15.475,0.209,2.476,0.471,V
2457826.12774,2017-03-13.6307256,bd,1.54,15.389,>15.389,99.990,1.799,0.536,V
2457826.12901,2017-03-13.6319949,bd,1.57,15.492,>15.492,99.990,1.951,0.488,V
2457828.10088,2017-03-15.6037444,bc,1.42,15.637,15.631,0.219,2.144,0.427,V
2457828.10215,2017-03-15.6050125,bc,1.50,15.753,15.582,0.188,2.245,0.384,V
2457828.10345,2017-03-15.6063078,bc,1.48,15.844,15.551,0.168,2.309,0.353,V
2457828.14309,2017-03-15.6459481,bd,1.69,15.887,15.257,0.123,3.029,0.340,V
2457828.14437,2017-03-15.6472289,bd,1.55,15.773,15.629,0.193,2.148,0.377,V
2457828.14566,2017-03-15.6485150,bd,1.54,15.649,15.348,0.167,2.783,0.422,V
2457831.13616,2017-03-18.6388206,bc,1.73,15.774,15.732,0.211,1.955,0.376,V
2457831.13745,2017-03-18.6401098,bc,1.72,15.898,15.863,0.213,1.732,0.336,V
2457831.13873,2017-03-18.6413968,bc,1.58,15.870,15.661,0.181,2.087,0.345,V
2457833.10898,2017-03-20.6115056,bd,2.34,15.637,>15.637,99.990,1.829,0.427,V
2457833.11025,2017-03-20.6127831,bd,2.24,15.554,>15.554,99.990,1.427,0.461,V
2457833.11153,2017-03-20.6140570,bd,2.29,15.784,>15.784,99.990,1.205,0.373,V
2457836.10671,2017-03-23.6090311,bc,1.41,16.009,15.367,0.122,2.737,0.304,V
2457836.10799,2017-03-23.6103079,bc,1.39,15.962,15.479,0.141,2.468,0.317,V
2457838.10341,2017-03-25.6055898,bd,1.53,15.830,15.616,0.180,2.176,0.358,V
2457838.10469,2017-03-25.6068714,bd,1.45,16.001,15.605,0.152,2.199,0.305,V
2457838.10596,2017-03-25.6081449,bd,1.56,15.929,15.456,0.142,2.523,0.327,V
2457839.10011,2017-03-26.6022182,bc,1.53,15.941,15.478,0.143,2.469,0.323,V
2457839.10139,2017-03-26.6034991,bc,1.57,15.882,15.583,0.167,2.242,0.341,V
2457839.10266,2017-03-26.6047693,bc,1.57,16.000,15.476,0.136,2.474,0.306,V
2457845.07463,2017-04-01.5762914,bc,1.48,16.051,15.615,0.147,2.176,0.292,V
2457845.07590,2017-04-01.5775613,bc,1.52,15.978,15.578,0.152,2.252,0.312,V
2457845.07718,2017-04-01.5788356,bc,1.47,16.052,15.539,0.137,2.336,0.292,V
2457845.07846,2017-04-01.5801232,bd,1.51,15.909,15.406,0.138,2.640,0.333,V
2457845.07973,2017-04-01.5813973,bd,1.53,15.992,15.544,0.146,2.325,0.308,V
2457845.08101,2017-04-01.5826741,bd,1.50,15.865,15.653,0.181,2.103,0.346,V
2457847.07530,2017-04-03.5768017,bc,1.54,16.047,15.487,0.131,2.449,0.293,V
2457847.07656,2017-04-03.5780692,bc,1.47,15.930,15.566,0.157,2.279,0.326,V
2457847.07782,2017-04-03.5793331,bc,1.57,16.074,15.613,0.144,2.180,0.286,V
2457847.07911,2017-04-03.5806162,bd,1.56,16.175,15.483,0.116,2.457,0.260,V
2457847.08039,2017-04-03.5818947,bd,1.61,15.888,15.504,0.154,2.410,0.339,V
2457847.08166,2017-04-03.5831642,bd,1.56,16.062,15.396,0.119,2.666,0.289,V
2457851.03882,2017-04-07.5400210,bc,1.46,15.773,15.466,0.166,2.497,0.377,V
2457851.04009,2017-04-07.5412899,bc,1.46,15.763,15.419,0.160,2.608,0.381,V
2457851.04136,2017-04-07.5425539,bc,1.45,15.745,15.568,0.187,2.274,0.387,V
2457852.06025,2017-04-08.5613679,bd,1.72,15.624,>15.624,99.990,1.927,0.432,V
2457852.06153,2017-04-08.5626482,bd,1.66,15.584,>15.584,99.990,2.001,0.448,V
2457852.06279,2017-04-08.5639126,bd,1.65,15.646,>15.646,99.990,1.982,0.423,V
2457854.03210,2017-04-10.5330653,bc,1.32,99.990,99.990,99.990,99.990,99.990,V
2457854.03338,2017-04-10.5343438,bc,1.51,99.990,99.990,99.990,99.990,99.990,V
2457854.03466,2017-04-10.5356202,bc,1.90,99.990,99.990,99.990,99.990,99.990,V
2457855.02702,2017-04-11.5279041,bc,1.53,15.349,>15.349,99.990,2.330,0.557,V
2457855.02830,2017-04-11.5291804,bc,1.44,15.306,>15.306,99.990,1.261,0.579,V
2457855.02957,2017-04-11.5304556,bc,1.52,15.349,>15.349,99.990,2.378,0.557,V
2457856.07143,2017-04-12.5722258,bd,1.69,15.669,>15.669,99.990,1.904,0.415,V
2457856.07269,2017-04-12.5734960,bd,1.74,15.497,15.334,0.189,2.819,0.486,V
2457857.08634,2017-04-13.5870534,bc,1.64,14.802,>14.802,99.990,1.268,0.921,V
2457859.03771,2017-04-15.5382747,bc,1.50,15.583,>15.583,99.990,1.800,0.449,V
2457859.03905,2017-04-15.5396136,bc,1.51,15.574,>15.574,99.990,1.731,0.453,V
2457859.04032,2017-04-15.5408848,bc,1.45,15.743,15.669,0.205,2.072,0.387,V
2457860.13056,2017-04-16.6310315,bd,1.55,15.714,15.516,0.183,2.385,0.398,V
2457860.13183,2017-04-16.6323027,bd,1.52,15.795,15.554,0.176,2.303,0.369,V
2457860.13309,2017-04-16.6335664,bd,1.59,15.725,15.352,0.156,2.773,0.394,V
2457869.07626,2017-04-25.5760089,bd,1.69,15.747,15.570,0.187,2.268,0.386,V
2457869.07753,2017-04-25.5772782,bd,1.75,15.742,15.730,0.217,1.958,0.388,V
2457869.11872,2017-04-25.6184694,bc,1.71,15.835,15.629,0.182,2.150,0.356,V
2457869.12002,2017-04-25.6197662,bc,2.13,15.785,>15.785,99.990,1.716,0.373,V
2457869.12131,2017-04-25.6210537,bc,2.33,15.762,>15.762,99.990,1.753,0.381,V
2457871.08389,2017-04-27.5834706,bc,1.49,16.349,15.312,0.086,2.878,0.223,V
2457871.08515,2017-04-27.5847373,bc,1.54,16.058,15.616,0.146,2.174,0.290,V
2457871.08642,2017-04-27.5860026,bc,1.57,16.055,15.462,0.127,2.506,0.291,V
2457871.08770,2017-04-27.5872891,bd,1.53,15.757,15.665,0.202,2.079,0.382,V
2457871.08898,2017-04-27.5885671,bd,1.48,15.841,15.601,0.176,2.205,0.354,V
2457871.09025,2017-04-27.5898320,bd,1.58,15.871,15.547,0.163,2.319,0.344,V
2457876.97298,2017-05-03.4720907,bc,1.47,15.992,15.466,0.135,2.497,0.308,V
2457876.97424,2017-05-03.4733526,bc,1.51,15.982,15.545,0.147,2.321,0.311,V
2457876.97550,2017-05-03.4746175,bc,1.35,16.054,15.395,0.120,2.666,0.291,V
2457877.99229,2017-05-04.4913246,bc,1.51,15.773,>15.773,99.990,1.758,0.377,V
2457877.99816,2017-05-04.4971930,bc,1.50,15.866,15.555,0.165,2.301,0.346,V
2457878.96594,2017-05-05.4648989,bc,1.43,15.647,15.486,0.189,2.451,0.423,V
2457878.96722,2017-05-05.4661724,bc,1.51,15.810,15.639,0.188,2.128,0.364,V
2457878.96849,2017-05-05.4674497,bc,1.44,15.735,>15.735,99.990,1.734,0.390,V
2457878.99569,2017-05-05.4946410,bd,1.60,15.713,15.635,0.204,2.136,0.398,V
2457878.99697,2017-05-05.4959181,bd,1.48,15.729,15.512,0.180,2.393,0.393,V
2457878.99823,2017-05-05.4971859,bd,1.51,15.750,15.447,0.166,2.541,0.385,V
