HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457806.70758,2017-02-22.2070388,bh,1.49,16.237,15.741,0.139,1.938,0.246,V
2457806.70888,2017-02-22.2083369,bh,1.36,16.241,15.774,0.143,1.880,0.245,V
2457806.71019,2017-02-22.2096494,bh,1.38,16.078,15.880,0.183,1.705,0.285,V
2457808.81915,2017-02-24.3184747,bh,1.40,16.127,15.520,0.126,2.377,0.272,V
2457808.82046,2017-02-24.3197865,bh,1.43,16.235,15.585,0.121,2.238,0.246,V
2457808.82176,2017-02-24.3210880,bh,1.35,16.205,15.778,0.148,1.875,0.253,V
2457813.70243,2017-03-01.2014597,bh,1.33,16.265,15.570,0.116,2.270,0.240,V
2457813.70374,2017-03-01.2027690,bh,1.31,16.311,15.465,0.101,2.499,0.230,V
2457813.70506,2017-03-01.2040887,bh,1.45,16.295,15.593,0.115,2.223,0.233,V
2457820.85170,2017-03-08.3503107,bh,1.39,16.196,15.566,0.123,2.278,0.255,V
2457820.85296,2017-03-08.3515726,bh,1.37,16.255,15.618,0.122,2.171,0.242,V
2457820.85428,2017-03-08.3528853,bh,1.39,16.330,15.510,0.103,2.398,0.226,V
2457823.65658,2017-03-11.1550344,bh,1.39,15.552,>15.552,99.990,1.916,0.462,V
2457823.65789,2017-03-11.1563416,bh,1.49,15.492,>15.492,99.990,1.598,0.488,V
2457823.65920,2017-03-11.1576511,bh,1.40,15.555,>15.555,99.990,0.929,0.460,V
2457825.77626,2017-03-13.2745930,bh,1.38,15.894,15.751,0.193,1.920,0.337,V
2457825.77757,2017-03-13.2759024,bh,1.47,15.586,>15.586,99.990,1.462,0.447,V
2457825.77889,2017-03-13.2772255,bh,1.39,15.560,>15.560,99.990,2.152,0.458,V
2457827.80440,2017-03-15.3026202,bh,1.45,15.830,>15.830,99.990,1.342,0.357,V
2457827.80572,2017-03-15.3039392,bh,1.53,15.756,15.479,0.170,2.468,0.383,V
2457827.80703,2017-03-15.3052512,bh,1.46,15.694,>15.694,99.990,1.257,0.405,V
2457829.82997,2017-03-17.3280862,bh,1.71,16.122,16.075,0.211,1.425,0.273,V
2457829.83128,2017-03-17.3293969,bh,1.71,15.819,>15.819,99.990,1.181,0.361,V
2457829.83258,2017-03-17.3306967,bh,1.64,15.637,>15.637,99.990,1.100,0.427,V
2457830.67297,2017-03-18.1710420,bh,2.01,15.858,>15.858,99.990,1.708,0.348,V
2457830.67429,2017-03-18.1723539,bh,2.03,15.685,>15.685,99.990,1.071,0.408,V
2457830.67558,2017-03-18.1736513,bh,2.00,15.846,>15.846,99.990,1.264,0.352,V
2457831.74960,2017-03-19.2476123,bh,1.71,15.924,>15.924,99.990,1.401,0.328,V
2457831.75091,2017-03-19.2489241,bh,1.64,15.862,>15.862,99.990,1.054,0.347,V
2457831.75222,2017-03-19.2502331,bh,1.63,15.914,>15.914,99.990,1.464,0.331,V
2457833.76571,2017-03-21.2636233,bh,1.64,16.100,15.787,0.165,1.859,0.279,V
2457833.76702,2017-03-21.2649363,bh,1.67,16.037,15.900,0.194,1.675,0.295,V
2457833.76834,2017-03-21.2662467,bh,1.54,16.194,16.085,0.199,1.412,0.256,V
2457834.76101,2017-03-22.2588667,bh,1.52,16.153,15.544,0.126,2.325,0.266,V
