HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457818.15193,2017-03-05.6554262,bc,1.52,16.242,15.991,0.174,1.540,0.244,V
2457818.15321,2017-03-05.6566998,bc,1.48,16.184,15.823,0.157,1.798,0.258,V
2457818.15448,2017-03-05.6579721,bc,1.51,15.975,>15.975,99.990,1.483,0.313,V
2457830.13104,2017-03-17.6341533,bc,1.35,16.318,16.047,0.171,1.462,0.228,V
2457830.13232,2017-03-17.6354247,bc,1.40,16.326,>16.326,99.990,1.074,0.226,V
2457830.13360,2017-03-17.6367037,bc,1.44,16.384,16.045,0.161,1.464,0.215,V
2457839.11785,2017-03-26.6205818,bc,1.77,16.584,15.979,0.126,1.557,0.179,V
2457839.11913,2017-03-26.6218585,bc,1.62,16.525,15.984,0.133,1.550,0.188,V
2457839.12039,2017-03-26.6231236,bc,1.56,16.480,15.830,0.120,1.787,0.197,V
2457845.08930,2017-04-01.5917467,bc,1.51,16.401,15.877,0.135,1.710,0.211,V
2457845.09057,2017-04-01.5930155,bc,1.52,16.449,16.050,0.152,1.459,0.202,V
2457845.09185,2017-04-01.5942932,bc,1.43,16.607,16.027,0.129,1.489,0.175,V
2457847.11229,2017-04-03.6146334,bc,1.71,16.571,16.098,0.142,1.395,0.181,V
2457847.11357,2017-04-03.6159097,bc,1.67,16.557,15.959,0.126,1.586,0.183,V
2457847.11483,2017-04-03.6171717,bc,1.55,16.614,15.818,0.105,1.805,0.174,V
2457851.07180,2017-04-07.5739271,bc,1.52,16.190,15.959,0.177,1.586,0.256,V
2457851.07306,2017-04-07.5751922,bc,1.59,16.397,15.994,0.151,1.536,0.212,V
2457851.07432,2017-04-07.5764537,bc,1.58,16.271,16.068,0.182,1.436,0.238,V
2457853.06622,2017-04-09.5682454,bc,1.45,15.825,15.764,0.207,1.896,0.359,V
2457853.06749,2017-04-09.5695116,bc,1.50,16.001,>16.001,99.990,1.202,0.305,V
2457853.06877,2017-04-09.5707884,bc,1.42,16.009,>16.009,99.990,0.954,0.303,V
2457857.07758,2017-04-13.5793748,bc,1.59,16.006,15.896,0.198,1.681,0.304,V
2457857.07885,2017-04-13.5806393,bc,1.53,15.977,15.757,0.179,1.911,0.312,V
2457857.08012,2017-04-13.5819177,bc,1.47,15.990,>15.990,99.990,0.925,0.308,V
2457871.09790,2017-04-27.5988436,bc,1.47,16.715,16.114,0.126,1.375,0.158,V
